Genus,MiDAS,Filamentous,Hydrophobic cell surface,Chemoautotroph_mixotroph,AOB,NOB,Anammox,Aerobic heterotroph,PAO,GAO,Nitrite reduction,Sulfate reduction,Fermentation,Acetogen,Methanogen,Short-chain fatty acids,Sugars,Proteins_amino acids
Ca_Amarolinea,POS,POS,NEG,NEG,NT,NT,NT,POS,NEG,NT,NEG,NT,POS,NT,NT,NEG,POS,NEG
Ca_Microthrix,POS,POS,POS,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NT,NEG,NEG,NEG,NEG
Trichococcus,POS,VAR,NT,NT,NT,NT,NT,POS,NT,NT,NEG,NT,POS,NT,NT,POS,POS,VAR
Tetrasphaera,POS,VAR,NT,NT,NEG,NEG,NEG,POS,POS,NEG,NEG,NEG,VAR,NT,NT,POS,POS,POS
midas_g_6,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_7,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Fastidiosipila,POS,NT,NT,POS,NT,NT,NT,NEG,NT,NT,NEG,NT,POS,NT,NT,NT,NT,POS
Ferruginibacter,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,NEG,NT,NEG,NT,NT,POS,POS,POS
midas_g_12,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_13,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Lentimicrobium,POS,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NT,POS,NT,NT,NEG,POS,NEG
Ca_Fermentibacter,POS,NEG,NT,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS,NT
midas_g_19,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_20,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
CL500-29 marine group,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,POS,POS,POS
Ca_Epiflobacter,POS,NEG,NT,NT,NT,NT,NT,POS,NEG,NEG,NEG,NT,NEG,NT,NT,NEG,NEG,POS
Rhodobacter,POS,NEG,NT,VAR,NT,NT,NT,VAR,NT,NT,VAR,NT,NEG,NT,NT,NEG,POS,POS
Thauera,POS,NEG,VAR,POS,NT,NT,NT,POS,NEG,NT,POS,VAR,NEG,NT,NT,POS,POS,POS
BD1-7 clade,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Thermoanaerobaculum,POS,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NEG,NEG,POS,NT,NT,NT,POS,POS
OLB8,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,NEG,NT,POS,NT,NT,NT,POS,POS
midas_g_31,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Terrimonas,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NEG,NT,NT,POS,POS,POS
Rhodoferax,POS,NEG,NT,POS,NT,NT,NT,POS,NEG,NT,POS,VAR,VAR,NT,NT,POS,POS,POS
Romboutsia,POS,NEG,NT,POS,NT,NT,NT,NEG,NT,NT,NT,NEG,POS,POS,NT,NT,POS,POS
DMER64,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Methanothrix,POS,POS,POS,NT,NT,NT,NT,NEG,NT,NT,NT,NT,NT,NT,POS,POS,NT,POS
Syntrophorhabdus,POS,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NEG,NEG,NT,NT,NT,NEG,NEG,NEG
midas_g_43,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Nitrospira,POS,NEG,NT,POS,VAR,POS,NEG,NEG,NEG,NEG,POS,NT,NT,NT,NT,NEG,NT,POS
Propionicimonas,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,POS,NT,NT,NT,POS,NT
midas_g_33,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Paracoccus,POS,NEG,NT,VAR,NT,NT,NT,POS,NEG,NT,VAR,NT,NEG,NT,NT,POS,POS,POS
midas_g_52,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Uliginosibacterium,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NEG,NT,NT,NEG,POS,POS
Christensenellaceae R-7 group,POS,NT,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NT,NEG,NT,NT,NT,NEG,NT
midas_g_55,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_56,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_57,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Rikenellaceae RC9 gut group,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_59,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Clostridium sensu stricto 1,POS,VAR,NT,VAR,NT,NT,NT,NEG,NT,NT,NT,NEG,VAR,NT,NT,POS,POS,POS
midas_g_67,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_70,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_75,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Ca_Caldatribacterium,POS,NT,NT,NEG,NT,NT,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,POS,NT
Terrisporobacter,POS,NEG,NT,NT,NT,NT,NT,NEG,NT,NT,NEG,NEG,POS,POS,NT,POS,POS,POS
Leptothrix,POS,VAR,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,POS,POS,POS
Lacihabitans,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NEG,NT,NT,NT,POS,POS
Ca_Cloacimonas,POS,NT,NT,NT,NT,NT,NT,VAR,NT,NT,NT,NT,POS,NT,NT,POS,POS,POS
midas_g_88,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
W5,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Ferribacterium,POS,NEG,NT,NT,NT,NT,NT,NEG,NT,NT,VAR,NEG,NEG,NT,NT,POS,NEG,NT
midas_g_98,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_99,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Sphingorhabdus,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NEG,NT,NEG,NT,NT,NT,POS,NT
Dietzia,POS,VAR,POS,NT,NT,NT,NT,POS,NT,NT,VAR,NT,NT,NT,NT,POS,POS,POS
Defluviicoccus,POS,VAR,NEG,NEG,NEG,NEG,NEG,POS,NEG,POS,NEG,NEG,VAR,NT,NT,POS,POS,POS
Propioniciclava,POS,NEG,NT,NT,NT,NT,NT,POS,VAR,NT,NT,NT,POS,NT,NT,POS,POS,NT
Acetomicrobium,POS,NEG,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NEG,POS,NT,NT,NEG,POS,POS
Ahniella,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NEG,NT,NT,NT,NT,NT
Ruminococcus,POS,NEG,NT,VAR,NT,NT,NT,NEG,NT,NT,NT,NT,POS,POS,NT,POS,POS,NEG
midas_g_118,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
