SampleID,SampleSite,SampleDate,YearWeek,SampleContent
MQ190702-123,Aalborg W,2018-06-26,2018-26,AS
MQ190702-125,Aalborg W,2018-07-03,2018-27,AS
MQ190702-127,Aalborg W,2018-07-10,2018-28,AS
MQ190702-129,Aalborg W,2018-07-17,2018-29,AS
MQ190702-131,Aalborg W,2018-07-31,2018-31,AS
MQ190702-133,Aalborg W,2018-08-07,2018-32,AS
MQ190702-135,Aalborg W,2018-08-14,2018-33,AS
MQ190702-137,Aalborg W,2018-08-21,2018-34,AS
MQ190702-139,Aalborg W,2018-08-28,2018-35,AS
MQ190702-141,Aalborg W,2018-09-04,2018-36,AS
MQ190702-143,Aalborg W,2018-09-11,2018-37,AS
MQ190702-145,Aalborg W,2018-09-18,2018-38,AS
MQ190702-147,Aalborg W,2018-09-24,2018-39,AS
MQ190702-149,Aalborg W,2018-10-03,2018-40,AS
MQ190702-151,Aalborg W,2018-10-09,2018-41,AS
MQ190702-153,Aalborg W,2018-10-16,2018-42,AS
MQ190702-155,Aalborg W,2018-10-23,2018-43,AS
MQ190702-157,Aalborg W,2018-10-30,2018-44,AS
MQ190702-159,Aalborg W,2018-11-05,2018-45,AS
MQ190702-161,Aalborg W,2018-11-13,2018-46,AS
MQ190702-163,Aalborg W,2018-11-20,2018-47,AS
MQ190702-165,Aalborg W,2018-11-27,2018-48,AS
MQ190702-167,Aalborg W,2018-12-03,2018-49,AS
MQ190702-169,Aalborg W,2018-12-11,2018-50,AS
MQ190702-171,Aalborg W,2018-12-18,2018-51,AS
MQ190702-173,Aalborg W,2019-01-03,2019-1,AS
MQ190702-174,Aalborg W,2019-01-08,2019-2,AS
MQ190702-179,Aalborg W,2019-01-15,2019-3,AS
MQ190702-181,Aalborg W,2019-01-22,2019-4,AS
MQ190702-185,Aalborg W,2019-02-05,2019-6,AS
MQ190702-187,Aalborg W,2019-02-12,2019-7,AS
MQ190702-189,Aalborg W,2019-02-19,2019-8,AS
MQ190702-191,Aalborg W,2019-02-28,2019-9,AS
MQ190702-192,Aalborg W,2019-03-05,2019-10,AS
MQ190702-194,Aalborg W,2019-03-12,2019-11,AS
MQ190702-196,Aalborg W,2019-03-19,2019-12,AS
MQ200420-68,Aalborg W,2019-04-05,2019-14,AS
MQ200420-69,Aalborg W,2019-04-09,2019-15,AS
MQ200420-71,Aalborg W,2019-04-24,2019-17,AS
MQ200420-72,Aalborg W,2019-04-30,2019-18,AS
MQ200420-74,Aalborg W,2019-05-07,2019-19,AS
MQ200420-75,Aalborg W,2019-05-16,2019-20,AS
MQ200420-76,Aalborg W,2019-05-21,2019-21,AS
MQ200420-77,Aalborg W,2019-05-28,2019-22,AS
MQ200420-79,Aalborg W,2019-06-11,2019-24,AS
MQ200420-80,Aalborg W,2019-06-18,2019-25,AS
MQ200420-88,Aalborg W,2019-08-15,2019-33,AS
MQ200420-90,Aalborg W,2019-08-26,2019-34,AS
MQ200420-91,Aalborg W,2019-09-03,2019-36,AS
MQ200420-93,Aalborg W,2019-09-16,2019-37,AS
MQ200420-94,Aalborg W,2019-09-23,2019-38,AS
MQ200420-95,Aalborg W,2019-09-30,2019-39,AS
MQ200420-96,Aalborg W,2019-10-10,2019-41,AS
MQ200420-97,Aalborg W,2019-10-15,2019-42,AS
MQ200420-98,Aalborg W,2019-10-29,2019-44,AS
