SampleID,SampleSite,SampleDate,YearWeek,SampleContent
MQ210420-84,Bjergmarken,2020-06-18,2020-25,IWW
MQ210420-85,Bjergmarken,2019-09-01,2019-35,IWW
MQ210420-86,Bjergmarken,2020-01-23,2020-4,IWW
MQ210420-87,Bjergmarken,2020-05-28,2020-22,IWW
MQ210420-89,Bjergmarken,2019-08-26,2019-34,IWW
MQ210420-91,Bjergmarken,2019-12-17,2019-51,IWW
MQ210420-95,Bjergmarken,2019-11-03,2019-44,IWW
MQ210420-99,Bjergmarken,2019-10-24,2019-43,IWW
MQ210420-101,Bjergmarken,2020-02-19,2020-8,IWW
MQ210420-103,Bjergmarken,2019-07-23,2019-30,IWW
MQ210420-104,Bjergmarken,2019-11-14,2019-46,IWW
MQ210420-106,Bjergmarken,2019-07-08,2019-27,IWW
MQ210420-113,Bjergmarken,2020-01-14,2020-2,IWW
MQ210420-115,Bjergmarken,2019-12-26,2019-52,IWW
MQ210420-116,Bjergmarken,2019-12-10,2019-50,IWW
MQ210420-123,Bjergmarken,2019-12-01,2019-48,IWW
MQ210420-124,Bjergmarken,2019-11-20,2019-47,IWW
