SampleID,SampleSite,SampleDate,YearWeek,SampleContent
MQ211217-59,Ejby Mølle,2020-02-19,2020-8,IWW
MQ211217-60,Ejby Mølle,2019-12-20,2019-51,IWW
MQ211217-61,Ejby Mølle,2020-02-07,2020-6,IWW
MQ211217-62,Ejby Mølle,2019-10-24,2019-43,IWW
MQ211217-63,Ejby Mølle,2019-08-30,2019-35,IWW
MQ211217-64,Ejby Mølle,2019-09-13,2019-37,IWW
MQ211217-65,Ejby Mølle,2019-09-25,2019-39,IWW
MQ211217-67,Ejby Mølle,2020-02-26,2020-9,IWW
MQ211217-68,Ejby Mølle,2019-11-28,2019-48,IWW
MQ211217-69,Ejby Mølle,2019-10-04,2019-40,IWW
MQ211217-70,Ejby Mølle,2020-01-31,2020-5,IWW
MQ211217-72,Ejby Mølle,2019-09-05,2019-36,IWW
MQ211217-74,Ejby Mølle,2019-11-20,2019-47,IWW
MQ211217-76,Ejby Mølle,2020-01-21,2020-3,IWW
MQ211217-78,Ejby Mølle,2019-08-01,2019-31,IWW
MQ211217-79,Ejby Mølle,2019-08-06,2019-32,IWW
MQ211217-80,Ejby Mølle,2019-08-15,2019-33,IWW
MQ211217-81,Ejby Mølle,2019-10-16,2019-42,IWW
MQ211217-82,Ejby Mølle,2019-12-03,2019-49,IWW
MQ211217-83,Ejby Mølle,2019-07-18,2019-29,IWW
MQ211217-84,Ejby Mølle,2019-07-23,2019-30,IWW
MQ211217-85,Ejby Mølle,2019-08-21,2019-34,IWW
MQ211217-86,Ejby Mølle,2019-12-12,2019-50,IWW
MQ211217-89,Ejby Mølle,2019-11-11,2019-45,IWW
MQ211217-90,Ejby Mølle,2019-06-26,2019-26,IWW
MQ211217-92,Ejby Mølle,2019-10-29,2019-44,IWW
MQ211217-93,Ejby Mølle,2019-04-10,2019-15,IWW
MQ211217-94,Ejby Mølle,2019-04-24,2019-17,IWW
MQ211217-95,Ejby Mølle,2019-04-17,2019-16,IWW
MQ211217-96,Ejby Mølle,2019-05-03,2019-18,IWW
MQ211217-97,Ejby Mølle,2019-07-11,2019-28,IWW
MQ211217-98,Ejby Mølle,2019-10-08,2019-41,IWW
MQ211217-99,Ejby Mølle,2019-03-14,2019-11,IWW
MQ211217-100,Ejby Mølle,2019-06-18,2019-25,IWW
MQ211217-101,Ejby Mølle,2019-06-04,2019-23,IWW
MQ211217-102,Ejby Mølle,2019-03-07,2019-10,IWW
MQ211217-103,Ejby Mølle,2019-04-01,2019-13,IWW
MQ211217-105,Ejby Mølle,2019-03-20,2019-12,IWW
MQ211217-106,Ejby Mølle,2019-05-22,2019-21,IWW
MQ211217-107,Ejby Mølle,2019-05-14,2019-20,IWW
MQ211217-108,Ejby Mølle,2019-05-09,2019-19,IWW
MQ211217-109,Ejby Mølle,2019-05-29,2019-22,IWW
MQ211217-110,Ejby Mølle,2019-06-14,2019-24,IWW
