ASV,MQ210115-123,MQ210115-124,MQ210115-125,MQ210115-126,MQ210115-127,MQ210115-128,MQ210115-129,MQ210115-130,MQ210115-131,MQ210115-132,MQ210115-133,MQ210115-135,MQ210115-136,MQ210115-138,MQ210115-139,MQ210115-140,MQ210115-141,MQ210115-143,MQ210115-144,MQ210115-145,MQ210115-147,MQ210115-149,MQ210115-150,MQ210115-152,MQ210115-153,MQ210115-154,MQ210115-157,MQ210115-158,MQ210115-160,MQ210115-161,MQ210115-162,MQ210115-164,MQ210115-165,MQ210115-166,MQ210115-168,MQ210115-170,MQ210115-172
ASV1,404,258,222,271,117,85,185,93,1,101,175,142,130,229,181,167,156,23,84,111,64,106,58,151,194,141,89,70,197,200,0,186,0,143,439,0,0
ASV2,469,375,297,387,174,155,442,171,0,159,523,309,321,465,341,246,179,93,131,160,72,117,157,146,188,113,212,167,274,136,0,226,1,221,443,0,0
ASV3,73,40,18,26,40,58,25,95,0,103,161,175,212,357,342,363,297,154,200,292,184,191,215,182,247,158,63,33,139,151,1,90,0,56,84,0,0
ASV4,1473,1095,1543,650,414,449,1293,236,0,162,750,437,871,712,628,392,508,283,477,324,179,220,250,504,387,494,703,849,1773,438,1,1265,0,596,798,1,0
ASV5,110,89,76,72,28,34,75,30,0,46,195,115,114,203,174,142,142,41,88,81,48,46,65,45,64,30,90,70,119,58,0,82,0,77,202,0,0
ASV6,1152,797,1011,1194,1038,844,1042,440,0,448,570,425,424,566,462,477,389,98,208,201,173,194,231,414,409,369,580,260,1000,1155,2,665,3,554,1094,0,0
ASV8,88,45,34,37,15,25,32,34,0,50,228,167,221,476,514,309,248,135,170,165,109,63,68,93,101,86,58,30,100,71,0,150,0,78,115,0,0
ASV10,1362,658,734,873,829,586,474,271,0,324,715,391,468,745,1045,591,614,68,141,111,74,44,110,99,226,115,223,169,681,406,2,606,2,590,997,2,0
ASV11,1195,861,982,1018,618,715,963,450,0,424,1919,1105,1075,1448,1083,505,381,97,176,149,74,65,78,84,104,79,85,49,168,88,0,251,0,176,367,1,0
ASV13,814,696,823,527,376,391,1176,152,0,104,444,428,638,455,359,167,241,129,262,206,126,95,140,259,199,258,514,511,964,240,2,694,0,311,427,0,0
ASV15,67,37,43,79,56,52,7,31,0,35,47,57,43,72,66,53,45,5,24,30,24,23,21,54,44,37,30,9,37,36,0,28,0,28,45,0,0
ASV16,333,342,226,248,105,129,81,94,0,118,241,153,191,295,264,202,162,75,135,142,147,105,115,152,148,164,107,65,328,229,0,298,1,212,255,0,0
ASV17,461,1130,1883,360,143,203,282,110,0,161,273,164,220,304,290,277,174,249,834,154,318,207,261,295,438,451,156,171,929,315,1,458,1,332,371,2,0
ASV18,106,64,90,80,91,46,69,30,0,29,60,155,108,314,306,146,92,60,256,271,155,196,115,131,175,171,9,4,42,39,0,26,0,19,24,0,0
ASV19,380,353,329,492,360,384,220,179,0,196,220,250,265,308,247,220,207,41,167,125,104,91,124,206,204,181,154,98,360,343,0,290,1,259,448,0,0
ASV20,43,53,45,57,29,35,67,20,0,28,39,27,28,39,29,13,10,3,8,6,11,7,4,22,14,14,10,11,20,13,0,35,0,25,39,0,0
ASV21,10,7,12,24,8,12,0,12,0,7,38,18,44,51,36,36,30,28,19,25,11,19,17,60,46,31,0,1,5,0,0,4,0,4,5,0,0
ASV22,368,330,352,420,475,551,423,293,0,367,326,226,250,263,229,323,228,89,171,156,90,81,98,211,206,185,225,141,523,718,1,272,1,290,519,0,0
ASV26,838,767,1070,1539,1335,1275,1236,807,0,678,975,755,777,943,625,711,525,132,355,291,266,220,348,717,738,659,996,475,2026,2392,7,1628,3,1326,2519,1,0
ASV27,35,30,31,19,16,18,42,10,0,18,55,36,42,83,68,53,51,9,36,21,12,19,17,15,13,11,22,22,34,8,0,20,0,23,51,0,0
ASV28,29,54,46,70,25,53,56,15,0,42,100,52,111,126,82,34,52,27,16,21,14,9,5,9,5,16,5,1,1,5,0,6,0,15,19,0,0
