SampleID,SampleSite,SampleDate,YearWeek,SampleContent
MQ201030-5,Bjergmarken,2019-07-02,2019-27,AS
MQ201030-12,Bjergmarken,2019-07-24,2019-30,AS
MQ201030-13,Bjergmarken,2019-08-23,2019-34,AS
MQ201030-14,Bjergmarken,2019-08-27,2019-35,AS
MQ201030-15,Bjergmarken,2019-10-25,2019-43,AS
MQ201030-16,Bjergmarken,2019-11-01,2019-44,AS
MQ201030-18,Bjergmarken,2019-11-15,2019-46,AS
MQ201030-19,Bjergmarken,2019-11-21,2019-47,AS
MQ201030-20,Bjergmarken,2019-12-02,2019-48,AS
MQ201030-21,Bjergmarken,2019-12-11,2019-50,AS
MQ201030-22,Bjergmarken,2019-12-18,2019-51,AS
MQ201030-23,Bjergmarken,2019-12-27,2019-52,AS
MQ201030-24,Bjergmarken,2020-01-10,2020-2,AS
MQ201030-25,Bjergmarken,2020-01-28,2020-4,AS
MQ201030-26,Bjergmarken,2020-02-20,2020-8,AS
MQ201030-27,Bjergmarken,2020-05-28,2020-22,AS
MQ201030-28,Bjergmarken,2020-06-23,2020-25,AS
