ASV,Bjergmarken 2020-25 IWW,Bjergmarken 2019-35 IWW,Bjergmarken 2020-4 IWW,Bjergmarken 2020-22 IWW,Bjergmarken 2019-34 IWW,Bjergmarken 2019-51 IWW,Bjergmarken 2019-44 IWW,Bjergmarken 2019-43 IWW,Bjergmarken 2020-8 IWW,Bjergmarken 2019-30 IWW,Bjergmarken 2019-46 IWW,Bjergmarken 2019-27 IWW,Bjergmarken 2020-2 IWW,Bjergmarken 2019-52 IWW,Bjergmarken 2019-50 IWW,Bjergmarken 2019-48 IWW,Bjergmarken 2019-47 IWW
ASV1,0,3,29,38,3,1,2,5060,7,0,0,0,1,0,1,0,7
ASV2,0,0,5,49,0,0,0,503,5,1,0,0,3,2,0,0,1
ASV3,0,0,1,9,0,0,0,703,0,0,0,0,2,0,0,0,1
ASV4,5841,8489,12278,22847,4632,11627,6923,6012,42214,3613,8809,9035,16284,12445,7557,5632,16662
ASV5,0,0,4,6,0,0,0,393,3,0,0,0,0,9,0,0,2
ASV6,11,47,261,37,11,8,7,112,46,43,7,17,17,37,25,41,17
ASV8,0,0,6,1,0,0,2,200,0,0,0,0,1,0,0,0,0
ASV9,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
ASV10,21,89,59,60,43,25,19,128,71,24,7,33,42,13,13,13,35
ASV11,0,0,5,0,0,0,0,48,0,0,0,0,0,0,0,0,0
ASV12,0,0,17,12,1,1,0,1005,0,0,1,1,0,0,0,0,1
ASV13,2616,3919,5817,10269,1998,5743,3232,2827,20240,1744,4198,4035,7929,6110,3649,2636,8377
ASV14,3,8,9,4,1,1,0,56,9,0,4,2,13,2,0,0,5
ASV15,0,1,6,4,0,0,0,1909,2,0,0,0,0,0,1,0,0
ASV16,0,0,1,4,0,0,0,54,0,0,0,0,0,0,0,0,2
ASV17,438,1516,2802,2144,537,2086,1381,907,11620,215,532,210,3004,1077,706,616,2120
ASV18,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0
ASV19,0,0,2,0,0,0,0,45,0,0,0,0,0,0,0,0,0
ASV20,0,0,25,3,0,2,0,8,1,1,0,0,0,1,2,0,1
ASV22,2,3,24,4,1,2,0,103,4,1,2,1,6,2,0,5,2
ASV24,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,2
ASV26,7,35,72,28,13,7,5,38,42,19,9,6,21,17,9,9,18
ASV27,0,1,2,6,0,1,0,153,0,0,0,0,0,4,0,0,0
ASV28,1,2,11,6,0,2,2,8,14,0,0,0,3,1,1,0,1
ASV29,0,0,7,1,0,0,0,216,0,0,0,0,0,0,0,0,0
ASV30,1,2,4,5,2,0,0,34,0,0,0,0,2,0,0,0,0
ASV32,0,0,2,0,1,0,0,182,1,0,0,0,0,0,0,0,0
ASV33,0,0,1,1,0,0,0,230,1,0,0,0,1,0,0,0,0
ASV35,0,0,13,4,2,0,0,761,0,0,0,0,0,0,0,0,0
ASV36,0,0,8,4,0,1,0,169,1,0,0,0,1,0,0,1,0
ASV38,0,1,1,0,0,1,0,61,0,0,0,0,2,0,1,0,1
ASV40,0,2,4,5,1,0,0,658,2,0,0,0,0,2,0,0,0
ASV41,0,0,4,0,0,0,0,157,0,0,0,0,0,0,0,0,0
ASV42,0,0,14,2,0,0,0,299,0,0,1,0,0,0,0,0,0
ASV43,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
ASV45,0,0,1,1,0,0,0,9,0,0,0,0,0,0,0,0,0
ASV47,152,573,653,458,354,186,240,284,1102,215,170,299,324,188,166,113,222
ASV50,16,150,419,55,12,5,21,969,53,13,10,10,11,114,116,54,26
ASV51,0,0,2,1,0,0,0,253,0,0,0,0,1,0,2,0,0
ASV52,0,1,1,0,0,0,0,72,0,0,0,0,1,1,0,0,0
ASV53,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
ASV54,0,2,19,6,0,1,0,150,0,0,0,0,0,0,0,0,1
ASV55,1,6,10,2,0,0,1,425,1,0,0,0,1,0,0,0,2
ASV57,0,1,3,1,0,0,0,119,0,0,0,0,0,0,0,0,0
ASV60,0,4,3,0,2,0,0,36,1,1,1,2,1,0,1,0,6
ASV62,0,0,2,4,0,0,1,87,3,0,0,0,0,0,0,0,0
ASV63,0,2,6,2,0,1,1,9,23,1,0,0,3,3,0,1,3
ASV65,0,0,2,1,0,0,0,48,0,0,0,0,2,0,1,0,2
ASV67,0,0,8,3,0,0,1,174,0,0,0,0,0,0,0,0,1
ASV69,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0
ASV70,0,6,9,12,11,1,5,223,0,2,2,7,1,2,0,1,4
ASV71,0,0,3,2,0,0,0,82,0,0,0,0,0,0,0,0,0
ASV72,0,0,2,11,0,0,0,20,0,0,0,0,0,0,0,0,0
ASV74,0,0,1,3,0,0,0,52,0,0,0,0,0,0,0,0,0
ASV76,0,0,0,2,0,0,0,9,4,0,0,0,0,0,0,0,0
ASV78,0,0,4,4,0,0,1,128,0,0,0,0,0,0,0,0,1
ASV79,1,1,6,3,3,3,0,56,0,0,0,2,2,0,2,0,0
ASV81,0,0,2,0,0,0,2,32,2,0,0,0,1,0,0,0,0
ASV84,0,0,0,1,0,0,0,41,0,0,0,0,0,0,0,0,0
ASV88,0,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0
ASV92,0,1,1,3,0,0,0,105,3,0,0,0,1,0,0,0,2
ASV96,0,0,4,0,0,1,0,83,2,0,0,0,1,1,0,0,1
ASV97,1,4,16,33,1,1,0,379,8,0,1,1,5,6,2,1,2
ASV98,57,334,477,242,219,123,118,210,489,69,79,120,217,85,75,48,126
ASV99,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0
ASV103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ASV104,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0
ASV106,1,7,0,2,1,0,0,73,1,0,0,0,1,0,0,0,1
ASV108,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
ASV109,1048,535,1008,1209,1249,841,226,514,1065,310,638,232,283,76,1224,88,834
ASV110,0,0,1,2,0,0,0,15,0,0,0,0,0,0,0,0,0
ASV111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV112,2,25,14,36,13,8,5,154,18,7,7,10,8,3,8,6,15
ASV113,397,547,768,1306,371,717,413,445,3041,299,606,608,1022,723,456,339,979
ASV115,0,2,3,0,0,0,0,13,0,0,0,0,0,0,1,0,0
ASV116,1,6,5,8,1,1,2,280,1,2,0,2,4,1,0,0,4
ASV118,561,830,1263,2136,484,1231,638,674,3991,325,773,788,1657,1301,784,550,1838
ASV119,46,180,162,140,112,62,70,121,268,59,30,79,120,31,39,26,63
ASV120,1,2,25,6,0,0,1,79,1,0,0,0,1,4,0,0,0
ASV122,0,0,8,0,0,0,0,135,3,0,0,0,0,0,0,0,1
ASV123,0,0,1,4,0,0,0,82,0,0,0,0,0,0,0,0,0
ASV127,0,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0
ASV133,0,2,3,1,0,0,0,58,0,0,0,0,0,0,0,2,0
ASV134,58,306,380,253,175,133,143,217,593,116,91,188,208,106,69,57,145
ASV135,0,3,17,0,0,0,1,19,1,3,1,1,0,0,0,0,0
ASV136,0,0,1,3,0,0,0,191,1,0,0,0,0,0,0,0,0
ASV137,0,0,1,0,0,0,0,155,1,0,0,0,0,0,0,0,0
ASV138,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
ASV139,0,0,3,0,0,0,0,78,0,0,0,0,0,0,0,0,0
ASV142,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
ASV144,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
ASV145,427,1940,2023,1739,1085,770,934,552,3564,676,632,993,1043,716,671,401,829
ASV146,0,0,1,0,0,0,0,206,0,0,1,0,0,0,0,0,0
ASV147,78,245,226,189,132,69,88,187,337,62,118,56,144,77,63,50,193
ASV148,13,16,109,32,5,12,3,12,53,2,4,2,13,10,10,4,13
ASV149,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,1
ASV150,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0
ASV151,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0
ASV154,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
ASV155,0,0,1,0,0,0,0,15,1,0,0,0,0,0,0,0,1
ASV156,66,79,101,128,48,59,25,51,92,22,24,53,75,34,20,25,76
ASV157,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
ASV160,0,0,0,0,0,0,0,67,0,0,0,0,0,1,0,0,0
