SampleID,oldSampleID,SampleSite,SampleDate,YearWeek,SampleContent
Ejby Mølle 2019-10 AS,MQ201030-83,Ejby Mølle,2019-03-07,2019-10,AS
Ejby Mølle 2019-11 AS,MQ201030-84,Ejby Mølle,2019-03-14,2019-11,AS
Ejby Mølle 2019-12 AS,MQ201030-85,Ejby Mølle,2019-03-20,2019-12,AS
Ejby Mølle 2019-13 AS,MQ201030-86,Ejby Mølle,2019-03-27,2019-13,AS
Ejby Mølle 2019-15 AS,MQ201030-88,Ejby Mølle,2019-04-11,2019-15,AS
Ejby Mølle 2019-16 AS,MQ201030-89,Ejby Mølle,2019-04-16,2019-16,AS
Ejby Mølle 2019-17 AS,MQ201030-90,Ejby Mølle,2019-04-23,2019-17,AS
Ejby Mølle 2019-18 AS,MQ201030-91,Ejby Mølle,2019-05-03,2019-18,AS
Ejby Mølle 2019-19 AS,MQ201030-92,Ejby Mølle,2019-05-09,2019-19,AS
Ejby Mølle 2019-20 AS,MQ201030-93,Ejby Mølle,2019-05-14,2019-20,AS
Ejby Mølle 2019-21 AS,MQ201030-94,Ejby Mølle,2019-05-23,2019-21,AS
Ejby Mølle 2019-22 AS,MQ201030-95,Ejby Mølle,2019-05-29,2019-22,AS
Ejby Mølle 2019-23 AS,MQ201030-96,Ejby Mølle,2019-06-04,2019-23,AS
Ejby Mølle 2019-24 AS,MQ201030-97,Ejby Mølle,2019-06-14,2019-24,AS
Ejby Mølle 2019-25 AS,MQ201030-98,Ejby Mølle,2019-06-18,2019-25,AS
Ejby Mølle 2019-26 AS,MQ201030-99,Ejby Mølle,2019-06-27,2019-26,AS
Ejby Mølle 2019-28 AS,MQ201030-101,Ejby Mølle,2019-07-10,2019-28,AS
Ejby Mølle 2019-29 AS,MQ201030-102,Ejby Mølle,2019-07-19,2019-29,AS
Ejby Mølle 2019-30 AS,MQ201030-103,Ejby Mølle,2019-07-23,2019-30,AS
Ejby Mølle 2019-31 AS,MQ201030-104,Ejby Mølle,2019-08-01,2019-31,AS
Ejby Mølle 2019-32 AS,MQ201030-105,Ejby Mølle,2019-08-06,2019-32,AS
Ejby Mølle 2019-33 AS,MQ201030-106,Ejby Mølle,2019-08-15,2019-33,AS
Ejby Mølle 2019-34 AS,MQ201030-107,Ejby Mølle,2019-08-22,2019-34,AS
Ejby Mølle 2019-35 AS,MQ201030-108,Ejby Mølle,2019-08-30,2019-35,AS
Ejby Mølle 2019-36 AS,MQ201030-109,Ejby Mølle,2019-09-06,2019-36,AS
Ejby Mølle 2019-37 AS,MQ201030-110,Ejby Mølle,2019-09-13,2019-37,AS
Ejby Mølle 2019-39 AS,MQ201030-112,Ejby Mølle,2019-09-26,2019-39,AS
Ejby Mølle 2019-40 AS,MQ201030-113,Ejby Mølle,2019-10-04,2019-40,AS
Ejby Mølle 2019-41 AS,MQ201030-114,Ejby Mølle,2019-10-08,2019-41,AS
Ejby Mølle 2019-42 AS,MQ201030-115,Ejby Mølle,2019-10-16,2019-42,AS
Ejby Mølle 2019-43 AS,MQ201030-116,Ejby Mølle,2019-10-24,2019-43,AS
Ejby Mølle 2019-44 AS,MQ201030-117,Ejby Mølle,2019-10-29,2019-44,AS
Ejby Mølle 2019-45 AS,MQ201030-118,Ejby Mølle,2019-11-07,2019-45,AS
Ejby Mølle 2019-47 AS,MQ201030-120,Ejby Mølle,2019-11-19,2019-47,AS
Ejby Mølle 2019-48 AS,MQ201030-122,Ejby Mølle,2019-11-28,2019-48,AS
Ejby Mølle 2019-49 AS,MQ201030-123,Ejby Mølle,2019-12-03,2019-49,AS
Ejby Mølle 2019-50 AS,MQ201030-124,Ejby Mølle,2019-12-13,2019-50,AS
Ejby Mølle 2019-51 AS,MQ201030-125,Ejby Mølle,2019-12-20,2019-51,AS
Ejby Mølle 2020-3 AS,MQ201030-127,Ejby Mølle,2020-01-16,2020-3,AS
Ejby Mølle 2020-5 AS,MQ201030-129,Ejby Mølle,2020-01-30,2020-5,AS
Ejby Mølle 2020-6 AS,MQ201030-131,Ejby Mølle,2020-02-07,2020-6,AS
Ejby Mølle 2020-8 AS,MQ201030-133,Ejby Mølle,2020-02-19,2020-8,AS
Ejby Mølle 2020-9 AS,MQ201030-134,Ejby Mølle,2020-02-26,2020-9,AS
