SampleID,oldSampleID,SampleSite,SampleDate,YearWeek,SampleContent
Haderslev 2019-9 AS,MQ210115-123,Haderslev,2019-03-04,2019-9,AS
Haderslev 2019-11 AS,MQ210115-124,Haderslev,2019-03-14,2019-11,AS
Haderslev 2019-12 AS,MQ210115-125,Haderslev,2019-03-21,2019-12,AS
Haderslev 2019-13 AS,MQ210115-126,Haderslev,2019-03-26,2019-13,AS
Haderslev 2019-14 AS,MQ210115-127,Haderslev,2019-04-03,2019-14,AS
Haderslev 2019-15 AS,MQ210115-128,Haderslev,2019-04-11,2019-15,AS
Haderslev 2019-16 AS,MQ210115-129,Haderslev,2019-04-16,2019-16,AS
Haderslev 2019-17 AS,MQ210115-130,Haderslev,2019-04-25,2019-17,AS
Haderslev 2019-18 AS,MQ210115-131,Haderslev,2019-05-01,2019-18,AS
Haderslev 2019-19 AS,MQ210115-132,Haderslev,2019-05-10,2019-19,AS
Haderslev 2019-20 AS,MQ210115-133,Haderslev,2019-05-16,2019-20,AS
Haderslev 2019-22 AS,MQ210115-135,Haderslev,2019-05-29,2019-22,AS
Haderslev 2019-23 AS,MQ210115-136,Haderslev,2019-06-06,2019-23,AS
Haderslev 2019-25 AS,MQ210115-138,Haderslev,2019-06-18,2019-25,AS
Haderslev 2019-26 AS,MQ210115-139,Haderslev,2019-06-25,2019-26,AS
Haderslev 2019-27 AS,MQ210115-140,Haderslev,2019-07-02,2019-27,AS
Haderslev 2019-28 AS,MQ210115-141,Haderslev,2019-07-09,2019-28,AS
Haderslev 2019-30 AS,MQ210115-143,Haderslev,2019-07-24,2019-30,AS
Haderslev 2019-31 AS,MQ210115-144,Haderslev,2019-07-30,2019-31,AS
Haderslev 2019-32 AS,MQ210115-145,Haderslev,2019-08-06,2019-32,AS
Haderslev 2019-34 AS,MQ210115-147,Haderslev,2019-08-21,2019-34,AS
Haderslev 2019-36 AS,MQ210115-149,Haderslev,2019-09-05,2019-36,AS
Haderslev 2019-37 AS,MQ210115-150,Haderslev,2019-09-11,2019-37,AS
Haderslev 2019-39 AS,MQ210115-152,Haderslev,2019-09-25,2019-39,AS
Haderslev 2019-40 AS,MQ210115-153,Haderslev,2019-10-03,2019-40,AS
Haderslev 2019-41 AS,MQ210115-154,Haderslev,2019-10-08,2019-41,AS
Haderslev 2019-45 AS,MQ210115-157,Haderslev,2019-11-07,2019-45,AS
Haderslev 2019-46 AS,MQ210115-158,Haderslev,2019-11-12,2019-46,AS
Haderslev 2019-48 AS,MQ210115-160,Haderslev,2019-11-28,2019-48,AS
Haderslev 2019-49 AS,MQ210115-161,Haderslev,2019-12-03,2019-49,AS
Haderslev 2019-50 AS,MQ210115-162,Haderslev,2019-12-10,2019-50,AS
Haderslev 2020-1 AS,MQ210115-164,Haderslev,2020-01-02,2020-1,AS
Haderslev 2020-2 AS,MQ210115-165,Haderslev,2020-01-08,2020-2,AS
Haderslev 2020-3 AS,MQ210115-166,Haderslev,2020-01-15,2020-3,AS
Haderslev 2020-5 AS,MQ210115-168,Haderslev,2020-01-30,2020-5,AS
Haderslev 2020-7 AS,MQ210115-170,Haderslev,2020-02-13,2020-7,AS
Haderslev 2020-8 AS,MQ210115-172,Haderslev,2020-02-25,2020-8,AS
