SampleID,oldSampleID,SampleSite,SampleDate,YearWeek,SampleContent
Kalundborg 2019-24 IWW,MQ210528-1,Kalundborg,2019-06-11,2019-24,IWW
Kalundborg 2019-10 IWW,MQ210528-3,Kalundborg,2019-03-11,2019-10,IWW
Kalundborg 2019-25 IWW,MQ210528-5,Kalundborg,2019-06-24,2019-25,IWW
Kalundborg 2019-14 IWW,MQ210528-7,Kalundborg,2019-04-08,2019-14,IWW
Kalundborg 2019-22 IWW,MQ210528-9,Kalundborg,2019-06-03,2019-22,IWW
Kalundborg 2019-12 IWW,MQ210528-11,Kalundborg,2019-03-25,2019-12,IWW
Kalundborg 2019-19 IWW,MQ210528-13,Kalundborg,2019-05-13,2019-19,IWW
Kalundborg 2019-15 IWW,MQ210528-15,Kalundborg,2019-04-15,2019-15,IWW
Kalundborg 2019-9 IWW,MQ210528-17,Kalundborg,2019-03-04,2019-9,IWW
Kalundborg 2019-13 IWW,MQ210528-19,Kalundborg,2019-04-01,2019-13,IWW
Kalundborg 2019-21 IWW,MQ210528-21,Kalundborg,2019-05-27,2019-21,IWW
Kalundborg 2019-11 IWW,MQ210528-23,Kalundborg,2019-03-18,2019-11,IWW
Kalundborg 2019-20 IWW,MQ210528-25,Kalundborg,2019-05-20,2019-20,IWW
Kalundborg 2019-17 IWW,MQ210528-27,Kalundborg,2019-04-29,2019-17,IWW
Kalundborg 2019-18 IWW,MQ210528-33,Kalundborg,2019-05-06,2019-18,IWW
Kalundborg 2019-31 IWW,MQ210528-35,Kalundborg,2019-08-05,2019-31,IWW
Kalundborg 2019-41 IWW,MQ210528-37,Kalundborg,2019-10-14,2019-41,IWW
Kalundborg 2019-32 IWW,MQ210528-39,Kalundborg,2019-08-12,2019-32,IWW
Kalundborg 2019-27 IWW,MQ210528-41,Kalundborg,2019-07-08,2019-27,IWW
Kalundborg 2019-40 IWW,MQ210528-43,Kalundborg,2019-10-07,2019-40,IWW
Kalundborg 2019-50 IWW,MQ210528-45,Kalundborg,2019-12-11,2019-50,IWW
Kalundborg 2019-45 IWW,MQ210528-47,Kalundborg,2019-11-11,2019-45,IWW
Kalundborg 2019-36 IWW,MQ210528-49,Kalundborg,2019-09-09,2019-36,IWW
Kalundborg 2019-33 IWW,MQ210528-55,Kalundborg,2019-08-19,2019-33,IWW
Kalundborg 2019-38 IWW,MQ210528-59,Kalundborg,2019-09-23,2019-38,IWW
Kalundborg 2019-48 IWW,MQ210528-61,Kalundborg,2019-12-02,2019-48,IWW
Kalundborg 2019-44 IWW,MQ210528-63,Kalundborg,2019-11-04,2019-44,IWW
Kalundborg 2019-35 IWW,MQ210604-1,Kalundborg,2019-08-30,2019-35,IWW
Kalundborg 2019-28 IWW,MQ210604-3,Kalundborg,2019-07-15,2019-28,IWW
Kalundborg 2019-47 IWW,MQ210604-5,Kalundborg,2019-11-25,2019-47,IWW
Kalundborg 2019-29 IWW,MQ210604-7,Kalundborg,2019-07-22,2019-29,IWW
Kalundborg 2019-43 IWW,MQ210604-9,Kalundborg,2019-10-28,2019-43,IWW
Kalundborg 2020-8 IWW,MQ210604-11,Kalundborg,2020-02-24,2020-8,IWW
Kalundborg 2020-5 IWW,MQ210604-13,Kalundborg,2020-02-03,2020-5,IWW
Kalundborg 2020-3 IWW,MQ210604-15,Kalundborg,2020-01-15,2020-3,IWW
Kalundborg 2020-6 IWW,MQ210604-17,Kalundborg,2020-02-10,2020-6,IWW
Kalundborg 2020-4 IWW,MQ210604-19,Kalundborg,2020-01-27,2020-4,IWW
Kalundborg 2019-37 IWW,MQ210604-21,Kalundborg,2019-09-16,2019-37,IWW
