ASV,MQ210118-6,MQ210118-8,MQ210118-10,MQ210118-13,MQ210118-14,MQ210118-15,MQ210118-16,MQ210118-20,MQ210118-21,MQ210118-27,MQ210118-28,MQ210118-29,MQ210118-30,MQ210118-31,MQ210118-32,MQ210118-33,MQ210118-35,MQ210118-36,MQ210118-37,MQ210118-38,MQ210118-39,MQ210118-41,MQ210118-45,MQ210118-47,MQ210118-48,MQ210118-49,MQ210118-50,MQ210118-52,MQ210118-53,MQ210118-54,MQ210118-55
ASV1,688,950,123,110,51,53,36,192,199,271,283,193,222,251,198,229,426,1236,1611,1095,621,559,768,717,399,530,308,316,273,210,209
ASV2,4830,6345,1583,1693,1134,1256,762,1037,816,201,113,50,50,68,66,52,41,130,156,144,142,143,246,245,241,212,196,328,327,438,556
ASV3,4796,6626,8082,10282,8170,9388,8413,14999,12795,9853,7036,4385,4311,3319,2713,974,644,1221,954,846,521,488,683,761,679,606,693,742,699,541,487
ASV4,2212,2630,636,376,242,278,181,347,250,282,239,171,319,410,271,322,403,857,962,1188,797,1109,945,864,778,798,599,580,1075,1026,959
ASV5,107,151,32,44,25,38,21,85,68,268,135,112,89,161,84,83,91,187,187,149,136,123,191,171,198,137,158,174,139,125,145
ASV6,259,317,273,196,114,146,73,160,123,233,214,212,244,297,286,318,371,709,742,724,492,548,667,529,394,390,397,377,477,483,482
ASV8,85,110,228,301,241,258,237,326,280,399,341,248,286,267,189,187,184,386,493,450,344,348,567,466,403,301,263,380,361,297,298
ASV10,165,189,8,15,6,5,2,15,9,28,21,10,13,25,18,20,34,105,112,88,78,70,75,82,65,73,47,56,34,37,43
ASV11,781,936,1936,1610,1258,1292,894,935,632,496,395,358,412,517,388,410,448,1023,1250,1248,867,1075,1699,1336,1098,939,887,1097,1228,1198,1105
ASV12,551,618,114,95,70,78,57,215,204,257,205,134,166,166,141,107,152,381,414,250,159,202,245,213,142,146,107,95,116,69,77
ASV13,965,1138,317,155,114,105,94,184,126,120,93,88,137,162,119,146,199,413,443,531,349,467,390,399,299,355,271,274,522,458,497
ASV15,63,77,3,1,2,1,3,4,5,4,3,3,5,4,5,7,9,30,26,15,22,7,26,18,9,17,17,6,5,8,9
ASV16,333,538,1036,831,623,703,530,587,491,228,174,198,213,238,202,211,237,449,545,580,443,611,1262,880,778,649,636,765,804,694,817
ASV17,355,479,627,443,483,580,410,319,322,431,346,799,1056,1031,811,1095,1249,2248,2364,2373,1895,1663,2138,2162,1715,1359,1182,1262,2143,1747,1712
ASV18,51,75,135,336,329,273,263,353,344,256,177,209,342,238,199,152,55,66,119,231,41,58,200,189,64,147,55,140,158,41,51
ASV19,89,120,82,66,35,43,39,45,34,48,37,30,35,48,48,31,57,86,98,60,53,86,86,78,42,74,62,60,96,98,73
ASV20,93,143,262,216,132,175,121,184,150,147,138,129,169,221,135,123,156,243,326,323,231,242,525,364,311,232,255,264,278,269,302
ASV22,286,433,232,158,109,116,71,167,144,300,274,300,230,356,251,239,377,748,855,478,400,502,567,605,302,429,301,279,401,449,337
