SampleID,oldSampleID,SampleSite,SampleDate,YearWeek,SampleContent
Næstved 2019-17 AS,MQ210118-6,Næstved,2019-04-24,2019-17,AS
Næstved 2019-19 AS,MQ210118-8,Næstved,2019-05-08,2019-19,AS
Næstved 2019-21 AS,MQ210118-10,Næstved,2019-05-22,2019-21,AS
Næstved 2019-24 AS,MQ210118-13,Næstved,2019-06-12,2019-24,AS
Næstved 2019-25 AS,MQ210118-14,Næstved,2019-06-19,2019-25,AS
Næstved 2019-26 AS,MQ210118-15,Næstved,2019-06-26,2019-26,AS
Næstved 2019-27 AS,MQ210118-16,Næstved,2019-07-03,2019-27,AS
Næstved 2019-31 AS,MQ210118-20,Næstved,2019-07-31,2019-31,AS
Næstved 2019-32 AS,MQ210118-21,Næstved,2019-08-07,2019-32,AS
Næstved 2019-38 AS,MQ210118-27,Næstved,2019-09-18,2019-38,AS
Næstved 2019-39 AS,MQ210118-28,Næstved,2019-09-25,2019-39,AS
Næstved 2019-41 AS,MQ210118-29,Næstved,2019-10-09,2019-41,AS
Næstved 2019-40 AS,MQ210118-30,Næstved,2019-10-02,2019-40,AS
Næstved 2019-42 AS,MQ210118-31,Næstved,2019-10-16,2019-42,AS
Næstved 2019-43 AS,MQ210118-32,Næstved,2019-10-23,2019-43,AS
Næstved 2019-44 AS,MQ210118-33,Næstved,2019-10-31,2019-44,AS
Næstved 2019-45 AS,MQ210118-35,Næstved,2019-11-06,2019-45,AS
Næstved 2019-46 AS,MQ210118-36,Næstved,2019-11-13,2019-46,AS
Næstved 2019-47 AS,MQ210118-37,Næstved,2019-11-20,2019-47,AS
Næstved 2019-48 AS,MQ210118-38,Næstved,2019-11-28,2019-48,AS
Næstved 2019-49 AS,MQ210118-39,Næstved,2019-12-05,2019-49,AS
Næstved 2019-51 AS,MQ210118-41,Næstved,2019-12-18,2019-51,AS
Næstved 2020-3 AS,MQ210118-45,Næstved,2020-01-16,2020-3,AS
Næstved 2020-5 AS,MQ210118-47,Næstved,2020-01-29,2020-5,AS
Næstved 2020-6 AS,MQ210118-48,Næstved,2020-02-05,2020-6,AS
Næstved 2020-7 AS,MQ210118-49,Næstved,2020-02-13,2020-7,AS
Næstved 2020-8 AS,MQ210118-50,Næstved,2020-02-20,2020-8,AS
Næstved 2020-10 AS,MQ210118-52,Næstved,2020-03-04,2020-10,AS
Næstved 2020-11 AS,MQ210118-53,Næstved,2020-03-11,2020-11,AS
Næstved 2020-12 AS,MQ210118-54,Næstved,2020-03-18,2020-12,AS
Næstved 2020-13 AS,MQ210118-55,Næstved,2020-03-25,2020-13,AS
