SampleID,SampleSite,SampleDate,YearWeek,SampleContent
MQ211215-109,Næstved,2019-08-08,2019-32,IWW
MQ211215-110,Næstved,2019-09-18,2019-38,IWW
MQ211215-111,Næstved,2019-11-13,2019-46,IWW
MQ211215-112,Næstved,2020-01-29,2020-5,IWW
MQ211215-113,Næstved,2020-01-21,2020-3,IWW
MQ211215-115,Næstved,2019-12-05,2019-49,IWW
MQ211215-116,Næstved,2019-12-18,2019-51,IWW
MQ211215-117,Næstved,2019-11-27,2019-48,IWW
MQ211215-118,Næstved,2019-10-02,2019-40,IWW
MQ211215-119,Næstved,2019-10-23,2019-43,IWW
MQ211215-120,Næstved,2019-11-06,2019-45,IWW
MQ211215-121,Næstved,2020-03-04,2020-10,IWW
MQ211215-122,Næstved,2020-02-05,2020-6,IWW
MQ211215-123,Næstved,2020-02-25,2020-8,IWW
MQ211215-124,Næstved,2020-02-12,2020-7,IWW
MQ211215-125,Næstved,2019-05-13,2019-19,IWW
MQ211215-126,Næstved,2019-05-22,2019-21,IWW
MQ211215-129,Næstved,2019-04-25,2019-17,IWW
MQ211215-130,Næstved,2019-06-19,2019-25,IWW
MQ211215-131,Næstved,2019-07-03,2019-27,IWW
MQ211215-132,Næstved,2019-06-26,2019-26,IWW
MQ211215-133,Næstved,2019-08-01,2019-31,IWW
MQ211215-134,Næstved,2020-03-17,2020-11,IWW
MQ211215-135,Næstved,2020-03-31,2020-13,IWW
MQ211215-136,Næstved,2019-06-14,2019-24,IWW
MQ211215-137,Næstved,2020-03-24,2020-12,IWW
MQ211215-139,Næstved,2019-11-20,2019-47,IWW
MQ211215-140,Næstved,2019-10-30,2019-44,IWW
MQ211215-141,Næstved,2019-10-16,2019-42,IWW
MQ211215-142,Næstved,2019-09-25,2019-39,IWW
MQ211215-143,Næstved,2019-10-09,2019-41,IWW
