SampleID,SampleSite,SampleDate,YearWeek,SampleContent
MQ201118-105,Randers,2019-03-08,2019-10,AS
MQ201118-106,Randers,2019-03-15,2019-11,AS
MQ201118-107,Randers,2019-03-19,2019-12,AS
MQ201118-108,Randers,2019-03-27,2019-13,AS
MQ201118-109,Randers,2019-04-04,2019-14,AS
MQ201118-110,Randers,2019-04-12,2019-15,AS
MQ201118-111,Randers,2019-04-16,2019-16,AS
MQ201118-112,Randers,2019-04-23,2019-17,AS
MQ201118-114,Randers,2019-05-09,2019-19,AS
MQ201118-115,Randers,2019-05-14,2019-20,AS
MQ201118-116,Randers,2019-05-22,2019-21,AS
MQ201118-117,Randers,2019-05-28,2019-22,AS
MQ201118-118,Randers,2019-06-06,2019-23,AS
MQ201118-119,Randers,2019-06-14,2019-24,AS
MQ201118-120,Randers,2019-06-18,2019-25,AS
MQ201118-121,Randers,2019-06-26,2019-26,AS
MQ201118-122,Randers,2019-07-05,2019-27,AS
MQ201118-123,Randers,2019-07-11,2019-28,AS
MQ201118-124,Randers,2019-07-19,2019-29,AS
MQ201118-125,Randers,2019-07-25,2019-30,AS
MQ201118-126,Randers,2019-07-30,2019-31,AS
MQ201118-127,Randers,2019-08-09,2019-32,AS
MQ201118-128,Randers,2019-08-14,2019-33,AS
MQ201118-129,Randers,2019-08-22,2019-34,AS
MQ201118-130,Randers,2019-08-27,2019-35,AS
MQ201118-131,Randers,2019-09-04,2019-36,AS
MQ201118-132,Randers,2019-09-13,2019-37,AS
MQ201118-136,Randers,2019-09-17,2019-38,AS
MQ201118-137,Randers,2019-09-25,2019-39,AS
MQ201118-138,Randers,2019-10-03,2019-40,AS
MQ201118-139,Randers,2019-10-11,2019-41,AS
MQ201118-140,Randers,2019-10-15,2019-42,AS
MQ201118-141,Randers,2019-10-23,2019-43,AS
MQ201118-142,Randers,2019-10-31,2019-44,AS
MQ201118-143,Randers,2019-11-08,2019-45,AS
MQ201118-144,Randers,2019-11-12,2019-46,AS
MQ201118-145,Randers,2019-11-20,2019-47,AS
MQ201118-146,Randers,2019-11-29,2019-48,AS
MQ201118-147,Randers,2019-12-03,2019-49,AS
MQ201118-148,Randers,2019-12-11,2019-50,AS
MQ201118-149,Randers,2019-12-20,2019-51,AS
MQ201118-150,Randers,2019-12-27,2019-52,AS
MQ201118-151,Randers,2020-01-03,2020-1,AS
MQ201118-153,Randers,2020-01-17,2020-3,AS
MQ201118-155,Randers,2020-01-29,2020-5,AS
MQ201118-156,Randers,2020-02-06,2020-6,AS
MQ201118-157,Randers,2020-02-14,2020-7,AS
MQ201118-159,Randers,2020-02-27,2020-9,AS
