SampleID,oldSampleID,SampleSite,SampleDate,YearWeek,SampleContent
Ribe 2019-26 IWW,MQ211108-1,Ribe,2019-06-26,2019-26,IWW
Ribe 2019-29 IWW,MQ211108-2,Ribe,2019-07-17,2019-29,IWW
Ribe 2019-36 IWW,MQ211108-3,Ribe,2019-09-04,2019-36,IWW
Ribe 2019-34 IWW,MQ211108-4,Ribe,2019-08-21,2019-34,IWW
Ribe 2019-27 IWW,MQ211108-5,Ribe,2019-07-05,2019-27,IWW
Ribe 2019-28 IWW,MQ211108-6,Ribe,2019-07-10,2019-28,IWW
Ribe 2020-9 IWW,MQ211108-7,Ribe,2020-02-26,2020-9,IWW
Ribe 2019-25 IWW,MQ211108-8,Ribe,2019-06-19,2019-25,IWW
Ribe 2020-4 IWW,MQ211108-9,Ribe,2020-01-22,2020-4,IWW
Ribe 2019-30 IWW,MQ211108-10,Ribe,2019-07-24,2019-30,IWW
Ribe 2020-8 IWW,MQ211108-11,Ribe,2020-02-19,2020-8,IWW
Ribe 2019-35 IWW,MQ211108-12,Ribe,2019-08-28,2019-35,IWW
Ribe 2019-31 IWW,MQ211108-13,Ribe,2019-07-31,2019-31,IWW
Ribe 2019-33 IWW,MQ211108-14,Ribe,2019-08-14,2019-33,IWW
Ribe 2019-32 IWW,MQ211108-15,Ribe,2019-08-07,2019-32,IWW
Ribe 2019-22 IWW,MQ211108-17,Ribe,2019-05-29,2019-22,IWW
Ribe 2019-19 IWW,MQ211108-18,Ribe,2019-05-07,2019-19,IWW
Ribe 2019-23 IWW,MQ211108-19,Ribe,2019-06-06,2019-23,IWW
Ribe 2019-12 IWW,MQ211108-21,Ribe,2019-03-21,2019-12,IWW
Ribe 2019-13 IWW,MQ211108-22,Ribe,2019-03-27,2019-13,IWW
Ribe 2019-15 IWW,MQ211108-24,Ribe,2019-04-10,2019-15,IWW
Ribe 2019-17 IWW,MQ211108-26,Ribe,2019-04-24,2019-17,IWW
Ribe 2019-11 IWW,MQ211108-27,Ribe,2019-03-13,2019-11,IWW
Ribe 2019-21 IWW,MQ211108-28,Ribe,2019-05-22,2019-21,IWW
Ribe 2019-24 IWW,MQ211108-29,Ribe,2019-06-12,2019-24,IWW
Ribe 2019-10 IWW,MQ211108-30,Ribe,2019-03-07,2019-10,IWW
Ribe 2020-2 IWW,MQ211108-31,Ribe,2020-01-08,2020-2,IWW
Ribe 2020-6 IWW,MQ211108-32,Ribe,2020-02-05,2020-6,IWW
Ribe 2020-7 IWW,MQ211108-33,Ribe,2020-02-12,2020-7,IWW
Ribe 2020-1 IWW,MQ211108-34,Ribe,2020-01-02,2020-1,IWW
Ribe 2020-5 IWW,MQ211108-35,Ribe,2020-01-29,2020-5,IWW
Ribe 2019-52 IWW,MQ211108-36,Ribe,2019-12-27,2019-52,IWW
Ribe 2019-39 IWW,MQ211108-37,Ribe,2019-09-25,2019-39,IWW
Ribe 2019-48 IWW,MQ211108-38,Ribe,2019-11-27,2019-48,IWW
Ribe 2019-38 IWW,MQ211108-39,Ribe,2019-09-18,2019-38,IWW
Ribe 2019-50 IWW,MQ211108-40,Ribe,2019-12-11,2019-50,IWW
Ribe 2019-46 IWW,MQ211108-41,Ribe,2019-11-13,2019-46,IWW
Ribe 2019-37 IWW,MQ211108-42,Ribe,2019-09-11,2019-37,IWW
Ribe 2019-40 IWW,MQ211108-43,Ribe,2019-10-03,2019-40,IWW
Ribe 2019-45 IWW,MQ211108-44,Ribe,2019-11-06,2019-45,IWW
Ribe 2019-41 IWW,MQ211108-45,Ribe,2019-10-09,2019-41,IWW
Ribe 2019-47 IWW,MQ211108-46,Ribe,2019-11-20,2019-47,IWW
Ribe 2019-42 IWW,MQ211108-47,Ribe,2019-10-16,2019-42,IWW
Ribe 2019-51 IWW,MQ211108-48,Ribe,2019-12-18,2019-51,IWW
Ribe 2019-43 IWW,MQ211108-49,Ribe,2019-10-23,2019-43,IWW
Ribe 2020-3 IWW,MQ211108-50,Ribe,2020-01-16,2020-3,IWW
Ribe 2019-49 IWW,MQ211108-51,Ribe,2019-12-04,2019-49,IWW
Ribe 2019-44 IWW,MQ211108-52,Ribe,2019-10-31,2019-44,IWW
