SampleID,SampleSite,SampleDate,YearWeek,SampleContent
MQ211208-1,Viborg,2019-05-07,2019-19,IWW
MQ211208-2,Viborg,2019-07-14,2019-28,IWW
MQ211208-3,Viborg,2019-05-29,2019-22,IWW
MQ211208-7,Viborg,2019-04-09,2019-15,IWW
MQ211208-8,Viborg,2019-06-20,2019-25,IWW
MQ211208-11,Viborg,2019-08-20,2019-34,IWW
MQ211208-12,Viborg,2019-12-09,2019-49,IWW
MQ211208-13,Viborg,2019-08-14,2019-33,IWW
MQ211208-15,Viborg,2020-02-10,2020-6,IWW
MQ211208-16,Viborg,2019-09-17,2019-38,IWW
MQ211208-18,Viborg,2019-09-30,2019-39,IWW
MQ211208-22,Viborg,2019-10-24,2019-43,IWW
MQ211208-24,Viborg,2019-10-29,2019-44,IWW
MQ211208-26,Viborg,2019-10-06,2019-40,IWW
MQ211208-27,Viborg,2019-11-06,2019-45,IWW
MQ211208-28,Viborg,2019-05-15,2019-20,IWW
MQ211208-30,Viborg,2019-07-03,2019-27,IWW
MQ211208-31,Viborg,2019-05-23,2019-21,IWW
MQ211208-32,Viborg,2019-03-11,2019-10,IWW
MQ211208-34,Viborg,2019-04-24,2019-17,IWW
MQ211208-35,Viborg,2019-05-01,2019-18,IWW
MQ211208-36,Viborg,2019-06-11,2019-24,IWW
MQ211208-37,Viborg,2020-01-28,2020-4,IWW
MQ211208-38,Viborg,2019-09-02,2019-35,IWW
MQ211208-40,Viborg,2019-07-30,2019-31,IWW
MQ211208-42,Viborg,2019-08-08,2019-32,IWW
MQ211208-44,Viborg,2020-01-14,2020-2,IWW
MQ211208-45,Viborg,2019-04-04,2019-14,IWW
MQ211208-46,Viborg,2019-12-26,2019-52,IWW
MQ211208-47,Viborg,2019-11-12,2019-46,IWW
MQ211208-48,Viborg,2019-03-22,2019-12,IWW
MQ211208-49,Viborg,2020-01-21,2020-3,IWW
MQ211208-50,Viborg,2019-03-27,2019-13,IWW
MQ211208-51,Viborg,2019-11-21,2019-47,IWW
