ASV,Aalborg W 2018-25 AS,Aalborg W 2018-26 AS,Aalborg W 2018-27 AS,Aalborg W 2018-28 AS,Aalborg W 2018-29 AS,Aalborg W 2018-31 AS,Aalborg W 2018-32 AS,Aalborg W 2018-33 AS,Aalborg W 2018-34 AS,Aalborg W 2018-35 AS,Aalborg W 2018-36 AS,Aalborg W 2018-37 AS,Aalborg W 2018-38 AS,Aalborg W 2018-39 AS,Aalborg W 2018-40 AS,Aalborg W 2018-41 AS,Aalborg W 2018-42 AS,Aalborg W 2018-43 AS,Aalborg W 2018-44 AS,Aalborg W 2018-45 AS,Aalborg W 2018-46 AS,Aalborg W 2018-47 AS,Aalborg W 2018-48 AS,Aalborg W 2018-49 AS,Aalborg W 2018-50 AS,Aalborg W 2018-51 AS,Aalborg W 2019-1 AS,Aalborg W 2019-2 AS,Aalborg W 2019-3 AS,Aalborg W 2019-4 AS,Aalborg W 2019-5 AS,Aalborg W 2019-6 AS,Aalborg W 2019-7 AS,Aalborg W 2019-8 AS,Aalborg W 2019-9 AS,Aalborg W 2019-10 AS,Aalborg W 2019-11 AS,Aalborg W 2019-12 AS,Aalborg W 2019-13 AS,Aalborg W 2019-14 AS,Aalborg W 2019-15 AS,Aalborg W 2019-17 AS,Aalborg W 2019-18 AS,Aalborg W 2019-19 AS,Aalborg W 2019-20 AS,Aalborg W 2019-21 AS,Aalborg W 2019-22 AS,Aalborg W 2019-23 AS,Aalborg W 2019-24 AS,Aalborg W 2019-25 AS,Aalborg W 2019-26 AS,Aalborg W 2019-28 AS,Aalborg W 2019-29 AS,Aalborg W 2019-30 AS,Aalborg W 2019-31 AS,Aalborg W 2019-33 AS,Aalborg W 2019-34 AS,Aalborg W 2019-36 AS,Aalborg W 2019-37 AS,Aalborg W 2019-38 AS,Aalborg W 2019-39 AS,Aalborg W 2019-41 AS,Aalborg W 2019-42 AS,Aalborg W 2019-44 AS
ASV1,1522,695,862,2108,2545,1495,2075,2871,3204,2986,4003,2652,2567,1553,2370,1772,1835,1398,1346,2303,1290,853,1911,1480,2850,2817,4434,2278,792,1093,819,401,1344,2152,2243,2386,2770,2794,2082,3,5810,5342,4098,3971,4312,3826,3880,32,51,3955,3175,1508,1146,1530,3488,195,5090,6036,5006,3017,3634,4115,4016,2222
ASV2,2328,1367,2002,2485,3202,2168,2601,2909,2255,1277,1943,1302,1364,1286,1845,1102,1795,1456,1438,1696,750,535,949,801,1338,1338,2392,1383,766,880,908,654,1317,1716,1505,1989,1871,1641,1062,3,1981,1817,1448,1095,1335,1077,1116,5,5,1687,1646,1334,1167,871,1455,45,1514,1567,1180,1030,1058,1181,951,615
ASV3,127,68,198,210,352,333,493,564,469,489,722,588,503,491,855,628,934,950,1018,841,390,244,386,357,380,423,588,464,176,254,234,237,323,545,458,646,542,463,366,0,516,650,594,356,426,426,603,17,16,867,1034,1029,1176,699,798,73,713,689,448,464,445,380,316,182
ASV4,328,123,327,233,229,141,168,316,281,253,212,199,197,224,312,215,332,451,692,637,283,251,342,377,656,560,776,686,308,289,335,388,605,565,553,712,710,785,379,0,683,738,790,506,436,415,414,1,0,360,292,238,202,129,187,1,259,290,475,321,387,540,534,387
ASV5,91,33,63,118,132,83,143,208,191,140,249,165,320,224,402,225,382,339,422,537,250,173,369,320,442,407,639,425,204,176,207,112,297,344,330,428,422,399,263,0,446,459,312,244,306,257,238,1,1,305,282,212,144,125,275,8,360,375,298,271,279,306,249,145
ASV6,367,219,314,261,449,348,383,446,469,399,438,314,264,232,393,229,395,331,394,380,228,153,263,227,397,342,480,307,121,166,141,177,250,430,326,393,415,449,309,0,446,489,405,284,355,330,372,11,22,331,361,256,222,142,238,44,268,361,333,289,273,273,250,180
ASV7,111,48,75,106,131,97,92,121,126,118,136,90,99,47,92,55,84,61,70,91,46,29,67,58,94,89,150,80,50,53,39,17,103,104,128,140,172,175,136,0,220,198,132,117,113,97,99,1,0,74,46,30,24,21,24,4,46,33,34,15,31,29,29,19
ASV8,460,286,750,657,871,910,1074,1138,585,544,732,611,512,544,862,601,1127,1010,1033,763,368,222,314,252,407,278,288,289,120,154,124,150,223,228,274,328,296,288,220,0,253,359,359,338,415,507,478,1,7,714,782,1033,1149,724,893,8,464,778,786,871,793,743,593,375
ASV9,159,194,1273,525,1413,387,741,109,363,191,263,173,266,138,507,362,474,1055,618,523,448,245,113,122,331,246,433,609,53,107,104,148,178,315,298,305,531,569,859,0,29,26,51,37,67,23,34,0,2,46,64,176,424,294,174,0,36,101,103,200,120,133,105,40
ASV10,187,66,74,162,198,103,130,207,254,226,280,193,210,134,272,159,162,151,173,313,143,107,226,263,433,442,774,457,197,234,168,98,302,418,378,459,574,533,411,0,645,512,319,340,284,225,224,0,2,205,119,54,52,49,80,8,108,118,114,66,89,89,102,49
ASV11,158,95,215,202,269,235,296,304,233,254,304,226,188,211,308,187,382,419,456,499,238,206,384,321,588,504,600,595,269,266,252,274,499,544,536,618,540,475,273,0,414,401,325,273,230,244,248,1,2,241,239,268,301,157,228,6,176,213,269,272,276,323,267,189
ASV12,122,65,91,124,217,137,223,252,236,241,281,224,224,156,248,170,247,196,182,291,213,116,220,138,334,371,463,254,88,144,87,64,129,243,216,190,204,191,159,0,278,307,240,193,209,236,233,0,4,216,175,87,102,83,171,9,205,232,190,155,162,180,159,82
