SampleID,SampleSite,SampleDate,YearWeek,SampleContent
MQ200330-1,Aalborg W,2019-06-11,2019-24,IWW
MQ200330-3,Aalborg W,2018-11-20,2018-47,IWW
MQ200330-5,Aalborg W,2018-12-04,2018-49,IWW
MQ200330-7,Aalborg W,2019-05-25,2019-21,IWW
MQ200330-11,Aalborg W,2019-01-01,2019-1,IWW
MQ200330-13,Aalborg W,2019-03-12,2019-11,IWW
MQ200330-15,Aalborg W,2018-07-31,2018-31,IWW
MQ200330-17,Aalborg W,2018-08-07,2018-32,IWW
MQ200330-19,Aalborg W,2019-03-25,2019-12,IWW
MQ200330-21,Aalborg W,2018-09-18,2018-38,IWW
MQ200330-23,Aalborg W,2019-05-06,2019-18,IWW
MQ200330-25,Aalborg W,2019-01-14,2019-2,IWW
MQ200330-27,Aalborg W,2018-11-27,2018-48,IWW
MQ200330-29,Aalborg W,2019-05-13,2019-19,IWW
MQ200330-33,Aalborg W,2019-01-28,2019-4,IWW
MQ200330-35,Aalborg W,2019-06-21,2019-25,IWW
MQ200330-37,Aalborg W,2019-01-21,2019-3,IWW
MQ200330-39,Aalborg W,2019-05-20,2019-20,IWW
MQ200330-41,Aalborg W,2019-04-02,2019-14,IWW
MQ200330-43,Aalborg W,2018-11-05,2018-45,IWW
MQ200330-45,Aalborg W,2018-11-13,2018-46,IWW
MQ200330-47,Aalborg W,2019-04-24,2019-17,IWW
MQ200330-49,Aalborg W,2018-09-24,2018-39,IWW
MQ200330-51,Aalborg W,2018-07-03,2018-27,IWW
MQ200330-53,Aalborg W,2019-02-12,2019-7,IWW
MQ200330-57,Aalborg W,2019-02-26,2019-9,IWW
MQ200330-59,Aalborg W,2019-02-19,2019-8,IWW
MQ200330-61,Aalborg W,2018-07-10,2018-28,IWW
MQ200330-63,Aalborg W,2018-10-09,2018-41,IWW
MQ200330-65,Aalborg W,2018-07-17,2018-29,IWW
MQ200330-67,Aalborg W,2019-06-03,2019-22,IWW
MQ200330-69,Aalborg W,2019-03-05,2019-10,IWW
MQ200330-73,Aalborg W,2019-02-05,2019-6,IWW
MQ200330-75,Aalborg W,2018-08-13,2018-33,IWW
MQ200420-1,Aalborg W,2018-10-03,2018-40,IWW
MQ200420-3,Aalborg W,2019-04-15,2019-15,IWW
MQ200420-7,Aalborg W,2018-06-26,2018-26,IWW
MQ200420-9,Aalborg W,2018-12-11,2018-50,IWW
MQ200420-11,Aalborg W,2018-09-03,2018-36,IWW
MQ200420-13,Aalborg W,2018-08-27,2018-35,IWW
MQ200420-15,Aalborg W,2018-09-11,2018-37,IWW
MQ200420-17,Aalborg W,2018-08-20,2018-34,IWW
MQ200420-19,Aalborg W,2018-12-18,2018-51,IWW
MQ200420-21,Aalborg W,2018-10-30,2018-44,IWW
MQ200420-23,Aalborg W,2018-10-16,2018-42,IWW
MQ200420-25,Aalborg W,2018-10-23,2018-43,IWW
MQ210416-1,Aalborg W,2020-01-15,2020-3,IWW
MQ210416-3,Aalborg W,2020-02-06,2020-6,IWW
MQ210416-5,Aalborg W,2020-02-18,2020-7,IWW
MQ210416-7,Aalborg W,2020-01-28,2020-4,IWW
MQ210416-9,Aalborg W,2020-01-10,2020-2,IWW
MQ210416-11,Aalborg W,2019-12-10,2019-50,IWW
MQ210416-13,Aalborg W,2019-08-20,2019-34,IWW
MQ210416-15,Aalborg W,2019-10-09,2019-41,IWW
MQ210416-17,Aalborg W,2019-08-07,2019-32,IWW
MQ210416-19,Aalborg W,2019-10-31,2019-44,IWW
MQ210416-21,Aalborg W,2019-08-14,2019-33,IWW
MQ210416-23,Aalborg W,2019-09-04,2019-36,IWW
MQ210416-25,Aalborg W,2019-12-05,2019-49,IWW
MQ210416-27,Aalborg W,2019-11-29,2019-48,IWW
MQ210416-29,Aalborg W,2019-11-05,2019-45,IWW
MQ210416-31,Aalborg W,2019-08-29,2019-35,IWW
MQ210416-33,Aalborg W,2019-09-30,2019-39,IWW
MQ210416-35,Aalborg W,2020-03-05,2020-10,IWW
MQ210416-37,Aalborg W,2019-10-21,2019-42,IWW
MQ210416-43,Aalborg W,2020-01-03,2020-1,IWW
MQ210416-45,Aalborg W,2019-09-18,2019-38,IWW
MQ210416-47,Aalborg W,2019-09-14,2019-37,IWW
MQ210416-51,Aalborg W,2019-11-13,2019-46,IWW
MQ210416-53,Aalborg W,2019-11-19,2019-47,IWW
MQ210416-57,Aalborg W,2019-12-19,2019-51,IWW
MQ210416-59,Aalborg W,2020-03-12,2020-11,IWW
