ASV,MQ201030-5,MQ201030-11,MQ201030-12,MQ201030-13,MQ201030-14,MQ201030-15,MQ201030-16,MQ201030-18,MQ201030-19,MQ201030-20,MQ201030-21,MQ201030-22,MQ201030-23,MQ201030-24,MQ201030-25,MQ201030-26,MQ201030-27,MQ201030-28
ASV1,1117,2957,995,598,1499,798,1021,1515,1017,735,666,424,449,455,739,822,440,795
ASV2,31,78,74,103,193,229,301,1032,576,446,663,475,466,255,271,206,1034,2008
ASV3,96,172,260,664,843,723,896,2295,4041,2666,3490,3620,3207,1802,2056,1137,2029,6201
ASV4,146,430,348,182,211,68,80,273,253,235,305,424,457,368,490,320,359,372
ASV5,20,71,47,70,149,178,224,638,321,317,353,157,131,62,69,55,59,77
ASV6,130,214,128,105,168,79,70,116,93,38,77,59,63,83,97,140,94,189
ASV8,160,285,390,637,805,73,75,163,222,206,276,245,162,95,120,85,197,361
ASV9,420,6,25,34,28,1,1,12,22,395,413,536,454,160,206,64,154,159
ASV10,12,35,15,4,14,19,21,44,14,11,6,6,7,6,8,21,15,17
ASV11,237,376,268,201,197,23,25,69,101,113,125,168,156,148,250,165,79,81
ASV12,262,601,227,162,363,155,187,330,187,213,212,153,152,207,346,352,139,230
ASV13,69,188,143,70,101,34,41,116,99,92,161,185,161,197,184,151,170,185
ASV14,21,68,23,7,27,4,16,30,15,9,4,8,8,14,27,21,13,31
ASV15,143,486,195,111,280,187,235,410,157,113,94,60,76,79,119,85,50,70
ASV16,39,77,78,88,139,41,65,118,208,153,311,331,278,405,695,989,456,644
ASV17,135,166,528,200,282,69,73,135,300,298,390,502,405,363,475,629,261,372
ASV18,225,100,144,248,288,28,16,11,93,21,64,75,62,55,44,21,14,66
ASV19,94,165,85,79,109,38,34,62,64,23,54,37,35,46,78,81,37,66
ASV20,48,43,42,64,56,8,16,26,42,25,47,39,30,42,67,105,107,127
ASV22,82,106,52,72,132,122,125,216,130,116,115,125,136,100,121,113,87,118
ASV24,100,11,12,19,25,1,3,4,59,139,103,125,95,69,62,66,78,50
ASV26,17,10,13,12,17,13,25,37,20,11,19,20,13,19,14,13,16,18
ASV27,18,30,36,30,81,100,112,333,181,174,177,74,65,27,29,22,21,46
ASV28,108,39,45,76,46,0,8,30,36,16,21,47,28,74,88,139,133,153
ASV29,267,438,247,327,498,229,334,458,380,164,262,194,181,201,260,285,164,293
ASV30,75,83,47,43,54,17,12,24,21,17,17,31,28,38,61,35,24,52
ASV32,100,204,171,378,509,138,201,355,341,233,277,246,246,215,252,216,200,491
ASV33,11,38,53,135,143,39,44,98,58,49,63,57,52,28,33,13,20,81
ASV35,719,1894,2182,2279,2911,215,174,131,144,64,94,96,77,48,82,104,330,543
ASV36,227,145,189,252,283,90,140,222,167,148,249,229,241,319,452,341,195,246
ASV38,58,68,65,66,98,30,46,71,70,25,31,58,41,38,31,41,40,40
ASV40,133,347,345,408,567,255,299,620,390,214,278,241,320,173,243,155,181,424
ASV41,17,72,21,29,67,42,39,91,49,43,33,24,15,19,15,16,20,32
ASV42,1358,55,152,188,223,22,48,89,129,925,1169,1254,1141,973,1180,658,738,683
ASV43,56,108,79,56,63,7,14,9,22,24,23,35,25,26,34,43,66,97
ASV45,14,11,22,32,35,4,6,16,19,30,60,58,41,37,39,37,41,41
ASV47,28,63,37,45,47,21,34,67,30,12,18,27,33,17,45,26,28,36
ASV50,184,391,180,123,251,104,159,301,145,108,113,52,86,50,73,89,52,79
ASV51,48,160,42,19,52,16,28,57,16,14,17,9,22,20,38,53,9,25
ASV52,89,94,89,172,179,50,62,141,120,97,131,107,121,102,113,85,39,66
ASV53,15,40,51,49,107,33,45,122,110,69,87,63,65,39,33,24,76,213
ASV54,266,297,280,328,352,154,188,303,256,199,293,302,324,354,503,402,263,276
ASV55,113,309,114,37,141,62,71,109,73,66,64,37,39,45,76,98,66,122
ASV57,6,20,10,11,44,49,37,83,58,49,29,32,17,15,18,12,4,19
ASV60,28,24,33,32,36,30,32,54,43,24,36,32,31,32,35,21,15,12
ASV62,6,15,10,15,41,50,60,132,93,74,83,27,28,10,11,8,25,31
ASV63,38,44,56,132,112,7,11,45,78,79,137,106,110,233,402,147,75,145
ASV65,51,69,40,36,66,33,14,37,21,9,22,18,23,30,49,46,23,21
ASV67,163,200,157,180,231,87,109,135,104,65,66,97,102,98,110,107,108,104
ASV69,60,63,94,125,159,4,8,23,33,54,75,93,48,69,99,60,33,66
ASV70,26,83,27,12,35,31,34,58,35,18,25,15,22,22,39,44,15,49
ASV71,240,418,359,269,301,43,60,73,93,53,80,84,86,85,135,117,206,314
ASV72,322,262,123,85,83,2,6,9,8,5,17,17,19,52,98,251,790,597
ASV74,14,34,39,114,110,49,31,77,71,49,78,68,62,39,45,22,16,21
ASV76,0,3,3,9,8,22,25,50,62,45,76,57,54,27,33,23,49,113
ASV78,6,13,7,11,18,60,65,199,117,67,59,39,50,42,39,37,20,29
ASV79,35,57,52,82,93,39,52,77,59,40,86,61,74,60,75,49,34,60
ASV81,177,147,142,255,293,41,21,71,84,95,124,100,131,141,183,232,169,227
ASV84,32,39,42,70,110,2,6,9,22,25,47,40,31,29,29,21,34,38
ASV88,126,117,142,182,256,28,27,65,75,85,90,62,76,93,120,128,112,136
ASV92,38,110,48,59,95,32,63,105,108,74,74,46,59,54,56,40,56,108
ASV96,82,123,118,132,220,59,66,147,232,222,252,166,176,117,170,139,151,194
ASV97,72,201,95,49,110,68,70,134,65,33,45,15,34,35,61,79,79,127
ASV98,21,38,20,19,41,18,17,34,23,5,16,14,18,10,17,11,14,20
ASV99,59,61,58,45,42,7,12,13,14,24,43,13,32,34,45,59,65,59
ASV103,14,1,0,4,0,0,0,0,2,5,17,21,17,24,50,69,49,60
ASV104,19,31,29,33,40,16,27,52,27,18,23,27,25,31,25,13,9,17
ASV106,66,97,72,95,105,24,39,55,30,21,23,26,30,34,50,51,30,51
ASV108,50,66,46,33,43,4,6,4,13,9,10,9,8,10,18,24,42,52
ASV109,2,6,7,12,12,4,6,5,18,7,15,21,15,15,13,13,5,12
ASV110,67,49,42,70,66,13,19,34,74,44,53,47,50,58,76,105,39,97
ASV111,29,16,11,62,29,6,21,8,49,36,76,111,48,99,70,76,23,24
ASV112,408,719,291,179,352,75,103,136,163,101,110,63,100,100,194,343,325,460
