ASV,MQ210420-84,MQ210420-85,MQ210420-86,MQ210420-87,MQ210420-88,MQ210420-89,MQ210420-90,MQ210420-91,MQ210420-93,MQ210420-94,MQ210420-95,MQ210420-96,MQ210420-97,MQ210420-98,MQ210420-99,MQ210420-100,MQ210420-101,MQ210420-103,MQ210420-104,MQ210420-105,MQ210420-106,MQ210420-108,MQ210420-109,MQ210420-110,MQ210420-111,MQ210420-113,MQ210420-114,MQ210420-115,MQ210420-116,MQ210420-117,MQ210420-118,MQ210420-120,MQ210420-123,MQ210420-124
ASV1,0,3,29,38,2,3,400,1,3,1,2,0,0,126,5060,1,7,0,0,0,0,2,1,0,0,1,2,0,1,2,0,0,0,7
ASV2,0,0,5,49,0,0,77,0,11,1,0,6,1,1,503,0,5,1,0,0,0,1,0,2,1,3,0,2,0,4,1,0,0,1
ASV3,0,0,1,9,0,0,74,0,1,0,0,0,1,2,703,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1
ASV4,5841,8489,12278,22847,4909,4632,10594,11627,28101,16443,6923,12162,13409,5589,6012,9289,42214,3613,8809,9580,9035,14181,30240,35145,17470,16284,9390,12445,7557,28588,12347,6802,5632,16662
ASV5,0,0,4,6,0,0,16,0,11,0,0,4,0,13,393,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2
ASV6,11,47,261,37,7,11,37,8,45,68,7,41,18,20,112,7,46,43,7,14,17,34,33,39,22,17,21,37,25,46,21,12,41,17
ASV8,0,0,6,1,0,0,3,0,0,0,2,0,0,7,200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ASV9,0,0,0,0,0,0,6,0,1,0,0,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10,21,89,59,60,14,43,56,25,60,37,19,29,13,37,128,6,71,24,7,30,33,44,97,64,70,42,49,13,13,48,51,16,13,35
ASV11,0,0,5,0,0,0,7,0,1,0,0,0,1,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV12,0,0,17,12,0,1,70,1,0,0,0,0,0,30,1005,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1
ASV13,2616,3919,5817,10269,2289,1998,5041,5743,13418,7609,3232,5885,6490,2683,2827,4670,20240,1744,4198,4669,4035,7185,14698,17074,8119,7929,4450,6110,3649,14095,6121,3553,2636,8377
ASV14,3,8,9,4,3,1,19,1,13,3,0,3,2,5,56,1,9,0,4,3,2,10,5,9,4,13,4,2,0,4,6,2,0,5
ASV15,0,1,6,4,0,0,100,0,0,1,0,0,0,8,1909,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ASV16,0,0,1,4,0,0,27,0,0,0,0,0,0,6,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASV17,438,1516,2802,2144,2995,537,2676,2086,2826,4651,1381,930,1274,765,907,631,11620,215,532,908,210,2628,735,3583,261,3004,685,1077,706,2949,1075,547,616,2120
ASV18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV19,0,0,2,0,0,0,4,0,0,0,0,0,0,0,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASV20,0,0,25,3,0,0,5,2,1,0,0,3,1,1,8,1,1,1,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,1
ASV22,2,3,24,4,1,1,28,2,5,2,0,3,0,14,103,0,4,1,2,1,1,4,6,1,1,6,1,2,0,5,5,1,5,2
ASV24,0,0,0,0,0,0,2,0,0,0,1,1,0,4,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
ASV26,7,35,72,28,7,13,19,7,23,23,5,26,10,12,38,3,42,19,9,13,6,13,39,35,10,21,21,17,9,69,23,5,9,18
ASV27,0,1,2,6,0,0,4,1,8,0,0,0,0,5,153,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
ASV28,1,2,11,6,6,0,10,2,3,5,2,1,2,1,8,1,14,0,0,2,0,6,1,2,0,3,2,1,1,10,1,1,0,1
ASV29,0,0,7,1,0,0,24,0,0,0,0,0,0,8,216,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV30,1,2,4,5,0,2,11,0,3,0,0,0,0,3,34,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0
ASV32,0,0,2,0,1,1,8,0,0,0,0,0,0,8,182,0,1,0,0,0,0,2,1,1,0,0,2,0,0,1,0,0,0,0
ASV33,0,0,1,1,0,0,3,0,0,1,0,0,0,5,230,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ASV35,0,0,13,4,0,2,11,0,0,0,0,0,0,59,761,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ASV36,0,0,8,4,0,0,26,1,0,1,0,0,0,9,169,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
ASV38,0,1,1,0,1,0,4,1,3,2,0,0,0,1,61,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,2,0,0,1
ASV40,0,2,4,5,0,1,27,0,0,0,0,0,0,2,658,0,2,0,0,0,0,1,1,1,0,0,0,2,0,1,1,0,0,0
