SampleID,SampleSite,SampleDate,YearWeek,SampleContent
MQ210420-84,Bjergmarken,2020-06-18,2020-25,IWW
MQ210420-85,Bjergmarken,2019-09-01,2019-35,IWW
MQ210420-86,Bjergmarken,2020-01-23,2020-4,IWW
MQ210420-87,Bjergmarken,2020-05-28,2020-22,IWW
MQ210420-88,Bjergmarken,2019-09-11,2019-37,IWW
MQ210420-89,Bjergmarken,2019-08-26,2019-34,IWW
MQ210420-90,Bjergmarken,2020-04-22,2020-17,IWW
MQ210420-91,Bjergmarken,2019-12-17,2019-51,IWW
MQ210420-93,Bjergmarken,2020-05-14,2020-20,IWW
MQ210420-94,Bjergmarken,2020-03-02,2020-9,IWW
MQ210420-95,Bjergmarken,2019-11-03,2019-44,IWW
MQ210420-96,Bjergmarken,2020-05-06,2020-19,IWW
MQ210420-97,Bjergmarken,2020-04-05,2020-14,IWW
MQ210420-98,Bjergmarken,2019-10-10,2019-41,IWW
MQ210420-99,Bjergmarken,2019-10-24,2019-43,IWW
MQ210420-100,Bjergmarken,2020-03-25,2020-13,IWW
MQ210420-101,Bjergmarken,2020-02-19,2020-8,IWW
MQ210420-103,Bjergmarken,2019-07-23,2019-30,IWW
MQ210420-104,Bjergmarken,2019-11-14,2019-46,IWW
MQ210420-105,Bjergmarken,2020-03-16,2020-11,IWW
MQ210420-106,Bjergmarken,2019-07-08,2019-27,IWW
MQ210420-108,Bjergmarken,2020-02-12,2020-7,IWW
MQ210420-109,Bjergmarken,2019-07-01,2019-26,IWW
MQ210420-110,Bjergmarken,2020-02-04,2020-5,IWW
MQ210420-111,Bjergmarken,2019-06-24,2019-25,IWW
MQ210420-113,Bjergmarken,2020-01-14,2020-2,IWW
MQ210420-114,Bjergmarken,2019-09-26,2019-39,IWW
MQ210420-115,Bjergmarken,2019-12-26,2019-52,IWW
MQ210420-116,Bjergmarken,2019-12-10,2019-50,IWW
MQ210420-117,Bjergmarken,2020-04-13,2020-15,IWW
MQ210420-118,Bjergmarken,2019-10-02,2019-40,IWW
MQ210420-120,Bjergmarken,2020-01-06,2020-1,IWW
MQ210420-123,Bjergmarken,2019-12-01,2019-48,IWW
MQ210420-124,Bjergmarken,2019-11-20,2019-47,IWW
