ASV,Haderslev 2019-9 AS,Haderslev 2019-11 AS,Haderslev 2019-12 AS,Haderslev 2019-13 AS,Haderslev 2019-14 AS,Haderslev 2019-15 AS,Haderslev 2019-16 AS,Haderslev 2019-17 AS,Haderslev 2019-18 AS,Haderslev 2019-19 AS,Haderslev 2019-20 AS,Haderslev 2019-21 AS,Haderslev 2019-22 AS,Haderslev 2019-23 AS,Haderslev 2019-24 AS,Haderslev 2019-25 AS,Haderslev 2019-26 AS,Haderslev 2019-27 AS,Haderslev 2019-28 AS,Haderslev 2019-29 AS,Haderslev 2019-30 AS,Haderslev 2019-31 AS,Haderslev 2019-32 AS,Haderslev 2019-33 AS,Haderslev 2019-34 AS,Haderslev 2019-35 AS,Haderslev 2019-36 AS,Haderslev 2019-37 AS,Haderslev 2019-38 AS,Haderslev 2019-39 AS,Haderslev 2019-40 AS,Haderslev 2019-41 AS,Haderslev 2019-42 AS,Haderslev 2019-44 AS,Haderslev 2019-45 AS,Haderslev 2019-46 AS,Haderslev 2019-47 AS,Haderslev 2019-48 AS,Haderslev 2019-49 AS,Haderslev 2019-50 AS,Haderslev 2019-51 AS,Haderslev 2020-1 AS,Haderslev 2020-2 AS,Haderslev 2020-3 AS,Haderslev 2020-5 AS,Haderslev 2020-7 AS,Haderslev 2020-8 AS,Haderslev 2020-10 AS
ASV1,404,258,222,271,117,85,185,93,1,101,175,220,142,130,209,229,181,167,156,84,23,84,111,0,64,87,106,58,106,151,194,141,172,160,89,70,118,197,200,0,214,186,0,143,439,0,0,523
ASV2,469,375,297,387,174,155,442,171,0,159,523,730,309,321,425,465,341,246,179,144,93,131,160,0,72,102,117,157,78,146,188,113,136,178,212,167,307,274,136,0,158,226,1,221,443,0,0,477
ASV3,73,40,18,26,40,58,25,95,0,103,161,127,175,212,342,357,342,363,297,269,154,200,292,1,184,208,191,215,167,182,247,158,162,122,63,33,122,139,151,1,129,90,0,56,84,0,0,48
ASV4,1473,1095,1543,650,414,449,1293,236,0,162,750,838,437,871,770,712,628,392,508,364,283,477,324,0,179,199,220,250,209,504,387,494,448,536,703,849,840,1773,438,1,956,1265,0,596,798,1,0,798
ASV5,110,89,76,72,28,34,75,30,0,46,195,208,115,114,162,203,174,142,142,113,41,88,81,1,48,61,46,65,32,45,64,30,52,73,90,70,141,119,58,0,88,82,0,77,202,0,0,148
ASV6,1152,797,1011,1194,1038,844,1042,440,0,448,570,570,425,424,637,566,462,477,389,346,98,208,201,0,173,215,194,231,273,414,409,369,445,462,580,260,862,1000,1155,2,731,665,3,554,1094,0,0,839
ASV8,88,45,34,37,15,25,32,34,0,50,228,297,167,221,374,476,514,309,248,302,135,170,165,0,109,70,63,68,19,93,101,86,112,99,58,30,97,100,71,0,112,150,0,78,115,0,0,46
ASV10,1362,658,734,873,829,586,474,271,0,324,715,734,391,468,925,745,1045,591,614,647,68,141,111,0,74,58,44,110,68,99,226,115,276,300,223,169,485,681,406,2,792,606,2,590,997,2,0,1109
ASV11,1195,861,982,1018,618,715,963,450,0,424,1919,2407,1105,1075,1562,1448,1083,505,381,350,97,176,149,0,74,66,65,78,79,84,104,79,96,95,85,49,146,168,88,0,161,251,0,176,367,1,0,402
ASV13,814,696,823,527,376,391,1176,152,0,104,444,652,428,638,450,455,359,167,241,164,129,262,206,0,126,106,95,140,99,259,199,258,268,356,514,511,535,964,240,2,523,694,0,311,427,0,0,406
ASV15,67,37,43,79,56,52,7,31,0,35,47,66,57,43,82,72,66,53,45,33,5,24,30,0,24,11,23,21,24,54,44,37,51,48,30,9,37,37,36,0,48,28,0,28,45,0,0,20
ASV16,333,342,226,248,105,129,81,94,0,118,241,359,153,191,359,295,264,202,162,152,75,135,142,0,147,78,105,115,150,152,148,164,303,195,107,65,221,328,229,0,234,298,1,212,255,0,0,376
ASV17,461,1130,1883,360,143,203,282,110,0,161,273,407,164,220,325,304,290,277,174,209,249,834,154,1,318,243,207,261,192,295,438,451,582,325,156,171,222,929,315,1,1000,458,1,332,371,2,0,651
ASV18,106,64,90,80,91,46,69,30,0,29,60,87,155,108,238,314,306,146,92,260,60,256,271,0,155,146,196,115,19,131,175,171,178,32,9,4,21,42,39,0,46,26,0,19,24,0,0,39
ASV19,380,353,329,492,360,384,220,179,0,196,220,313,250,265,368,308,247,220,207,232,41,167,125,0,104,99,91,124,66,206,204,181,136,189,154,98,235,360,343,0,209,290,1,259,448,0,0,373
ASV20,43,53,45,57,29,35,67,20,0,28,39,46,27,28,32,39,29,13,10,13,3,8,6,0,11,4,7,4,17,22,14,14,26,8,10,11,8,20,13,0,31,35,0,25,39,0,0,23
ASV21,10,7,12,24,8,12,0,12,0,7,38,15,18,44,46,51,36,36,30,64,28,19,25,0,11,20,19,17,20,60,46,31,36,4,0,1,1,5,0,0,5,4,0,4,5,0,0,5
ASV22,368,330,352,420,475,551,423,293,0,367,326,356,226,250,291,263,229,323,228,254,89,171,156,0,90,92,81,98,252,211,206,185,168,214,225,141,311,523,718,1,287,272,1,290,519,0,0,389
ASV26,838,767,1070,1539,1335,1275,1236,807,0,678,975,980,755,777,1036,943,625,711,525,455,132,355,291,0,266,300,220,348,337,717,738,659,876,898,996,475,1710,2026,2392,7,1671,1628,3,1326,2519,1,0,1345
ASV27,35,30,31,19,16,18,42,10,0,18,55,99,36,42,66,83,68,53,51,47,9,36,21,0,12,14,19,17,6,15,13,11,15,31,22,22,50,34,8,0,22,20,0,23,51,0,0,43
ASV28,29,54,46,70,25,53,56,15,0,42,100,76,52,111,111,126,82,34,52,35,27,16,21,0,14,10,9,5,8,9,5,16,23,6,5,1,5,1,5,0,7,6,0,15,19,0,0,21
ASV29,128,93,103,143,79,106,127,49,0,38,53,48,41,41,46,57,45,49,40,44,12,40,33,0,16,19,39,41,36,90,83,72,50,57,61,43,91,125,124,0,91,64,1,65,134,0,0,48
ASV30,45,36,43,26,56,36,50,41,0,43,25,33,38,26,38,29,23,38,23,25,8,11,22,0,12,15,13,9,23,17,19,14,8,16,11,14,23,55,83,0,25,26,0,25,53,0,0,44
ASV31,115,152,102,142,73,92,544,73,0,31,82,80,24,20,38,57,79,67,37,14,10,20,15,0,22,12,20,19,30,59,60,44,23,26,20,31,52,82,41,0,51,37,0,39,66,0,0,71
ASV33,45,40,21,31,35,30,13,20,0,29,64,88,50,69,127,132,111,90,59,92,52,80,88,0,40,47,60,59,31,50,48,44,31,44,34,27,66,55,62,0,33,41,0,38,78,0,0,24
ASV34,5,13,0,7,0,3,1,3,0,9,16,7,13,30,39,68,67,54,106,101,51,70,56,1,60,56,12,16,16,58,28,24,24,1,0,1,1,2,3,0,7,0,0,8,5,0,0,6
ASV35,36,26,11,28,25,36,41,29,0,24,79,94,60,82,152,197,168,153,97,123,36,62,69,0,24,30,20,40,42,38,48,43,69,82,30,25,80,163,59,0,166,155,0,158,257,1,0,275
ASV36,695,774,898,1015,861,874,429,419,0,376,260,273,246,203,262,230,174,166,118,119,43,87,47,0,41,33,39,54,60,109,99,101,93,145,157,104,282,576,891,1,358,419,0,411,851,1,0,633
ASV38,186,171,172,216,246,290,138,152,0,208,147,164,178,181,277,213,219,318,247,239,89,187,139,0,78,67,113,84,140,162,153,125,105,153,187,122,220,370,475,2,206,235,0,194,320,0,0,222
ASV41,49,58,39,62,29,30,18,16,0,19,56,58,63,68,98,141,94,72,88,80,17,72,47,0,23,38,34,34,25,32,43,14,39,36,21,12,51,61,36,0,43,52,0,44,101,0,0,111
ASV42,2,3,1,5,1,0,0,1,0,0,17,2,7,34,45,106,106,86,121,153,92,104,114,0,158,123,27,31,36,170,101,32,17,1,0,0,3,2,1,0,1,1,0,10,4,0,0,1
ASV44,71,59,59,45,21,33,4,19,1,17,96,158,53,81,152,172,165,126,134,130,31,47,56,0,41,14,33,38,8,39,56,55,34,46,62,41,63,94,33,0,70,70,0,30,72,0,0,55
ASV45,34,30,9,17,9,10,0,4,0,10,37,38,53,65,183,169,192,98,84,99,25,43,41,0,18,14,22,15,4,9,11,9,8,11,3,6,6,15,10,0,18,9,0,20,36,0,0,13
ASV47,50,39,41,45,47,62,47,54,0,25,37,57,38,52,52,49,37,46,45,31,21,30,39,0,23,19,18,21,27,39,25,38,28,28,43,32,67,76,90,1,54,60,0,39,74,0,0,48
