ASV,Haderslev 2019-19 IWW,Haderslev 2019-27 IWW,Haderslev 2019-18 IWW,Haderslev 2019-25 IWW,Haderslev 2019-20 IWW,Haderslev 2019-17 IWW,Haderslev 2019-28 IWW,Haderslev 2019-30 IWW,Haderslev 2019-49 IWW,Haderslev 2019-34 IWW,Haderslev 2019-50 IWW,Haderslev 2019-32 IWW,Haderslev 2019-31 IWW,Haderslev 2019-46 IWW,Haderslev 2019-45 IWW,Haderslev 2019-36 IWW,Haderslev 2020-7 IWW,Haderslev 2019-43 IWW,Haderslev 2020-8 IWW,Haderslev 2019-39 IWW,Haderslev 2020-5 IWW,Haderslev 2019-40 IWW,Haderslev 2019-41 IWW,Haderslev 2020-1 IWW,Haderslev 2020-3 IWW,Haderslev 2020-2 IWW,Haderslev 2019-48 IWW,Haderslev 2019-37 IWW,Haderslev 2019-14 IWW,Haderslev 2019-23 IWW,Haderslev 2019-22 IWW,Haderslev 2019-26 IWW,Haderslev 2019-16 IWW,Haderslev 2019-11 IWW,Haderslev 2019-12 IWW,Haderslev 2019-15 IWW,Haderslev 2019-13 IWW,Haderslev 2019-9 IWW
ASV1,48,51,147,694,222,16,17,59,176,145,218,35,43,6,17,20,304,1,286,37,175,26,32,6,296,140,69,207,82,14,4,45,145,761,675,92,271,278
ASV2,319,190,178,2782,192,64,4,305,142,470,130,58,139,13,7,55,542,25,106,118,98,61,382,4,160,183,141,536,384,31,10,343,1170,2440,1331,478,883,479
ASV3,2,2,5,6,46,1,6,1,18,14,25,10,2,2,0,2,48,1,7,0,18,1,10,1,8,40,8,0,5,2,0,1,6,51,44,8,29,6
ASV4,4369,35570,30668,38316,13691,39944,17356,35816,59571,39840,59704,872,22229,37401,29411,43103,28391,50819,22896,29712,21950,15197,34337,68019,30338,17434,69212,32973,33241,47428,53715,16527,23454,41720,24837,12211,21201,23415
ASV5,42,176,131,1805,91,28,4,321,23,158,22,26,15,24,34,30,146,3,20,35,44,81,16,3,117,236,142,322,61,8,12,263,734,539,332,95,287,120
ASV6,110,117,282,1497,708,56,49,124,316,159,304,103,70,74,72,103,546,64,342,63,442,141,124,14,375,534,353,338,326,24,9,134,498,2027,1211,212,554,580
ASV8,4,25,3,149,28,6,1,26,23,12,33,3,4,3,6,2,30,2,31,6,16,2,40,0,23,27,10,26,1,0,0,55,34,19,23,2,15,3
ASV10,194,932,210,563,462,99,50,19,118,93,196,59,118,55,44,80,753,47,144,43,74,50,68,26,134,315,282,174,434,32,14,77,331,2675,2374,379,649,851
ASV11,47,65,35,873,115,18,0,40,45,44,41,12,11,1,1,5,170,2,80,7,47,2,100,0,56,49,27,36,120,1,2,91,119,536,354,41,157,64
ASV13,2316,15040,14814,16279,6379,23797,7791,21898,28771,15528,32545,365,12836,18676,16299,18912,12891,28102,10293,14759,9378,7157,18753,32685,14513,8359,32898,14401,22623,31673,41278,7433,10909,27094,17621,6865,14640,11379
ASV15,14,3,34,124,71,4,1,13,11,29,23,10,3,0,4,3,30,0,19,2,18,3,5,0,21,22,25,46,38,1,0,28,71,204,174,26,56,54
ASV16,10,29,14,107,63,4,2,16,32,50,51,14,9,4,1,12,383,3,93,2,90,7,30,0,84,108,41,21,67,7,3,14,31,734,540,33,113,117
ASV17,69,2512,389,2316,905,182,690,306,3798,1319,1271,316,552,1997,481,3508,6774,837,6106,343,1129,549,5829,607,1168,2600,5695,454,1506,359,101,898,295,4556,1260,373,784,1069
ASV18,2,1,0,9,7,0,0,3,4,1,7,5,0,6,1,3,31,0,5,2,1,8,12,1,6,9,17,3,22,0,0,3,2,64,93,7,15,7
ASV19,47,33,16,467,56,4,1,76,22,86,19,35,10,6,16,6,129,1,23,10,40,25,13,1,33,104,50,111,92,0,3,97,167,477,334,45,196,113
ASV20,3,42,5,75,33,5,0,9,37,18,14,4,5,1,2,13,31,2,24,2,7,7,100,0,11,23,14,9,59,6,0,9,9,44,67,10,35,20
ASV21,0,4,3,7,5,0,0,6,5,0,14,0,0,0,1,7,7,0,7,1,19,4,20,0,14,40,10,1,7,0,0,0,2,7,5,1,10,0
ASV22,96,245,271,737,843,40,11,93,292,143,299,166,23,25,22,131,383,14,295,33,643,85,110,8,346,723,245,208,193,19,5,88,457,1196,829,142,370,452
ASV26,144,261,765,1213,1082,217,134,107,608,215,533,194,80,119,394,248,784,129,599,54,996,228,154,100,703,1316,694,282,617,353,34,129,696,1903,1536,410,886,547
ASV27,13,81,38,692,39,9,3,62,13,20,8,8,3,3,8,2,44,1,15,9,17,27,8,1,55,71,26,54,24,4,2,49,191,149,94,34,115,52
ASV28,4,23,8,131,16,1,0,16,16,13,12,1,2,8,5,1,81,5,98,3,8,2,21,4,25,23,29,3,32,1,1,7,7,27,48,14,36,7
ASV29,8,7,2,3,21,0,0,0,5,2,3,6,0,0,0,1,27,0,3,0,3,6,0,0,1,11,9,1,32,0,0,3,9,206,80,10,34,70
ASV30,34,31,80,242,180,17,2,42,56,45,51,39,13,8,12,17,72,0,59,17,102,36,6,0,56,210,88,99,36,3,3,48,156,306,192,48,93,101
ASV31,99,52,271,359,332,34,3,59,21,64,41,9,15,10,19,32,233,8,31,24,34,84,74,2,56,57,96,93,160,8,8,28,482,1165,656,222,338,249
ASV33,16,4,77,249,101,5,4,66,123,25,101,5,9,3,1,12,124,1,66,30,187,24,14,1,71,278,122,64,21,4,3,24,65,128,93,30,57,31
ASV34,0,10,0,2,2,0,0,2,3,2,2,1,1,2,3,2,29,0,23,2,4,1,2,0,6,6,6,1,3,0,0,1,1,3,4,3,2,0
ASV35,3,8,9,310,10,2,1,37,37,26,40,2,4,3,6,3,278,0,84,1,54,13,8,0,37,102,19,32,2,4,0,19,21,34,19,10,13,5
ASV36,151,100,174,959,578,32,4,44,100,93,135,64,32,4,2,14,647,6,372,17,280,25,87,3,180,338,107,68,418,13,6,60,796,2264,1852,318,719,474
ASV38,61,59,106,293,342,21,7,23,284,31,242,26,18,4,7,58,191,3,314,29,385,27,27,5,297,476,133,89,107,12,4,14,209,539,411,84,167,206
ASV41,48,40,162,698,167,20,3,58,113,33,93,3,7,5,5,17,228,5,239,22,307,19,35,1,150,376,78,121,100,6,1,47,297,355,345,64,281,87
ASV42,0,32,5,45,1,2,1,29,11,15,13,7,3,1,1,7,3,0,11,3,33,3,6,1,19,44,16,3,0,0,0,7,1,4,5,2,4,0
ASV44,56,152,142,297,100,27,10,56,124,43,108,0,21,8,25,25,102,13,112,21,141,77,40,4,105,173,143,205,79,3,7,27,186,587,359,99,136,130
ASV45,0,4,0,22,5,0,1,4,7,0,3,1,1,1,1,4,11,0,5,0,7,0,1,0,3,6,4,5,0,0,0,2,1,9,5,0,2,3
ASV47,241,727,737,1052,1500,518,603,300,772,635,892,520,536,401,226,1284,1126,487,708,557,880,529,563,788,529,715,849,660,649,316,145,370,787,1902,1120,598,469,1004
ASV51,12,3,130,61,119,5,1,20,21,3,20,2,2,2,0,2,26,1,22,8,69,8,3,0,20,117,66,29,46,3,2,1,140,182,128,27,61,53
ASV52,2,15,32,199,142,2,0,50,99,46,90,19,6,7,13,56,58,1,115,1,131,11,24,0,71,165,70,34,15,0,0,14,47,92,61,12,47,27
ASV53,0,4,6,100,13,0,1,30,45,11,18,3,5,0,1,2,16,0,65,0,37,1,2,0,28,39,23,0,0,0,0,10,6,1,2,0,2,1
ASV54,6,11,3,33,92,0,2,2,29,10,28,10,2,0,2,8,169,0,108,1,38,4,18,0,37,70,13,7,15,0,2,8,11,149,110,17,37,46
ASV60,29,48,100,189,281,17,7,50,138,61,321,74,10,12,23,16,249,6,150,19,261,44,122,5,136,381,184,102,59,6,1,41,132,176,126,29,44,54
ASV62,9,176,16,146,16,2,0,35,1,18,0,2,2,2,2,2,5,1,3,4,3,8,2,0,10,10,16,27,9,0,3,16,68,78,52,17,25,17
ASV63,0,13,0,9,3,0,0,4,13,3,10,0,0,3,5,9,53,4,116,0,6,0,9,1,13,25,17,3,3,0,0,1,3,6,8,0,9,5
ASV65,35,57,126,147,127,45,20,18,68,39,94,33,6,13,59,33,56,36,46,10,66,18,18,57,50,73,112,43,67,121,12,27,80,324,246,50,94,92
ASV67,49,86,139,85,293,43,8,33,34,45,67,47,11,2,16,18,153,7,47,9,122,34,54,3,45,157,81,41,111,40,9,28,181,556,408,101,120,188
ASV69,0,0,2,3,1,1,0,2,13,1,7,0,0,0,0,1,2,0,3,0,11,4,0,0,4,5,2,1,0,0,0,0,3,14,4,2,1,0
ASV71,13,241,56,90,64,6,1,24,160,12,196,5,2,3,4,16,345,1,176,2,279,14,25,2,237,357,93,46,43,1,3,17,54,277,253,28,100,78
ASV72,4,2,1,8,28,2,1,0,10,5,2,1,1,0,0,2,30,0,8,0,0,0,1,0,4,7,0,0,27,0,0,3,4,150,130,10,52,33
ASV76,92,228,20,346,23,5,1,19,6,18,14,20,9,0,0,3,43,1,3,3,4,3,10,2,17,15,2,37,25,8,0,29,42,170,82,11,47,67
ASV81,0,15,2,22,6,1,1,6,11,8,14,0,2,1,4,3,38,0,27,2,32,2,1,0,5,23,11,7,4,0,0,4,1,12,4,0,5,4
ASV85,0,3,0,2,1,2,1,2,3,0,3,0,1,1,1,0,22,1,7,3,2,1,3,0,2,0,5,2,2,0,0,0,1,1,1,0,3,2
ASV88,0,2,3,15,4,0,0,1,6,4,8,2,0,0,0,3,10,0,15,2,12,0,0,0,3,24,3,1,1,0,1,0,1,21,7,0,2,3
ASV90,38,77,54,67,115,41,30,12,85,23,121,28,25,54,33,52,224,74,137,25,37,35,116,34,47,63,118,48,90,15,5,15,81,458,318,89,107,219
ASV92,5,14,3,43,16,2,0,10,7,17,14,1,3,0,2,13,41,1,21,4,9,9,6,0,10,23,30,21,7,0,0,13,8,42,36,10,8,16
ASV97,8,658,6,7,13,6,3,1,4,6,1,2,4,2,1,2,3,1,4,1,1,6,6,0,6,53,2,2,17,1,0,1,5,92,72,12,11,41
ASV98,137,317,325,510,801,195,249,108,351,347,339,226,302,192,109,581,581,192,464,254,295,209,236,228,256,329,414,336,1114,159,62,175,335,958,564,280,255,559
ASV99,0,2,2,34,7,0,0,2,14,1,12,4,0,2,0,2,14,3,10,1,1,1,10,0,7,12,3,9,1,0,0,6,1,5,7,0,14,0
ASV100,0,2,9,48,28,2,0,4,22,6,22,3,0,0,3,5,31,0,17,1,19,2,18,0,28,28,6,18,5,1,0,2,8,59,22,4,10,15
ASV103,0,6,2,14,0,0,0,1,3,0,6,0,1,2,2,2,55,0,11,1,2,2,25,0,12,9,21,1,22,2,0,0,29,41,93,7,28,17
ASV104,3,12,20,132,41,6,0,10,102,16,93,14,5,5,11,4,96,0,210,4,99,2,11,0,133,141,54,8,11,0,1,12,26,60,66,10,27,11
ASV105,0,5,2,97,2,0,0,27,8,14,9,0,1,2,5,1,16,0,22,2,10,3,11,0,11,20,11,19,4,1,0,18,9,30,20,2,15,8
