SampleID,oldSampleID,SampleSite,SampleDate,YearWeek,SampleContent
Haderslev 2019-19 IWW,MQ210609-1,Haderslev,2019-05-09,2019-19,IWW
Haderslev 2019-27 IWW,MQ210609-2,Haderslev,2019-07-08,2019-27,IWW
Haderslev 2019-18 IWW,MQ210609-3,Haderslev,2019-04-30,2019-18,IWW
Haderslev 2019-25 IWW,MQ210609-4,Haderslev,2019-06-18,2019-25,IWW
Haderslev 2019-20 IWW,MQ210609-5,Haderslev,2019-05-15,2019-20,IWW
Haderslev 2019-17 IWW,MQ210609-6,Haderslev,2019-04-25,2019-17,IWW
Haderslev 2019-28 IWW,MQ210609-8,Haderslev,2019-07-15,2019-28,IWW
Haderslev 2019-30 IWW,MQ210609-9,Haderslev,2019-07-23,2019-30,IWW
Haderslev 2019-49 IWW,MQ210609-10,Haderslev,2019-12-09,2019-49,IWW
Haderslev 2019-34 IWW,MQ210609-11,Haderslev,2019-08-26,2019-34,IWW
Haderslev 2019-50 IWW,MQ210609-12,Haderslev,2019-12-16,2019-50,IWW
Haderslev 2019-32 IWW,MQ210609-13,Haderslev,2019-08-12,2019-32,IWW
Haderslev 2019-31 IWW,MQ210609-14,Haderslev,2019-08-05,2019-31,IWW
Haderslev 2019-46 IWW,MQ210609-15,Haderslev,2019-11-18,2019-46,IWW
Haderslev 2019-45 IWW,MQ210609-16,Haderslev,2019-11-11,2019-45,IWW
Haderslev 2019-36 IWW,MQ210609-18,Haderslev,2019-09-04,2019-36,IWW
Haderslev 2020-7 IWW,MQ210609-19,Haderslev,2020-02-17,2020-7,IWW
Haderslev 2019-43 IWW,MQ210609-20,Haderslev,2019-10-28,2019-43,IWW
Haderslev 2020-8 IWW,MQ210609-21,Haderslev,2020-02-24,2020-8,IWW
Haderslev 2019-39 IWW,MQ210609-22,Haderslev,2019-09-24,2019-39,IWW
Haderslev 2020-5 IWW,MQ210609-23,Haderslev,2020-01-29,2020-5,IWW
Haderslev 2019-40 IWW,MQ210609-24,Haderslev,2019-10-02,2019-40,IWW
Haderslev 2019-41 IWW,MQ210609-27,Haderslev,2019-10-14,2019-41,IWW
Haderslev 2020-1 IWW,MQ210609-28,Haderslev,2020-01-01,2020-1,IWW
Haderslev 2020-3 IWW,MQ210609-30,Haderslev,2020-01-20,2020-3,IWW
Haderslev 2020-2 IWW,MQ210609-32,Haderslev,2020-01-14,2020-2,IWW
Haderslev 2019-48 IWW,MQ210609-33,Haderslev,2019-11-27,2019-48,IWW
Haderslev 2019-37 IWW,MQ210609-35,Haderslev,2019-09-16,2019-37,IWW
Haderslev 2019-14 IWW,MQ210609-37,Haderslev,2019-04-03,2019-14,IWW
Haderslev 2019-23 IWW,MQ210609-38,Haderslev,2019-06-05,2019-23,IWW
Haderslev 2019-22 IWW,MQ210609-39,Haderslev,2019-05-29,2019-22,IWW
Haderslev 2019-26 IWW,MQ210609-40,Haderslev,2019-07-01,2019-26,IWW
Haderslev 2019-16 IWW,MQ210609-41,Haderslev,2019-04-16,2019-16,IWW
Haderslev 2019-11 IWW,MQ210609-42,Haderslev,2019-03-14,2019-11,IWW
Haderslev 2019-12 IWW,MQ210609-43,Haderslev,2019-03-21,2019-12,IWW
Haderslev 2019-15 IWW,MQ210609-45,Haderslev,2019-04-11,2019-15,IWW
Haderslev 2019-13 IWW,MQ210609-48,Haderslev,2019-03-26,2019-13,IWW
Haderslev 2019-9 IWW,MQ210609-50,Haderslev,2019-03-04,2019-9,IWW
