ASV,Kalundborg 2019-9 AS,Kalundborg 2019-10 AS,Kalundborg 2019-11 AS,Kalundborg 2019-12 AS,Kalundborg 2019-13 AS,Kalundborg 2019-14 AS,Kalundborg 2019-15 AS,Kalundborg 2019-17 AS,Kalundborg 2019-18 AS,Kalundborg 2019-19 AS,Kalundborg 2019-20 AS,Kalundborg 2019-21 AS,Kalundborg 2019-22 AS,Kalundborg 2019-24 AS,Kalundborg 2019-25 AS,Kalundborg 2019-27 AS,Kalundborg 2019-28 AS,Kalundborg 2019-29 AS,Kalundborg 2019-31 AS,Kalundborg 2019-32 AS,Kalundborg 2019-33 AS,Kalundborg 2019-35 AS,Kalundborg 2019-36 AS,Kalundborg 2019-37 AS,Kalundborg 2019-38 AS,Kalundborg 2019-40 AS,Kalundborg 2019-41 AS,Kalundborg 2019-43 AS,Kalundborg 2019-44 AS,Kalundborg 2019-45 AS,Kalundborg 2019-46 AS,Kalundborg 2019-47 AS,Kalundborg 2019-48 AS,Kalundborg 2019-50 AS,Kalundborg 2020-3 AS,Kalundborg 2020-4 AS,Kalundborg 2020-5 AS,Kalundborg 2020-6 AS,Kalundborg 2020-7 AS,Kalundborg 2020-8 AS,Kalundborg 2020-10 AS
ASV4,512,336,415,347,374,325,334,269,226,257,270,186,126,123,78,100,101,96,94,111,88,53,92,145,99,119,139,213,285,417,361,357,480,402,370,511,367,379,591,451,382
ASV5,35,37,34,49,47,33,53,39,50,59,55,56,37,26,25,19,32,31,13,12,6,8,6,14,5,6,11,13,15,26,22,33,35,46,304,363,390,430,469,347,303
ASV6,13,16,22,14,16,51,7,12,16,7,14,5,8,8,0,4,7,3,0,6,4,6,0,5,5,3,8,6,17,14,16,12,18,45,55,59,50,39,58,43,45
ASV10,96,91,135,174,194,156,163,147,120,134,148,125,64,67,49,41,51,39,16,29,41,30,25,137,13,40,52,57,64,63,50,117,84,95,196,182,179,154,146,105,135
ASV13,172,126,175,149,168,128,124,106,91,117,95,87,52,57,27,44,47,36,55,33,36,28,30,51,39,43,56,73,118,164,161,131,155,168,151,220,135,172,251,188,156
ASV17,136,151,269,233,273,408,130,93,81,94,104,111,97,99,71,100,58,38,76,88,68,47,66,39,155,124,171,371,400,434,322,113,143,154,251,190,221,168,323,285,396
ASV26,5,6,9,4,15,22,4,6,15,8,7,2,3,4,1,2,8,3,6,0,3,2,5,5,1,0,12,11,16,17,9,18,18,35,35,40,23,30,50,40,32
ASV27,5,9,5,9,12,5,8,9,5,12,14,13,8,5,5,6,3,2,2,4,1,1,0,0,0,2,1,2,1,3,7,4,4,1,31,33,52,40,40,66,49
ASV31,12,9,19,34,51,26,22,10,14,13,21,4,6,4,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,8,4,2,3,8,5,7
ASV38,93,88,113,95,109,62,71,68,66,69,52,62,53,39,22,45,39,33,25,43,45,27,41,65,67,68,65,103,113,108,72,127,136,149,167,187,144,175,238,173,152
ASV47,44,40,56,47,42,25,48,32,27,34,48,37,26,30,33,20,28,29,20,19,22,26,27,89,27,32,29,42,45,38,46,46,68,50,56,53,63,56,92,62,40
ASV98,37,38,109,37,28,34,30,31,66,65,81,48,28,50,26,29,51,38,27,24,34,39,47,58,38,42,46,39,49,42,40,50,74,58,52,60,42,54,72,56,45
ASV109,2,4,7,4,7,2,5,0,2,3,5,1,1,0,5,2,1,2,0,2,3,7,4,13,3,7,6,2,10,15,11,9,13,10,9,6,6,3,8,4,12
ASV113,16,21,33,24,32,27,22,21,17,20,16,16,7,12,4,6,7,11,7,5,7,5,5,5,7,10,7,15,15,29,13,12,31,27,21,25,14,19,36,22,25
ASV118,69,38,46,43,36,37,40,23,24,22,28,19,17,12,10,12,6,3,5,14,11,4,8,15,7,9,5,16,24,35,31,35,50,40,34,45,30,39,58,52,37
ASV119,22,27,66,23,17,24,31,18,34,31,57,36,27,26,26,26,32,20,20,21,24,15,21,34,29,25,32,22,43,43,26,23,32,44,33,35,27,41,59,31,30
ASV122,64,71,96,112,99,69,64,34,71,67,115,80,57,77,65,68,83,71,38,40,79,39,125,54,58,120,106,91,134,107,97,18,14,4,6,17,34,15,30,57,48
ASV134,44,30,43,33,44,48,36,47,35,46,55,45,19,25,28,25,38,36,31,26,38,38,46,75,64,38,34,45,52,49,35,60,60,36,48,56,59,48,74,67,61
ASV140,114,122,113,110,124,113,111,91,89,79,97,89,55,59,57,86,106,83,55,93,102,94,145,110,169,191,196,224,215,204,182,289,266,249,244,275,217,258,248,197,177
ASV145,30,21,30,27,24,23,17,13,9,8,21,9,11,11,8,7,8,8,6,8,3,6,10,20,17,26,25,23,24,32,24,15,47,27,27,22,29,19,36,29,26
ASV147,65,62,117,67,70,195,74,65,56,37,55,47,32,27,7,16,9,19,13,68,16,13,17,63,23,17,54,54,49,63,93,59,58,63,97,60,126,70,58,54,79
ASV154,48,72,87,116,93,58,38,33,6,1,6,6,5,6,5,1,2,3,14,1,5,1,1,0,0,0,1,15,32,32,17,23,8,18,60,29,34,37,88,77,44
ASV156,6,4,5,5,6,7,8,10,6,4,5,5,2,1,0,2,3,2,5,9,0,2,4,0,1,3,2,0,6,12,4,6,6,5,3,2,5,3,2,5,2
ASV162,57,31,54,37,25,28,31,21,22,24,19,18,14,14,5,3,10,4,7,8,6,12,11,12,15,14,11,27,39,52,38,35,48,36,44,42,34,51,62,46,40
ASV163,22,19,22,19,28,28,16,23,33,19,17,13,12,14,12,18,16,12,14,14,19,14,10,53,13,16,19,22,22,27,47,26,51,30,48,27,37,33,37,37,28
ASV167,106,203,129,135,129,157,108,65,70,73,103,93,56,60,52,30,33,27,39,33,30,27,46,13,34,42,73,76,86,101,167,10,18,28,51,42,122,87,98,167,133
ASV174,473,332,564,413,480,368,364,292,292,286,304,225,188,184,143,154,217,203,169,167,183,173,218,522,239,230,245,296,336,283,232,401,406,423,521,504,355,428,536,395,364
ASV179,57,130,168,193,241,152,135,92,90,98,98,72,82,89,65,44,35,20,20,37,47,55,47,52,55,64,103,234,229,205,150,61,114,98,113,103,117,67,168,138,187
ASV186,8,8,11,7,11,8,8,9,6,6,4,6,7,7,2,3,9,6,6,4,8,6,2,13,10,5,7,15,15,19,13,12,20,13,10,20,19,12,12,14,19
ASV191,87,65,66,57,68,69,82,73,51,97,103,76,66,60,51,47,89,79,44,37,74,80,46,47,57,23,25,41,41,25,37,23,30,16,11,30,67,39,56,49,62
ASV196,8,9,7,8,22,22,17,25,23,20,29,20,17,11,9,9,10,8,4,4,7,4,7,7,4,1,6,12,8,8,13,9,10,13,19,15,20,17,20,18,13
ASV197,29,30,65,39,60,51,64,52,55,54,45,63,47,34,35,50,70,44,42,45,52,48,56,36,33,49,64,59,78,62,57,54,36,19,42,28,62,49,84,100,56
ASV202,25,12,24,18,36,16,19,16,18,14,17,7,12,10,7,4,14,11,8,13,10,6,8,34,9,25,18,30,28,28,18,28,24,40,19,28,27,22,32,26,25
ASV206,8,11,22,22,20,25,14,16,19,10,23,10,9,6,4,11,8,10,12,12,8,9,14,52,1,5,18,17,23,14,11,27,19,20,43,32,38,22,22,22,19
ASV212,13,12,24,17,21,20,13,13,12,11,13,11,6,6,3,14,12,11,9,11,16,4,7,32,8,8,14,19,19,16,16,20,25,16,26,22,21,29,29,23,18
ASV218,138,81,96,86,109,122,117,94,87,91,128,94,78,76,66,78,141,106,82,104,125,99,94,44,128,133,102,121,129,114,143,185,272,227,199,247,226,252,429,315,222
ASV221,71,50,100,93,92,93,103,69,109,97,87,70,46,63,31,56,68,61,46,82,83,62,181,161,63,80,124,116,133,107,88,139,125,142,171,149,124,172,191,126,91
ASV226,176,109,174,189,120,117,103,113,111,89,111,89,61,93,65,42,67,64,89,59,82,94,92,62,71,109,100,89,89,97,104,34,21,37,39,31,125,84,123,148,115
ASV230,11,12,14,8,11,9,11,13,21,13,13,14,7,7,5,9,16,17,10,11,15,12,17,55,9,10,19,27,23,27,18,21,22,25,17,20,32,24,23,19,12
ASV235,30,16,26,21,23,19,13,19,23,15,17,7,10,4,9,4,14,4,9,4,5,6,7,13,12,4,5,21,11,22,21,12,28,17,21,27,19,20,27,26,26
ASV236,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,16,13,6,8,3,2
ASV243,19,15,24,14,12,10,18,17,16,17,13,20,14,10,10,5,22,24,17,14,9,7,6,25,14,13,11,9,22,20,20,28,18,28,31,36,27,35,57,17,25
ASV244,16,12,22,17,23,20,13,11,6,11,9,12,14,11,6,14,6,12,17,5,13,13,15,25,9,14,12,9,14,12,13,19,30,21,18,22,17,22,35,16,8
ASV245,18,9,5,16,8,6,12,7,11,9,12,7,8,13,1,7,10,11,11,6,12,4,6,31,9,12,11,7,9,10,11,17,24,13,18,18,11,12,24,23,12
ASV272,15,7,13,11,9,3,13,7,10,5,10,9,7,12,5,3,10,8,5,5,7,1,5,20,8,4,9,6,5,14,16,5,12,7,17,12,8,17,15,8,8
ASV279,68,78,85,51,53,57,60,61,44,39,34,33,21,39,13,29,35,32,24,31,32,20,28,116,27,49,42,43,79,105,94,131,92,58,55,75,62,64,74,66,68
ASV280,316,251,437,354,318,289,210,135,115,131,170,126,93,94,104,143,206,120,93,131,118,114,113,319,116,98,120,129,183,166,169,210,315,235,255,254,188,174,210,184,155
ASV288,49,175,109,131,124,72,54,61,65,83,107,72,94,91,106,132,81,32,189,73,95,88,112,81,120,130,180,317,275,171,202,73,56,51,47,75,63,51,110,129,213
ASV289,14,8,17,46,15,27,10,10,10,8,20,13,15,11,28,4,10,11,16,15,7,11,10,9,16,14,27,49,49,46,87,6,5,7,29,13,24,7,30,44,29
ASV291,433,385,705,674,592,541,549,348,298,299,364,277,293,265,194,197,242,239,199,268,257,186,296,181,353,421,374,549,728,620,723,239,319,94,383,584,637,292,499,749,584
ASV297,8,14,11,8,23,8,8,11,16,11,20,15,3,9,6,9,14,16,6,8,13,7,13,60,3,6,10,15,8,16,5,15,13,17,54,52,53,39,25,13,19
ASV307,40,21,36,18,24,20,27,20,21,22,23,22,15,10,4,11,4,10,4,4,6,3,15,14,15,10,5,35,38,34,40,19,38,31,36,28,29,21,47,32,33
ASV308,8,8,17,7,11,11,9,9,5,8,9,8,5,6,5,10,10,9,8,4,7,4,6,20,14,7,13,12,13,9,19,7,14,14,10,15,11,16,15,14,9
ASV314,76,75,92,82,78,69,85,66,62,65,62,61,57,31,29,42,46,31,26,18,31,21,33,49,41,71,56,63,131,122,77,130,142,145,142,157,111,100,121,87,47
ASV322,17,7,19,8,10,13,7,5,7,13,5,5,10,4,6,5,11,5,10,8,9,10,2,16,4,10,5,12,9,10,13,14,17,12,18,18,18,13,18,13,6
ASV333,8,6,4,9,12,54,7,8,2,9,7,7,1,7,5,0,5,5,0,19,5,6,3,22,7,2,4,9,3,11,3,15,6,9,20,46,10,8,10,11,3
ASV345,9,6,11,5,7,4,9,6,10,7,7,7,4,10,4,2,12,6,11,5,6,4,7,27,6,10,13,7,13,8,5,10,8,8,9,12,8,19,9,13,6
ASV360,8,1,10,5,12,9,12,5,2,6,5,4,7,2,4,5,11,8,6,14,8,4,9,19,10,14,13,16,20,24,8,20,30,10,7,13,10,10,17,12,17
ASV368,17,12,7,9,12,13,14,14,11,12,9,12,6,7,11,10,26,14,13,10,15,6,13,16,12,9,7,9,14,7,16,7,23,21,17,9,14,14,18,14,16
ASV381,54,13,17,7,13,24,6,20,15,9,15,9,5,11,9,11,18,9,19,2,5,5,10,6,16,19,12,34,29,24,42,12,9,20,20,15,10,8,17,12,3
ASV382,9,11,12,9,16,7,6,8,4,8,6,4,4,6,9,10,12,8,5,3,5,7,9,17,6,6,14,15,13,15,9,5,16,15,9,18,7,8,11,7,6
ASV387,3,11,7,1,5,3,3,1,2,3,3,2,2,1,4,4,1,2,5,3,5,3,7,11,2,1,7,3,4,6,1,9,6,6,10,4,7,3,10,10,4
ASV392,36,37,39,41,45,37,27,13,13,28,48,22,12,19,23,5,10,11,12,9,5,2,6,13,9,7,25,23,25,29,46,33,23,42,27,50,42,44,52,65,58
ASV397,6,4,6,12,28,5,7,5,10,9,8,8,3,8,3,5,9,6,5,6,4,5,4,28,3,8,14,12,8,7,10,21,25,18,6,14,15,15,13,10,7
ASV398,7496,5244,5337,5151,5413,6295,5789,5049,4805,6017,8317,6601,3901,4223,2631,3663,5673,4324,3177,3483,4067,3981,3964,3327,3649,1443,973,952,949,952,742,675,1260,709,915,903,1814,1666,1461,1126,1180
ASV401,14,7,21,13,11,11,11,12,10,7,5,4,5,2,4,5,3,3,4,3,3,7,1,10,4,9,13,9,14,18,17,8,9,8,15,13,15,10,12,19,10
