SampleID,oldSampleID,SampleSite,SampleDate,YearWeek,SampleContent
Kalundborg 2019-9 AS,MQ201030-175,Kalundborg,2019-03-04,2019-9,AS
Kalundborg 2019-10 AS,MQ201030-176,Kalundborg,2019-03-11,2019-10,AS
Kalundborg 2019-11 AS,MQ201030-177,Kalundborg,2019-03-18,2019-11,AS
Kalundborg 2019-12 AS,MQ201030-178,Kalundborg,2019-03-25,2019-12,AS
Kalundborg 2019-13 AS,MQ201030-179,Kalundborg,2019-04-01,2019-13,AS
Kalundborg 2019-14 AS,MQ201030-180,Kalundborg,2019-04-08,2019-14,AS
Kalundborg 2019-15 AS,MQ201030-181,Kalundborg,2019-04-15,2019-15,AS
Kalundborg 2019-17 AS,MQ201030-182,Kalundborg,2019-04-24,2019-17,AS
Kalundborg 2019-18 AS,MQ201030-184,Kalundborg,2019-05-06,2019-18,AS
Kalundborg 2019-19 AS,MQ201030-185,Kalundborg,2019-05-13,2019-19,AS
Kalundborg 2019-20 AS,MQ201030-186,Kalundborg,2019-05-20,2019-20,AS
Kalundborg 2019-21 AS,MQ201030-187,Kalundborg,2019-05-27,2019-21,AS
Kalundborg 2019-22 AS,MQ201030-188,Kalundborg,2019-06-03,2019-22,AS
Kalundborg 2019-24 AS,MQ201030-189,Kalundborg,2019-06-11,2019-24,AS
Kalundborg 2019-25 AS,MQ201030-191,Kalundborg,2019-06-24,2019-25,AS
Kalundborg 2019-27 AS,MQ201030-192,Kalundborg,2019-07-03,2019-27,AS
Kalundborg 2019-28 AS,MQ201030-194,Kalundborg,2019-07-15,2019-28,AS
Kalundborg 2019-29 AS,MQ201030-195,Kalundborg,2019-07-22,2019-29,AS
Kalundborg 2019-31 AS,MQ201030-196,Kalundborg,2019-07-31,2019-31,AS
Kalundborg 2019-32 AS,MQ201030-198,Kalundborg,2019-08-12,2019-32,AS
Kalundborg 2019-33 AS,MQ201030-199,Kalundborg,2019-08-19,2019-33,AS
Kalundborg 2019-35 AS,MQ201030-200,Kalundborg,2019-08-30,2019-35,AS
Kalundborg 2019-36 AS,MQ201030-201,Kalundborg,2019-09-04,2019-36,AS
Kalundborg 2019-37 AS,MQ201030-203,Kalundborg,2019-09-16,2019-37,AS
Kalundborg 2019-38 AS,MQ201030-204,Kalundborg,2019-09-23,2019-38,AS
Kalundborg 2019-40 AS,MQ201030-205,Kalundborg,2019-10-04,2019-40,AS
Kalundborg 2019-41 AS,MQ201030-207,Kalundborg,2019-10-14,2019-41,AS
Kalundborg 2019-43 AS,MQ201030-208,Kalundborg,2019-10-28,2019-43,AS
Kalundborg 2019-44 AS,MQ201030-209,Kalundborg,2019-11-04,2019-44,AS
Kalundborg 2019-45 AS,MQ201030-210,Kalundborg,2019-11-11,2019-45,AS
Kalundborg 2019-46 AS,MQ201030-211,Kalundborg,2019-11-18,2019-46,AS
Kalundborg 2019-47 AS,MQ201030-212,Kalundborg,2019-11-25,2019-47,AS
Kalundborg 2019-48 AS,MQ201030-213,Kalundborg,2019-12-02,2019-48,AS
Kalundborg 2019-50 AS,MQ201030-214,Kalundborg,2019-12-11,2019-50,AS
Kalundborg 2020-3 AS,MQ201030-215,Kalundborg,2020-01-15,2020-3,AS
Kalundborg 2020-4 AS,MQ201030-216,Kalundborg,2020-01-24,2020-4,AS
Kalundborg 2020-5 AS,MQ201030-218,Kalundborg,2020-02-03,2020-5,AS
Kalundborg 2020-6 AS,MQ201030-219,Kalundborg,2020-02-10,2020-6,AS
Kalundborg 2020-7 AS,MQ201030-220,Kalundborg,2020-02-17,2020-7,AS
Kalundborg 2020-8 AS,MQ201030-221,Kalundborg,2020-02-24,2020-8,AS
Kalundborg 2020-10 AS,MQ201030-222,Kalundborg,2020-03-05,2020-10,AS
