SampleID,SampleSite,SampleDate,YearWeek,SampleContent
MQ210118-5,Næstved,2019-04-17,2019-16,AS
MQ210118-6,Næstved,2019-04-24,2019-17,AS
MQ210118-7,Næstved,2019-04-30,2019-18,AS
MQ210118-8,Næstved,2019-05-08,2019-19,AS
MQ210118-9,Næstved,2019-05-14,2019-20,AS
MQ210118-10,Næstved,2019-05-22,2019-21,AS
MQ210118-11,Næstved,2019-05-29,2019-22,AS
MQ210118-12,Næstved,2019-06-04,2019-23,AS
MQ210118-13,Næstved,2019-06-12,2019-24,AS
MQ210118-14,Næstved,2019-06-19,2019-25,AS
MQ210118-15,Næstved,2019-06-26,2019-26,AS
MQ210118-16,Næstved,2019-07-03,2019-27,AS
MQ210118-17,Næstved,2019-07-10,2019-28,AS
MQ210118-18,Næstved,2019-07-17,2019-29,AS
MQ210118-19,Næstved,2019-07-24,2019-30,AS
MQ210118-20,Næstved,2019-07-31,2019-31,AS
MQ210118-21,Næstved,2019-08-07,2019-32,AS
MQ210118-22,Næstved,2019-08-14,2019-33,AS
MQ210118-23,Næstved,2019-08-21,2019-34,AS
MQ210118-24,Næstved,2019-08-28,2019-35,AS
MQ210118-25,Næstved,2019-09-04,2019-36,AS
MQ210118-26,Næstved,2019-09-11,2019-37,AS
MQ210118-27,Næstved,2019-09-18,2019-38,AS
MQ210118-28,Næstved,2019-09-25,2019-39,AS
MQ210118-29,Næstved,2019-10-09,2019-41,AS
MQ210118-30,Næstved,2019-10-02,2019-40,AS
MQ210118-31,Næstved,2019-10-16,2019-42,AS
MQ210118-32,Næstved,2019-10-23,2019-43,AS
MQ210118-33,Næstved,2019-10-31,2019-44,AS
MQ210118-35,Næstved,2019-11-06,2019-45,AS
MQ210118-36,Næstved,2019-11-13,2019-46,AS
MQ210118-37,Næstved,2019-11-20,2019-47,AS
MQ210118-38,Næstved,2019-11-28,2019-48,AS
MQ210118-39,Næstved,2019-12-05,2019-49,AS
MQ210118-40,Næstved,2019-12-11,2019-50,AS
MQ210118-41,Næstved,2019-12-18,2019-51,AS
MQ210118-42,Næstved,2019-12-30,2019-52,AS
MQ210118-43,Næstved,2020-01-02,2020-1,AS
MQ210118-44,Næstved,2020-01-08,2020-2,AS
MQ210118-45,Næstved,2020-01-16,2020-3,AS
MQ210118-46,Næstved,2020-01-22,2020-4,AS
MQ210118-47,Næstved,2020-01-29,2020-5,AS
MQ210118-48,Næstved,2020-02-05,2020-6,AS
MQ210118-49,Næstved,2020-02-13,2020-7,AS
MQ210118-50,Næstved,2020-02-20,2020-8,AS
MQ210118-51,Næstved,2020-02-26,2020-9,AS
MQ210118-52,Næstved,2020-03-04,2020-10,AS
MQ210118-53,Næstved,2020-03-11,2020-11,AS
MQ210118-54,Næstved,2020-03-18,2020-12,AS
MQ210118-55,Næstved,2020-03-25,2020-13,AS
