SampleID,oldSampleID,SampleSite,SampleDate,YearWeek,SampleContent
Randers 2019-41 IWW,MQ210913-1,Randers,2019-10-11,2019-41,IWW
Randers 2019-38 IWW,MQ210913-3,Randers,2019-09-17,2019-38,IWW
Randers 2019-52 IWW,MQ210913-5,Randers,2019-12-27,2019-52,IWW
Randers 2020-3 IWW,MQ210913-7,Randers,2020-01-21,2020-3,IWW
Randers 2019-39 IWW,MQ210913-9,Randers,2019-09-25,2019-39,IWW
Randers 2019-42 IWW,MQ210913-11,Randers,2019-10-15,2019-42,IWW
Randers 2019-50 IWW,MQ210913-13,Randers,2019-12-11,2019-50,IWW
Randers 2019-51 IWW,MQ210913-15,Randers,2019-12-20,2019-51,IWW
Randers 2019-43 IWW,MQ210913-17,Randers,2019-10-23,2019-43,IWW
Randers 2019-45 IWW,MQ210913-19,Randers,2019-11-08,2019-45,IWW
Randers 2019-49 IWW,MQ210913-21,Randers,2019-12-03,2019-49,IWW
Randers 2019-47 IWW,MQ210913-23,Randers,2019-11-20,2019-47,IWW
Randers 2019-36 IWW,MQ210913-25,Randers,2019-09-04,2019-36,IWW
Randers 2019-37 IWW,MQ210913-27,Randers,2019-09-13,2019-37,IWW
Randers 2020-1 IWW,MQ210913-31,Randers,2020-01-03,2020-1,IWW
Randers 2019-40 IWW,MQ210913-33,Randers,2019-10-03,2019-40,IWW
Randers 2019-48 IWW,MQ210913-35,Randers,2019-11-29,2019-48,IWW
Randers 2020-7 IWW,MQ210913-39,Randers,2020-02-18,2020-7,IWW
Randers 2020-5 IWW,MQ210913-41,Randers,2020-01-29,2020-5,IWW
Randers 2020-9 IWW,MQ210913-43,Randers,2020-02-27,2020-9,IWW
Randers 2019-46 IWW,MQ210913-45,Randers,2019-11-12,2019-46,IWW
Randers 2019-44 IWW,MQ210913-47,Randers,2019-10-31,2019-44,IWW
Randers 2020-6 IWW,MQ210913-49,Randers,2020-02-06,2020-6,IWW
Randers 2019-13 IWW,MQ210913-53,Randers,2019-03-27,2019-13,IWW
Randers 2019-14 IWW,MQ210913-55,Randers,2019-04-04,2019-14,IWW
Randers 2019-30 IWW,MQ210913-57,Randers,2019-07-25,2019-30,IWW
Randers 2019-28 IWW,MQ210913-59,Randers,2019-07-11,2019-28,IWW
Randers 2019-27 IWW,MQ210913-61,Randers,2019-07-05,2019-27,IWW
Randers 2019-25 IWW,MQ210913-63,Randers,2019-06-18,2019-25,IWW
Randers 2019-29 IWW,MQ210913-65,Randers,2019-07-19,2019-29,IWW
Randers 2019-24 IWW,MQ210913-67,Randers,2019-06-14,2019-24,IWW
Randers 2019-31 IWW,MQ210913-69,Randers,2019-07-30,2019-31,IWW
Randers 2019-34 IWW,MQ210913-71,Randers,2019-08-22,2019-34,IWW
Randers 2019-32 IWW,MQ210913-73,Randers,2019-08-09,2019-32,IWW
Randers 2019-33 IWW,MQ211101-1,Randers,2019-08-14,2019-33,IWW
Randers 2019-12 IWW,MQ211101-3,Randers,2019-03-19,2019-12,IWW
Randers 2019-16 IWW,MQ211101-5,Randers,2019-04-16,2019-16,IWW
Randers 2019-10 IWW,MQ211101-7,Randers,2019-03-08,2019-10,IWW
Randers 2019-15 IWW,MQ211101-9,Randers,2019-04-12,2019-15,IWW
Randers 2019-35 IWW,MQ211101-11,Randers,2019-08-27,2019-35,IWW
Randers 2019-11 IWW,MQ211101-13,Randers,2019-03-15,2019-11,IWW
Randers 2019-22 IWW,MQ211101-15,Randers,2019-05-28,2019-22,IWW
Randers 2019-23 IWW,MQ211101-17,Randers,2019-06-06,2019-23,IWW
Randers 2019-21 IWW,MQ211101-19,Randers,2019-05-22,2019-21,IWW
Randers 2019-19 IWW,MQ211101-21,Randers,2019-05-09,2019-19,IWW
Randers 2019-17 IWW,MQ211101-23,Randers,2019-04-23,2019-17,IWW
Randers 2019-26 IWW,MQ211101-25,Randers,2019-06-26,2019-26,IWW
Randers 2019-20 IWW,MQ211101-27,Randers,2019-05-14,2019-20,IWW
