SampleID,SampleSite,SampleDate,YearWeek,SampleContent
MQ201110-238,Ribe,2019-02-27,2019-9,AS
MQ201110-239,Ribe,2019-03-07,2019-10,AS
MQ201110-240,Ribe,2019-03-13,2019-11,AS
MQ201110-241,Ribe,2019-03-21,2019-12,AS
MQ201110-242,Ribe,2019-03-27,2019-13,AS
MQ201110-243,Ribe,2019-04-10,2019-15,AS
MQ201110-244,Ribe,2019-04-24,2019-17,AS
MQ201110-245,Ribe,2019-05-08,2019-19,AS
MQ201110-246,Ribe,2019-05-22,2019-21,AS
MQ201110-247,Ribe,2019-05-29,2019-22,AS
MQ201110-248,Ribe,2019-06-06,2019-23,AS
MQ201110-249,Ribe,2019-06-12,2019-24,AS
MQ201110-250,Ribe,2019-06-19,2019-25,AS
MQ201110-251,Ribe,2019-06-26,2019-26,AS
MQ201110-252,Ribe,2019-07-05,2019-27,AS
MQ201110-253,Ribe,2019-07-10,2019-28,AS
MQ201110-254,Ribe,2019-07-17,2019-29,AS
MQ201110-255,Ribe,2019-07-24,2019-30,AS
MQ201110-256,Ribe,2019-07-31,2019-31,AS
MQ201110-257,Ribe,2019-08-07,2019-32,AS
MQ201110-258,Ribe,2019-08-14,2019-33,AS
MQ201110-259,Ribe,2019-08-21,2019-34,AS
MQ201110-260,Ribe,2019-08-28,2019-35,AS
MQ201110-261,Ribe,2019-09-04,2019-36,AS
MQ201110-262,Ribe,2019-09-11,2019-37,AS
MQ201110-263,Ribe,2019-09-18,2019-38,AS
MQ201110-264,Ribe,2019-09-25,2019-39,AS
MQ201110-265,Ribe,2019-10-03,2019-40,AS
MQ201110-266,Ribe,2019-10-09,2019-41,AS
MQ201110-267,Ribe,2019-10-16,2019-42,AS
MQ201110-269,Ribe,2019-10-23,2019-43,AS
MQ201110-270,Ribe,2019-10-31,2019-44,AS
MQ201110-271,Ribe,2019-11-06,2019-45,AS
MQ201110-272,Ribe,2019-11-13,2019-46,AS
MQ201110-273,Ribe,2019-11-20,2019-47,AS
MQ201110-274,Ribe,2019-11-27,2019-48,AS
MQ201110-275,Ribe,2019-12-04,2019-49,AS
MQ201110-276,Ribe,2019-12-11,2019-50,AS
MQ201110-277,Ribe,2019-12-18,2019-51,AS
MQ201110-278,Ribe,2019-12-27,2019-52,AS
MQ201110-279,Ribe,2020-01-02,2020-1,AS
MQ201110-280,Ribe,2020-01-08,2020-2,AS
MQ201110-281,Ribe,2020-01-16,2020-3,AS
MQ201110-282,Ribe,2020-01-22,2020-4,AS
MQ201110-283,Ribe,2020-01-29,2020-5,AS
MQ201110-284,Ribe,2020-02-05,2020-6,AS
MQ201110-285,Ribe,2020-02-12,2020-7,AS
MQ201110-286,Ribe,2020-02-19,2020-8,AS
MQ201110-287,Ribe,2020-02-26,2020-9,AS
MQ201110-288,Ribe,2020-03-04,2020-10,AS
