ASV,Viborg 2019-47 AS,Viborg 2019-49 AS,Viborg 2019-52 AS,Viborg 2019-53 AS,Viborg 2020-2 AS,Viborg 2020-3 AS,Viborg 2020-4 AS,Viborg 2020-6 AS
ASV1,1884,1127,2581,3571,5680,3501,5016,1979
ASV2,185,157,166,187,679,355,345,232
ASV4,215,420,562,669,3205,959,834,488
ASV5,65,27,36,36,114,26,41,20
ASV6,349,384,918,1010,2648,877,1098,488
ASV8,124,116,145,126,267,170,131,71
ASV10,21,8,40,60,92,70,81,44
ASV11,227,463,852,1137,3888,2428,3782,2578
ASV12,191,128,317,345,692,328,519,283
ASV13,79,199,290,359,1451,481,357,257
ASV15,175,106,277,268,494,252,357,195
ASV16,173,304,434,427,906,573,563,265
ASV17,64,150,168,205,593,237,196,175
ASV18,42,72,41,16,52,35,34,30
ASV19,244,262,473,503,1109,435,592,328
ASV20,366,564,682,500,1160,860,782,481
ASV21,117,553,226,224,346,516,318,600
ASV22,174,208,235,244,551,286,419,241
ASV23,1,38,35,43,196,112,66,26
ASV24,110,120,122,46,150,202,200,218
ASV26,78,116,303,317,799,233,341,134
ASV27,28,16,21,20,55,24,19,12
ASV28,24,196,118,48,142,470,262,343
ASV30,121,87,113,134,277,150,220,105
ASV31,47,17,31,26,91,43,99,71
ASV32,34,18,30,23,65,33,36,13
ASV33,29,11,22,18,36,48,36,15
ASV34,9,26,40,10,20,38,32,58
ASV35,337,196,282,246,450,347,373,267
ASV36,349,444,597,749,1655,888,1159,551
ASV40,350,202,273,284,500,227,361,153
ASV41,42,37,81,74,232,110,179,94
ASV43,28,33,30,11,44,33,38,15
ASV44,11,6,12,5,20,26,22,13
ASV45,13,4,13,10,18,48,20,16
ASV47,35,49,55,69,138,75,87,53
ASV50,60,39,64,47,122,56,52,15
ASV51,7,1,17,21,15,12,14,7
ASV52,30,56,55,30,78,52,95,48
ASV54,12,20,27,20,67,40,67,31
ASV55,12,8,26,29,79,38,42,33
ASV60,171,147,155,218,437,217,239,126
ASV63,1,21,15,9,21,82,14,27
ASV67,158,182,207,250,493,205,205,138
ASV70,33,35,75,86,142,49,75,33
ASV71,125,77,111,106,247,142,138,48
ASV74,25,32,41,37,113,56,59,30
ASV81,21,50,22,21,39,102,56,66
ASV88,24,70,38,32,35,160,126,74
ASV92,52,25,54,66,99,82,86,36
ASV97,28,15,27,32,37,33,36,12
ASV98,34,34,33,42,126,48,74,31
ASV99,30,50,46,25,91,69,44,46
ASV100,40,28,30,37,77,65,58,25
ASV104,100,78,110,119,250,139,150,86
ASV105,60,56,54,49,122,100,84,65
ASV107,170,294,719,824,1940,600,869,437
ASV108,57,48,76,53,192,103,124,82
ASV109,1,2,3,6,5,3,4,5
ASV110,8,22,10,0,6,50,20,24
ASV113,16,24,32,50,164,60,74,39
ASV114,5,2,16,16,23,11,19,7
ASV118,25,39,66,87,444,138,110,51
ASV119,20,21,25,30,62,25,24,19
ASV121,25,56,91,21,104,43,76,37
ASV123,40,9,25,25,67,31,41,23
ASV125,7,30,24,19,65,25,19,9
ASV127,154,165,222,246,523,339,298,166
ASV130,29,60,101,131,330,140,152,86
ASV134,23,29,40,48,84,43,51,22
ASV139,26,17,23,9,25,15,22,20
ASV144,36,46,29,36,80,80,47,46
ASV145,55,72,90,109,244,93,138,60
ASV147,23,15,42,37,97,19,62,19
ASV148,4,6,7,11,37,24,30,14
ASV150,3,13,16,6,14,42,26,37
ASV155,9,36,18,14,15,76,55,30
ASV156,14,36,37,38,96,48,48,31
ASV157,11,15,32,29,67,48,51,33
ASV159,48,60,84,83,165,87,121,74
ASV160,8,13,27,15,36,43,22,13
ASV162,15,54,81,87,395,143,99,70
ASV163,16,11,22,21,41,28,27,10
ASV167,4,22,15,15,147,25,19,35
ASV169,131,91,137,126,249,108,151,50
ASV172,17,16,23,17,66,29,38,15
ASV175,23,21,37,41,94,40,46,31
ASV176,43,34,47,36,83,32,35,26
ASV179,6,22,26,30,81,71,38,28
ASV185,3,1,8,2,7,0,6,2
ASV186,22,23,45,30,136,54,61,24
ASV193,2,1,1,2,3,2,3,1
ASV194,3,16,15,10,38,43,68,34
ASV199,54,109,169,139,323,247,206,133
ASV202,14,22,20,28,71,29,27,28
ASV206,10,11,23,29,110,22,29,11
ASV208,256,264,353,218,621,385,460,235
ASV209,21,31,26,16,21,43,31,23
ASV210,33,26,25,30,73,30,69,24
ASV211,5,10,13,8,19,47,67,97
ASV212,8,10,17,10,58,32,23,15
ASV213,72,68,112,119,229,149,182,73
ASV217,1,10,16,17,28,33,27,12
ASV218,124,106,128,111,334,175,180,86
ASV219,7,6,17,21,55,17,33,17
ASV221,20,11,24,28,48,20,45,20
ASV228,60,69,122,97,282,113,223,116
ASV230,6,5,11,12,24,14,18,9
ASV231,26,28,31,20,61,59,46,47
ASV232,10,34,34,15,33,100,82,74
ASV234,32,54,50,56,97,86,61,58
ASV235,14,25,35,31,120,64,39,26
ASV236,35,23,50,78,97,53,70,39
ASV242,48,89,126,130,402,137,172,78
ASV243,18,24,35,30,105,39,42,26
ASV244,18,19,15,21,44,23,29,16
ASV245,7,9,4,12,25,12,9,9
ASV257,64,61,74,49,146,96,103,44
ASV259,36,50,61,35,110,48,79,28
ASV261,56,71,80,85,231,148,147,88
ASV272,1,4,6,3,22,5,12,4
ASV282,5,19,8,15,31,38,32,41
ASV287,33,17,32,51,92,38,59,29
ASV288,2,5,8,2,17,12,11,8
ASV289,0,1,5,2,19,16,6,0
ASV296,1,34,9,7,27,34,38,75
ASV298,34,56,32,14,68,74,87,52
ASV299,59,51,86,106,172,82,147,64
ASV301,4,40,19,2,9,66,39,46
ASV307,17,48,61,55,176,83,44,32
ASV308,8,7,15,21,29,14,20,12
ASV309,12,18,17,9,10,5,22,37
ASV322,7,9,15,14,43,21,24,11
ASV328,24,32,40,49,99,52,103,41
ASV333,5,6,15,23,46,11,26,8
ASV334,23,20,28,35,77,25,21,3
ASV337,77,66,82,78,149,99,87,47
ASV338,73,104,66,67,175,64,72,79
ASV339,10,18,35,15,39,81,119,120
ASV340,2,11,3,4,9,8,9,31
ASV343,31,48,65,70,113,116,103,51
ASV345,9,6,11,12,54,19,20,10
ASV346,84,133,181,182,715,438,523,320
ASV357,10,6,12,19,18,21,26,21
ASV358,21,20,23,24,47,24,20,18
ASV360,6,9,11,11,40,12,12,9
ASV362,36,25,55,47,81,29,48,28
ASV365,130,316,879,1181,3393,1277,1497,831
ASV368,6,6,12,5,20,10,23,6
ASV371,1,7,12,8,18,43,43,69
ASV374,36,93,118,40,84,192,142,114
ASV375,38,58,84,65,94,102,77,58
ASV379,25,47,47,46,99,49,58,49
ASV381,15,41,24,42,101,44,32,26
ASV382,11,14,18,10,28,13,19,12
ASV386,40,55,101,91,174,90,115,54
ASV388,33,20,38,53,92,22,34,28
ASV389,45,52,103,110,195,114,166,83
ASV390,28,30,43,23,73,67,50,35
ASV392,17,35,43,29,116,46,49,18
ASV397,14,13,32,29,64,19,43,13
ASV399,13,8,15,14,33,11,15,6
ASV401,24,29,37,45,93,48,43,23
ASV403,3,30,2,15,30,39,21,28
ASV413,4,11,13,13,36,15,23,19
ASV414,8,6,21,13,58,29,19,4
ASV419,6,4,6,5,18,12,11,6
ASV420,10,26,43,28,64,43,51,46
ASV422,1,3,7,21,17,8,23,8
ASV436,25,35,31,18,80,61,64,51
ASV439,24,20,17,16,38,34,34,19
ASV440,83,119,148,172,304,151,297,141
ASV441,11,43,54,48,165,77,46,19
ASV443,32,38,50,49,127,56,75,53
ASV445,6,3,4,4,16,8,6,5
ASV459,14,31,26,16,50,61,35,34
ASV460,18,10,7,12,33,24,37,14
ASV465,7,11,8,9,31,12,15,6
ASV473,4,0,4,7,24,6,11,6
ASV476,6,14,26,25,45,39,83,44
ASV479,29,23,21,20,49,42,30,18
ASV480,8,3,13,4,13,10,3,3
ASV485,76,76,74,96,157,71,119,38
ASV491,16,6,17,12,31,18,25,9
ASV492,11,14,55,46,163,66,76,45
ASV493,3,1,6,5,13,7,4,3
ASV502,17,23,32,38,90,35,41,17
ASV503,32,29,50,31,54,57,47,31
ASV507,12,23,21,31,56,36,22,17
ASV513,25,48,67,25,104,92,128,66
ASV515,2,10,10,23,41,46,25,27
ASV518,63,56,49,76,125,129,69,45
ASV521,1,5,4,3,24,5,9,6
ASV535,6,3,16,10,83,17,17,8
ASV541,6,0,2,1,9,2,11,4
ASV543,16,28,10,18,46,37,30,18
ASV552,149,77,244,236,365,184,181,45
ASV554,0,1,1,4,7,2,8,2
ASV559,0,0,1,1,1,12,3,7
ASV563,9,14,16,9,29,14,16,11
ASV572,20,18,51,41,99,53,57,16
ASV584,58,36,57,67,101,73,71,41
ASV586,100,60,83,86,179,85,68,28
ASV591,41,33,26,28,53,56,30,19
ASV593,16,30,47,70,176,55,81,32
ASV601,1,1,3,0,2,0,6,2
ASV634,21,25,18,25,40,28,25,12
ASV636,9,7,26,20,27,12,23,12
ASV656,35,42,68,63,109,51,133,59
ASV665,6,16,16,21,54,40,11,11
ASV668,6,4,4,3,18,5,9,4
ASV671,9,36,73,57,159,75,57,13
ASV675,2,2,2,9,17,3,6,4
ASV679,0,2,7,3,76,9,14,1
ASV682,2,4,1,2,13,3,1,2
ASV683,0,5,5,73,7,2,3,4
ASV687,5,8,14,12,25,1,17,4
ASV691,0,2,0,0,0,0,0,0
ASV693,15,28,50,45,109,38,67,34
ASV695,0,2,4,1,1,2,2,1
ASV700,17,17,47,22,55,40,47,25
ASV705,16,20,17,12,70,32,51,31
