Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
g__Ca_Amarolinea,"*Candidatus* Amarilinum,C10_SB1A",Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,Amarolineaceae,na,na,na,na,na,na,pos,pos,neg,na,na,na,na,neg,na,na,pos,pos,na,na,na,na,neg,na,pos,pos,neg,na,pos,na,neg,na
g__Ca_Microthrix,,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,neg,neg,na,neg,na,neg,pos,pos,neg,neg,na,neg,neg,var,neg,neg,neg,neg,na,na,na,neg,neg,pos,neg,pos,neg,var,pos,pos,pos,na
g__Trichococcus,"*Nostocoida limicola* , *Lactosphaera pasteurii* , *Ruminococcus palustris* and Carnococcus allantoicus",Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,pos,na,pos,na,na,na,pos,na,pos,na,var,var,var,na,na
g__Tetrasphaera,,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,na,neg,na,neg,na,neg,pos,pos,pos,pos,neg,na,neg,var,neg,na,var,var,na,na,na,na,var,pos,pos,pos,pos,var,var,var,na,na
g__Ferruginibacter,,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
g__Lentimicrobium,,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,pos,na,neg,na,na,na,na
g__Ca_Fermentibacter,B-1AC,Bacteria,Fermentibacterota,Fermentibacteria,Fermentibacterales,Fermentibacteraceae,na,neg,na,neg,na,neg,na,neg,na,neg,na,neg,na,neg,na,neg,na,pos,na,neg,na,neg,na,neg,na,pos,na,na,neg,na,na,na
g__CL500-29_marine_group,HTG5,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
g__Ca_Epiflobacter,,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,pos,na,neg,na,neg,na,neg,na,neg,na,neg,na,na,na,na,na,neg,na,neg,na,pos,na,neg,na,na,na
g__Rhodobacter,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,var,na,na,na,na,na,var,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,pos,na,neg,na,na
g__Thauera,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,pos,pos,neg,na,na,na,var,pos,var,neg,na,neg,na,na,na,na,pos,pos,pos,pos,pos,pos,neg,neg,na,var
g__BD1-7_clade,,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__OLB8,,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Terrimonas,"LPB08,PHOS-HE31",Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
g__Rhodoferax,"Albidoferax, Albidiferax",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,pos,pos,neg,na,na,na,pos,var,pos,var,na,var,na,na,na,na,pos,pos,pos,pos,pos,pos,neg,var,na,na
g__Romboutsia,p-55-a5,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,pos,na,na,na,na,na,pos,na,pos,na,neg,na,na
g__Nitrospira,,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,na,var,pos,pos,na,neg,pos,neg,neg,neg,neg,neg,na,pos,na,na,na,na,na,na,na,na,neg,pos,na,na,na,pos,neg,neg,na,pos
g__Propionicimonas,"*Propionicicella* , Propionate-producing Actinobacteria group",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,pos,pos,na,na,na,na,na,pos,pos,pos,na,na,neg,neg,na,na
g__Paracoccus,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,neg,na,na,na,var,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
g__Uliginosibacterium,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Christensenellaceae_R-7_group,,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,na,na,na,na,na
g__Clostridium_sensu_stricto_1,,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,var,na,na,na,na,na,pos,na,pos,na,pos,na,var,na,na
g__Ca_Caldatribacterium,,Bacteria,Caldatribacteriota,Caldatribacteriia,Caldatribacteriales,Caldatribacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Terrisporobacter,p-55-a5,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,neg,na,pos,na,pos,na,na,na,pos,na,pos,na,pos,na,neg,na,na
g__Leptothrix,"Detoniella,Chlamydothrix",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,var,var,na,na
g__Lacihabitans,,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
g__Ca_Cloacimonas,*Ca* Cloacamonas,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,na,na,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
