ASV,Species,Genus,AOB,NOB,PAO,GAO,Filamentous
ASV1,s__midas_s_5,g__Tetrasphaera,neg,neg,pos,neg,var
ASV2,s__Ca_Microthrix_parvicella,g__Ca_Microthrix,neg,neg,neg,neg,pos
ASV28,,,na,na,na,na,na
ASV4,s__midas_s_4,g__Trichococcus,na,na,na,na,var
ASV6,,g__Rhodobacter,na,na,na,na,neg
ASV16,s__midas_s_33,g__Rhodoferax,na,na,neg,na,neg
ASV8,,g__midas_g_17,na,na,na,na,na
ASV55,s__midas_s_5,g__Tetrasphaera,neg,neg,pos,neg,var
ASV29,s__midas_s_63,g__Rhodobacter,na,na,na,na,neg
ASV11,s__midas_s_29,g__OLB8,na,na,na,na,na
ASV20,s__midas_s_1484,g__Acidovorax,na,na,na,na,neg
ASV3,s__midas_s_1,g__Ca_Amarolinea,na,na,neg,na,pos
ASV5,s__midas_s_2,g__Ca_Microthrix,neg,neg,neg,neg,pos
ASV10,s__midas_s_99,g__midas_g_99,na,na,na,na,na
ASV223,,g__Nitrotoga,na,pos,na,na,na
ASV18,,g__Ca_Villigracilis,na,na,na,na,pos
ASV9,s__midas_s_96,g__Dechloromonas,na,na,var,neg,neg
ASV17,,g__Acidovorax,na,na,na,na,neg
ASV195,s__midas_s_882,g__midas_g_882,na,na,na,na,na
ASV13,s__midas_s_4,g__Trichococcus,na,na,na,na,var
ASV14,s__midas_s_49,g__Propionicimonas,na,na,na,na,neg
ASV19,s__midas_s_24,g__Rhodobacter,na,na,na,na,neg
ASV32,,g__midas_g_70,na,na,na,na,na
ASV85,,g__Dechloromonas,na,na,var,neg,neg
ASV22,,,na,na,na,na,na
ASV189,,g__Tabrizicola,na,na,na,na,na
ASV34,s__midas_s_173,g__Dechloromonas,na,na,var,neg,neg
ASV45,s__midas_s_20,g__midas_g_20,na,na,na,na,na
ASV26,,g__Rhodobacter,na,na,na,na,neg
ASV27,s__midas_s_2,g__Ca_Microthrix,neg,neg,neg,neg,pos
ASV137,s__midas_s_243,g__midas_g_169,na,na,na,na,na
ASV12,s__midas_s_5,g__Tetrasphaera,neg,neg,pos,neg,var
ASV72,s__midas_s_116,g__Ahniella,na,na,na,na,na
ASV96,,g__Leptothrix,na,na,na,na,var
ASV112,s__midas_s_203,g__Thermomonas,na,na,na,na,neg
ASV42,s__midas_s_96,g__Dechloromonas,na,na,var,neg,neg
ASV178,s__midas_s_385,g__midas_g_385,na,na,na,na,na
ASV316,,g__Sphingopyxis,na,na,na,na,neg
ASV99,,g__midas_g_300,na,na,na,na,na
ASV59,,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV33,s__midas_s_425,g__Ca_Sarcinithrix,na,na,neg,neg,pos
ASV149,s__midas_s_23,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV53,s__midas_s_119,g__midas_g_119,na,na,na,na,na
ASV88,,g__midas_g_33,na,na,na,na,na
ASV620,s__midas_s_179,g__midas_g_179,na,na,na,na,na
ASV140,,g__Defluviimonas,na,na,na,na,neg
ASV121,s__Sphingopyxis_bauzanensis,g__Sphingopyxis,na,na,na,na,neg
ASV76,s__midas_s_8524,g__midas_g_8524,na,na,na,na,na
ASV376,s__midas_s_1279,g__Gordonia,na,na,na,na,pos
ASV246,,g__AAP99,na,na,na,na,na
ASV7,s__midas_s_220,g__Tetrasphaera,neg,neg,pos,neg,var
ASV63,,,na,na,na,na,na
ASV371,,,na,na,na,na,na
ASV24,s__Nitrospira_defluvii,g__Nitrospira,var,pos,neg,neg,neg
ASV482,s__midas_s_321,g__midas_g_321,na,na,na,na,na
ASV183,s__midas_s_3347,g__midas_g_1341,na,na,na,na,na
ASV105,s__midas_s_32,g__Terrimonas,na,na,na,na,neg
ASV317,,g__Nitrosomonas,pos,neg,na,na,neg
ASV130,s__midas_s_278,g__midas_g_155,na,na,na,na,na
ASV43,s__midas_s_11,g__Ferruginibacter,na,na,na,na,neg
ASV168,s__midas_s_72,g__midas_g_72,na,na,na,na,na
ASV35,s__midas_s_31,g__midas_g_31,na,na,na,na,na
ASV329,s__midas_s_81,g__Leptothrix,na,na,na,na,var
ASV52,,g__midas_g_59,na,na,na,na,na
ASV155,s__midas_s_50,g__midas_g_33,na,na,na,na,na
ASV62,s__midas_s_2,g__Ca_Microthrix,neg,neg,neg,neg,pos
ASV222,,,na,na,na,na,na
