Sample,SeqRun,LibID,Read no,ID,Line,Mean,Plant,Date,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc
MQ181221-187,MQ181221,LIB-Aalborg-Vest-LT-1,,,pre-S::Select,,Aalborg W,2015-03-11,2015,,,,,,,,,,,,,,,
MQ181221-188,MQ181221,LIB-Aalborg-Vest-LT-7,,,pre-S::Select,,Aalborg W,2015-04-13,2015,,,,,,,,,,,,,,,
MQ181221-189,MQ181221,LIB-Aalborg-Vest-LT-13,,,pre-S::Select,,Aalborg W,2015-05-26,2015,,,,,,,,,,,,,,,
MQ181221-190,MQ181221,LIB-Aalborg-Vest-LT-19,,,pre-S::Select,,Aalborg W,2015-06-17,2015,,,,,,,,,,,,,,,
MQ181221-191,MQ181221,LIB-Aalborg-Vest-LT-25,,,pre-S::Select,,Aalborg W,2015-07-06,2015,,,,,,,,,,,,,,,
MQ181221-192,MQ181221,LIB-Aalborg-Vest-LT-31,,,pre-S::Select,,Aalborg W,2015-08-05,2015,,,,,,,,,,,,,,,
MQ181221-193,MQ181221,LIB-Aalborg-Vest-LT-37,,,pre-S::Select,,Aalborg W,2015-09-08,2015,,,,,,,,,,,,,,,
MQ181221-194,MQ181221,LIB-Aalborg-Vest-LT-43,,,pre-S::Select,,Aalborg W,2015-10-05,2015,,,,,,,,,,,,,,,
MQ181221-195,MQ181221,LIB-Aalborg-Vest-LT-49,,,pre-S::Select,,Aalborg W,2015-10-27,2015,,,,,,,,,,,,,,,
MQ181221-196,MQ181221,LIB-Aalborg-Vest-LT-55,,,pre-S::Select,,Aalborg W,2015-12-01,2015,,,,,,,,,,,,,,,
MQ181221-197,MQ181221,LIB-Aalborg-Vest-LT-73,,,pre-S::Select,,Aalborg W,2016-03-01,2016,,,,,,,,,,,,,,,
MQ181221-198,MQ181221,LIB-Aalborg-Vest-LT-76,,,pre-S::Select,,Aalborg W,2016-03-10,2016,,,,,,,,,,,,,,,
MQ181221-199,MQ181221,LIB-Aalborg-Vest-LT-79,,,pre-S::Select,,Aalborg W,2016-03-14,2016,,,,,,,,,,,,,,,
MQ181221-200,MQ181221,LIB-Aalborg-Vest-LT-82,,,pre-S::Select,,Aalborg W,2016-03-21,2016,,,,,,,,,,,,,,,
MQ181221-201,MQ181221,LIB-Aalborg-Vest-LT-85,,,pre-S::Select,,Aalborg W,2016-03-29,2016,,,,,,,,,,,,,,,
MQ181221-202,MQ181221,LIB-Aalborg-Vest-LT-88,,,pre-S::Select,,Aalborg W,2016-04-05,2016,,,,,,,,,,,,,,,
MQ181221-205,MQ181221,LIB-Aalborg-Vest-LT-97,,,pre-S::Select,,Aalborg W,2016-04-26,2016,,,,,,,,,,,,,,,
MQ181221-206,MQ181221,LIB-Aalborg-Vest-LT-100,,,pre-S::Select,,Aalborg W,2016-05-02,2016,,,,,,,,,,,,,,,
MQ181221-207,MQ181221,LIB-Aalborg-Vest-LT-103,,,pre-S::Select,,Aalborg W,2016-05-09,2016,,,,,,,,,,,,,,,
MQ181221-208,MQ181221,LIB-Aalborg-Vest-LT-106,,,pre-S::Select,,Aalborg W,2016-05-17,2016,,,,,,,,,,,,,,,
MQ181221-211,MQ181221,LIB-Aalborg-Vest-LT-115,,,pre-S::Select,,Aalborg W,2016-06-06,2016,,,,,,,,,,,,,,,
MQ181221-212,MQ181221,LIB-Aalborg-Vest-LT-118,,,pre-S::Select,,Aalborg W,2016-06-13,2016,,,,,,,,,,,,,,,
MQ181221-213,MQ181221,LIB-Aalborg-Vest-LT-121,,,pre-S::Select,,Aalborg W,2016-06-21,2016,,,,,,,,,,,,,,,
MQ181221-214,MQ181221,LIB-Aalborg-Vest-LT-124,,,pre-S::Select,,Aalborg W,2016-06-27,2016,,,,,,,,,,,,,,,
MQ181221-215,MQ181221,LIB-Aalborg-Vest-LT-127,,,pre-S::Select,,Aalborg W,2016-07-04,2016,,,,,,,,,,,,,,,
MQ181221-216,MQ181221,LIB-Aalborg-Vest-LT-130,,,pre-S::Select,,Aalborg W,2016-07-11,2016,,,,,,,,,,,,,,,
MQ181221-217,MQ181221,LIB-Aalborg-Vest-LT-133,,,pre-S::Select,,Aalborg W,2016-07-25,2016,,,,,,,,,,,,,,,
MQ181221-218,MQ181221,LIB-Aalborg-Vest-LT-136,,,pre-S::Select,,Aalborg W,2016-08-01,2016,,,,,,,,,,,,,,,
MQ181221-219,MQ181221,LIB-Aalborg-Vest-LT-139,,,pre-S::Select,,Aalborg W,2016-08-09,2016,,,,,,,,,,,,,,,
MQ181221-220,MQ181221,LIB-Aalborg-Vest-LT-142,,,pre-S::Select,,Aalborg W,2016-08-17,2016,,,,,,,,,,,,,,,
MQ181221-221,MQ181221,LIB-Aalborg-Vest-LT-145,,,pre-S::Select,,Aalborg W,2016-08-22,2016,,,,,,,,,,,,,,,
MQ181221-222,MQ181221,LIB-Aalborg-Vest-LT-148,,,pre-S::Select,,Aalborg W,2016-08-29,2016,,,,,,,,,,,,,,,
MQ181221-223,MQ181221,LIB-Aalborg-Vest-LT-151,,,pre-S::Select,,Aalborg W,2016-09-07,2016,,,,,,,,,,,,,,,
