SampleID	SampleDay	SampleContent	SampleIndividual
M3_leftpalm_day_0	0	leftpalm	M3
M3_leftpalm_day_1	1	leftpalm	M3
M3_leftpalm_day_2	2	leftpalm	M3
M3_leftpalm_day_3	3	leftpalm	M3
M3_leftpalm_day_4	4	leftpalm	M3
M3_leftpalm_day_5	5	leftpalm	M3
M3_leftpalm_day_6	6	leftpalm	M3
M3_leftpalm_day_8	8	leftpalm	M3
M3_leftpalm_day_9	9	leftpalm	M3
M3_leftpalm_day_10	10	leftpalm	M3
M3_leftpalm_day_11	11	leftpalm	M3
M3_leftpalm_day_12	12	leftpalm	M3
M3_leftpalm_day_13	13	leftpalm	M3
M3_leftpalm_day_14	14	leftpalm	M3
M3_leftpalm_day_15	15	leftpalm	M3
M3_leftpalm_day_16	16	leftpalm	M3
M3_leftpalm_day_17	17	leftpalm	M3
M3_leftpalm_day_18	18	leftpalm	M3
M3_leftpalm_day_19	19	leftpalm	M3
M3_leftpalm_day_20	20	leftpalm	M3
M3_leftpalm_day_21	21	leftpalm	M3
M3_leftpalm_day_22	22	leftpalm	M3
M3_leftpalm_day_23	23	leftpalm	M3
M3_leftpalm_day_24	24	leftpalm	M3
M3_leftpalm_day_25	25	leftpalm	M3
M3_leftpalm_day_26	26	leftpalm	M3
M3_leftpalm_day_27	27	leftpalm	M3
M3_leftpalm_day_28	28	leftpalm	M3
M3_leftpalm_day_29	29	leftpalm	M3
M3_leftpalm_day_30	30	leftpalm	M3
M3_leftpalm_day_31	31	leftpalm	M3
M3_leftpalm_day_32	32	leftpalm	M3
M3_leftpalm_day_42	42	leftpalm	M3
M3_leftpalm_day_43	43	leftpalm	M3
M3_leftpalm_day_44	44	leftpalm	M3
M3_leftpalm_day_45	45	leftpalm	M3
M3_leftpalm_day_46	46	leftpalm	M3
M3_leftpalm_day_47	47	leftpalm	M3
M3_leftpalm_day_48	48	leftpalm	M3
M3_leftpalm_day_49	49	leftpalm	M3
M3_leftpalm_day_50	50	leftpalm	M3
M3_leftpalm_day_51	51	leftpalm	M3
M3_leftpalm_day_52	52	leftpalm	M3
M3_leftpalm_day_53	53	leftpalm	M3
M3_leftpalm_day_54	54	leftpalm	M3
M3_leftpalm_day_56	56	leftpalm	M3
M3_leftpalm_day_57	57	leftpalm	M3
M3_leftpalm_day_58	58	leftpalm	M3
M3_leftpalm_day_59	59	leftpalm	M3
M3_leftpalm_day_60	60	leftpalm	M3
M3_leftpalm_day_61	61	leftpalm	M3
M3_leftpalm_day_62	62	leftpalm	M3
M3_leftpalm_day_64	64	leftpalm	M3
M3_leftpalm_day_65	65	leftpalm	M3
M3_leftpalm_day_66	66	leftpalm	M3
M3_leftpalm_day_67	67	leftpalm	M3
M3_leftpalm_day_68	68	leftpalm	M3
M3_leftpalm_day_69	69	leftpalm	M3
M3_leftpalm_day_70	70	leftpalm	M3
M3_leftpalm_day_71	71	leftpalm	M3
M3_leftpalm_day_72	72	leftpalm	M3
M3_leftpalm_day_73	73	leftpalm	M3
M3_leftpalm_day_79	79	leftpalm	M3
M3_leftpalm_day_80	80	leftpalm	M3
M3_leftpalm_day_81	81	leftpalm	M3
M3_leftpalm_day_82	82	leftpalm	M3
M3_leftpalm_day_83	83	leftpalm	M3
M3_leftpalm_day_84	84	leftpalm	M3
M3_leftpalm_day_86	86	leftpalm	M3
M3_leftpalm_day_87	87	leftpalm	M3
M3_leftpalm_day_88	88	leftpalm	M3
M3_leftpalm_day_89	89	leftpalm	M3
M3_leftpalm_day_90	90	leftpalm	M3
M3_leftpalm_day_91	91	leftpalm	M3
M3_leftpalm_day_92	92	leftpalm	M3
M3_leftpalm_day_93	93	leftpalm	M3
M3_leftpalm_day_94	94	leftpalm	M3
M3_leftpalm_day_95	95	leftpalm	M3
M3_leftpalm_day_96	96	leftpalm	M3
M3_leftpalm_day_97	97	leftpalm	M3
M3_leftpalm_day_98	98	leftpalm	M3
M3_leftpalm_day_99	99	leftpalm	M3
M3_leftpalm_day_100	100	leftpalm	M3
M3_leftpalm_day_101	101	leftpalm	M3
M3_leftpalm_day_102	102	leftpalm	M3
M3_leftpalm_day_103	103	leftpalm	M3
M3_leftpalm_day_104	104	leftpalm	M3
M3_leftpalm_day_105	105	leftpalm	M3
M3_leftpalm_day_112	112	leftpalm	M3
M3_leftpalm_day_113	113	leftpalm	M3
M3_leftpalm_day_114	114	leftpalm	M3
M3_leftpalm_day_115	115	leftpalm	M3
M3_leftpalm_day_116	116	leftpalm	M3
M3_leftpalm_day_117	117	leftpalm	M3
M3_leftpalm_day_118	118	leftpalm	M3
M3_leftpalm_day_120	120	leftpalm	M3
M3_leftpalm_day_122	122	leftpalm	M3
M3_leftpalm_day_123	123	leftpalm	M3
M3_leftpalm_day_124	124	leftpalm	M3
M3_leftpalm_day_125	125	leftpalm	M3
M3_leftpalm_day_126	126	leftpalm	M3
M3_leftpalm_day_127	127	leftpalm	M3
M3_leftpalm_day_128	128	leftpalm	M3
M3_leftpalm_day_129	129	leftpalm	M3
M3_leftpalm_day_130	130	leftpalm	M3
M3_leftpalm_day_131	131	leftpalm	M3
M3_leftpalm_day_132	132	leftpalm	M3
M3_leftpalm_day_133	133	leftpalm	M3
M3_leftpalm_day_134	134	leftpalm	M3
M3_leftpalm_day_135	135	leftpalm	M3
M3_leftpalm_day_137	137	leftpalm	M3
M3_leftpalm_day_138	138	leftpalm	M3
M3_leftpalm_day_139	139	leftpalm	M3
M3_leftpalm_day_140	140	leftpalm	M3
M3_leftpalm_day_141	141	leftpalm	M3
M3_leftpalm_day_142	142	leftpalm	M3
M3_leftpalm_day_143	143	leftpalm	M3
M3_leftpalm_day_144	144	leftpalm	M3
M3_leftpalm_day_145	145	leftpalm	M3
M3_leftpalm_day_146	146	leftpalm	M3
M3_leftpalm_day_147	147	leftpalm	M3
M3_leftpalm_day_148	148	leftpalm	M3
M3_leftpalm_day_149	149	leftpalm	M3
M3_leftpalm_day_150	150	leftpalm	M3
M3_leftpalm_day_151	151	leftpalm	M3
M3_leftpalm_day_152	152	leftpalm	M3
M3_leftpalm_day_153	153	leftpalm	M3
M3_leftpalm_day_154	154	leftpalm	M3
M3_leftpalm_day_155	155	leftpalm	M3
M3_leftpalm_day_157	157	leftpalm	M3
M3_leftpalm_day_158	158	leftpalm	M3
M3_leftpalm_day_159	159	leftpalm	M3
M3_leftpalm_day_160	160	leftpalm	M3
M3_leftpalm_day_161	161	leftpalm	M3
M3_leftpalm_day_162	162	leftpalm	M3
M3_leftpalm_day_163	163	leftpalm	M3
M3_leftpalm_day_164	164	leftpalm	M3
M3_leftpalm_day_166	166	leftpalm	M3
M3_leftpalm_day_168	168	leftpalm	M3
M3_leftpalm_day_169	169	leftpalm	M3
M3_leftpalm_day_170	170	leftpalm	M3
M3_leftpalm_day_172	172	leftpalm	M3
M3_leftpalm_day_173	173	leftpalm	M3
M3_leftpalm_day_174	174	leftpalm	M3
M3_leftpalm_day_175	175	leftpalm	M3
M3_leftpalm_day_176	176	leftpalm	M3
M3_leftpalm_day_177	177	leftpalm	M3
M3_leftpalm_day_178	178	leftpalm	M3
M3_leftpalm_day_180	180	leftpalm	M3
M3_leftpalm_day_181	181	leftpalm	M3
M3_leftpalm_day_182	182	leftpalm	M3
M3_leftpalm_day_183	183	leftpalm	M3
M3_leftpalm_day_184	184	leftpalm	M3
M3_leftpalm_day_185	185	leftpalm	M3
M3_leftpalm_day_186	186	leftpalm	M3
M3_leftpalm_day_187	187	leftpalm	M3
M3_leftpalm_day_188	188	leftpalm	M3
M3_leftpalm_day_189	189	leftpalm	M3
M3_leftpalm_day_190	190	leftpalm	M3
M3_leftpalm_day_191	191	leftpalm	M3
M3_leftpalm_day_192	192	leftpalm	M3
M3_leftpalm_day_193	193	leftpalm	M3
M3_leftpalm_day_194	194	leftpalm	M3
M3_leftpalm_day_195	195	leftpalm	M3
M3_leftpalm_day_196	196	leftpalm	M3
M3_leftpalm_day_197	197	leftpalm	M3
M3_leftpalm_day_198	198	leftpalm	M3
M3_leftpalm_day_199	199	leftpalm	M3
M3_leftpalm_day_200	200	leftpalm	M3
M3_leftpalm_day_201	201	leftpalm	M3
M3_leftpalm_day_202	202	leftpalm	M3
M3_leftpalm_day_203	203	leftpalm	M3
M3_leftpalm_day_204	204	leftpalm	M3
M3_leftpalm_day_205	205	leftpalm	M3
M3_leftpalm_day_206	206	leftpalm	M3
M3_leftpalm_day_208	208	leftpalm	M3
M3_leftpalm_day_209	209	leftpalm	M3
M3_leftpalm_day_210	210	leftpalm	M3
M3_leftpalm_day_211	211	leftpalm	M3
M3_leftpalm_day_213	213	leftpalm	M3
M3_leftpalm_day_214	214	leftpalm	M3
M3_leftpalm_day_215	215	leftpalm	M3
M3_leftpalm_day_216	216	leftpalm	M3
M3_leftpalm_day_217	217	leftpalm	M3
M3_leftpalm_day_218	218	leftpalm	M3
M3_leftpalm_day_219	219	leftpalm	M3
M3_leftpalm_day_221	221	leftpalm	M3
M3_leftpalm_day_222	222	leftpalm	M3
M3_leftpalm_day_223	223	leftpalm	M3
M3_leftpalm_day_225	225	leftpalm	M3
M3_leftpalm_day_226	226	leftpalm	M3
M3_leftpalm_day_227	227	leftpalm	M3
M3_leftpalm_day_228	228	leftpalm	M3
M3_leftpalm_day_229	229	leftpalm	M3
M3_leftpalm_day_230	230	leftpalm	M3
M3_leftpalm_day_231	231	leftpalm	M3
M3_leftpalm_day_234	234	leftpalm	M3
M3_leftpalm_day_236	236	leftpalm	M3
M3_leftpalm_day_237	237	leftpalm	M3
M3_leftpalm_day_238	238	leftpalm	M3
M3_leftpalm_day_239	239	leftpalm	M3
M3_leftpalm_day_240	240	leftpalm	M3
M3_leftpalm_day_241	241	leftpalm	M3
M3_leftpalm_day_243	243	leftpalm	M3
M3_leftpalm_day_244	244	leftpalm	M3
M3_leftpalm_day_245	245	leftpalm	M3
M3_leftpalm_day_246	246	leftpalm	M3
M3_leftpalm_day_247	247	leftpalm	M3
M3_leftpalm_day_248	248	leftpalm	M3
M3_leftpalm_day_249	249	leftpalm	M3
M3_leftpalm_day_250	250	leftpalm	M3
M3_leftpalm_day_251	251	leftpalm	M3
M3_leftpalm_day_252	252	leftpalm	M3
M3_leftpalm_day_253	253	leftpalm	M3
M3_leftpalm_day_254	254	leftpalm	M3
M3_leftpalm_day_255	255	leftpalm	M3
M3_leftpalm_day_256	256	leftpalm	M3
M3_leftpalm_day_257	257	leftpalm	M3
M3_leftpalm_day_258	258	leftpalm	M3
M3_leftpalm_day_259	259	leftpalm	M3
M3_leftpalm_day_260	260	leftpalm	M3
M3_leftpalm_day_261	261	leftpalm	M3
M3_leftpalm_day_262	262	leftpalm	M3
M3_leftpalm_day_263	263	leftpalm	M3
M3_leftpalm_day_264	264	leftpalm	M3
M3_leftpalm_day_265	265	leftpalm	M3
M3_leftpalm_day_266	266	leftpalm	M3
M3_leftpalm_day_267	267	leftpalm	M3
M3_leftpalm_day_268	268	leftpalm	M3
M3_leftpalm_day_269	269	leftpalm	M3
M3_leftpalm_day_270	270	leftpalm	M3
M3_leftpalm_day_271	271	leftpalm	M3
M3_leftpalm_day_272	272	leftpalm	M3
M3_leftpalm_day_273	273	leftpalm	M3
M3_leftpalm_day_274	274	leftpalm	M3
M3_leftpalm_day_275	275	leftpalm	M3
M3_leftpalm_day_276	276	leftpalm	M3
M3_leftpalm_day_278	278	leftpalm	M3
M3_leftpalm_day_279	279	leftpalm	M3
M3_leftpalm_day_280	280	leftpalm	M3
M3_leftpalm_day_281	281	leftpalm	M3
M3_leftpalm_day_282	282	leftpalm	M3
M3_leftpalm_day_283	283	leftpalm	M3
M3_leftpalm_day_284	284	leftpalm	M3
M3_leftpalm_day_285	285	leftpalm	M3
M3_leftpalm_day_286	286	leftpalm	M3
M3_leftpalm_day_287	287	leftpalm	M3
M3_leftpalm_day_288	288	leftpalm	M3
M3_leftpalm_day_289	289	leftpalm	M3
M3_leftpalm_day_290	290	leftpalm	M3
M3_leftpalm_day_292	292	leftpalm	M3
M3_leftpalm_day_293	293	leftpalm	M3
M3_leftpalm_day_294	294	leftpalm	M3
M3_leftpalm_day_295	295	leftpalm	M3
M3_leftpalm_day_296	296	leftpalm	M3
M3_leftpalm_day_297	297	leftpalm	M3
M3_leftpalm_day_298	298	leftpalm	M3
M3_leftpalm_day_299	299	leftpalm	M3
M3_leftpalm_day_300	300	leftpalm	M3
M3_leftpalm_day_301	301	leftpalm	M3
M3_leftpalm_day_302	302	leftpalm	M3
M3_leftpalm_day_303	303	leftpalm	M3
M3_leftpalm_day_304	304	leftpalm	M3
M3_leftpalm_day_305	305	leftpalm	M3
M3_leftpalm_day_306	306	leftpalm	M3
M3_leftpalm_day_307	307	leftpalm	M3
M3_leftpalm_day_308	308	leftpalm	M3
M3_leftpalm_day_309	309	leftpalm	M3
M3_leftpalm_day_311	311	leftpalm	M3
M3_leftpalm_day_312	312	leftpalm	M3
M3_leftpalm_day_314	314	leftpalm	M3
M3_leftpalm_day_315	315	leftpalm	M3
M3_leftpalm_day_316	316	leftpalm	M3
M3_leftpalm_day_317	317	leftpalm	M3
M3_leftpalm_day_318	318	leftpalm	M3
M3_leftpalm_day_319	319	leftpalm	M3
M3_leftpalm_day_320	320	leftpalm	M3
M3_leftpalm_day_321	321	leftpalm	M3
M3_leftpalm_day_322	322	leftpalm	M3
M3_leftpalm_day_323	323	leftpalm	M3
M3_leftpalm_day_324	324	leftpalm	M3
M3_leftpalm_day_325	325	leftpalm	M3
M3_leftpalm_day_327	327	leftpalm	M3
M3_leftpalm_day_328	328	leftpalm	M3
M3_leftpalm_day_330	330	leftpalm	M3
M3_leftpalm_day_331	331	leftpalm	M3
M3_leftpalm_day_332	332	leftpalm	M3
M3_leftpalm_day_333	333	leftpalm	M3
M3_leftpalm_day_334	334	leftpalm	M3
M3_leftpalm_day_336	336	leftpalm	M3
M3_leftpalm_day_338	338	leftpalm	M3
M3_leftpalm_day_339	339	leftpalm	M3
M3_leftpalm_day_340	340	leftpalm	M3
M3_leftpalm_day_344	344	leftpalm	M3
M3_leftpalm_day_345	345	leftpalm	M3
M3_leftpalm_day_347	347	leftpalm	M3
M3_leftpalm_day_348	348	leftpalm	M3
M3_leftpalm_day_349	349	leftpalm	M3
M3_leftpalm_day_350	350	leftpalm	M3
M3_leftpalm_day_351	351	leftpalm	M3
M3_leftpalm_day_352	352	leftpalm	M3
M3_leftpalm_day_353	353	leftpalm	M3
M3_leftpalm_day_356	356	leftpalm	M3
M3_leftpalm_day_357	357	leftpalm	M3
M3_leftpalm_day_358	358	leftpalm	M3
M3_leftpalm_day_359	359	leftpalm	M3
M3_leftpalm_day_360	360	leftpalm	M3
M3_leftpalm_day_361	361	leftpalm	M3
M3_leftpalm_day_362	362	leftpalm	M3
M3_leftpalm_day_363	363	leftpalm	M3
M3_leftpalm_day_365	365	leftpalm	M3
M3_leftpalm_day_366	366	leftpalm	M3
M3_leftpalm_day_370	370	leftpalm	M3
M3_leftpalm_day_372	372	leftpalm	M3
M3_leftpalm_day_373	373	leftpalm	M3
M3_leftpalm_day_374	374	leftpalm	M3
M3_leftpalm_day_375	375	leftpalm	M3
M3_leftpalm_day_377	377	leftpalm	M3
M3_leftpalm_day_378	378	leftpalm	M3
M3_leftpalm_day_379	379	leftpalm	M3
M3_leftpalm_day_380	380	leftpalm	M3
M3_leftpalm_day_381	381	leftpalm	M3
M3_leftpalm_day_382	382	leftpalm	M3
M3_leftpalm_day_383	383	leftpalm	M3
M3_leftpalm_day_384	384	leftpalm	M3
M3_leftpalm_day_385	385	leftpalm	M3
M3_leftpalm_day_386	386	leftpalm	M3
M3_leftpalm_day_387	387	leftpalm	M3
M3_leftpalm_day_389	389	leftpalm	M3
M3_leftpalm_day_390	390	leftpalm	M3
M3_leftpalm_day_391	391	leftpalm	M3
M3_leftpalm_day_392	392	leftpalm	M3
M3_leftpalm_day_393	393	leftpalm	M3
M3_leftpalm_day_394	394	leftpalm	M3
M3_leftpalm_day_395	395	leftpalm	M3
M3_leftpalm_day_396	396	leftpalm	M3
M3_leftpalm_day_397	397	leftpalm	M3
M3_leftpalm_day_398	398	leftpalm	M3
M3_leftpalm_day_399	399	leftpalm	M3
M3_leftpalm_day_400	400	leftpalm	M3
M3_leftpalm_day_401	401	leftpalm	M3
M3_leftpalm_day_402	402	leftpalm	M3
M3_leftpalm_day_403	403	leftpalm	M3
M3_leftpalm_day_405	405	leftpalm	M3
M3_leftpalm_day_406	406	leftpalm	M3
M3_leftpalm_day_410	410	leftpalm	M3
M3_leftpalm_day_411	411	leftpalm	M3
M3_leftpalm_day_412	412	leftpalm	M3
M3_leftpalm_day_413	413	leftpalm	M3
M3_leftpalm_day_415	415	leftpalm	M3
M3_leftpalm_day_416	416	leftpalm	M3
M3_leftpalm_day_417	417	leftpalm	M3
M3_leftpalm_day_418	418	leftpalm	M3
M3_leftpalm_day_420	420	leftpalm	M3
M3_leftpalm_day_438	438	leftpalm	M3
M3_leftpalm_day_439	439	leftpalm	M3
M3_leftpalm_day_440	440	leftpalm	M3
M3_leftpalm_day_441	441	leftpalm	M3
M3_leftpalm_day_442	442	leftpalm	M3
M3_leftpalm_day_443	443	leftpalm	M3
M3_leftpalm_day_444	444	leftpalm	M3
