SampleID	SampleDay	SampleContent	SampleIndividual
M3_rightpalm_day_0	0	rightpalm	M3
M3_rightpalm_day_1	1	rightpalm	M3
M3_rightpalm_day_2	2	rightpalm	M3
M3_rightpalm_day_3	3	rightpalm	M3
M3_rightpalm_day_4	4	rightpalm	M3
M3_rightpalm_day_5	5	rightpalm	M3
M3_rightpalm_day_6	6	rightpalm	M3
M3_rightpalm_day_8	8	rightpalm	M3
M3_rightpalm_day_9	9	rightpalm	M3
M3_rightpalm_day_10	10	rightpalm	M3
M3_rightpalm_day_11	11	rightpalm	M3
M3_rightpalm_day_13	13	rightpalm	M3
M3_rightpalm_day_14	14	rightpalm	M3
M3_rightpalm_day_15	15	rightpalm	M3
M3_rightpalm_day_16	16	rightpalm	M3
M3_rightpalm_day_17	17	rightpalm	M3
M3_rightpalm_day_18	18	rightpalm	M3
M3_rightpalm_day_19	19	rightpalm	M3
M3_rightpalm_day_20	20	rightpalm	M3
M3_rightpalm_day_21	21	rightpalm	M3
M3_rightpalm_day_22	22	rightpalm	M3
M3_rightpalm_day_23	23	rightpalm	M3
M3_rightpalm_day_24	24	rightpalm	M3
M3_rightpalm_day_25	25	rightpalm	M3
M3_rightpalm_day_26	26	rightpalm	M3
M3_rightpalm_day_27	27	rightpalm	M3
M3_rightpalm_day_28	28	rightpalm	M3
M3_rightpalm_day_29	29	rightpalm	M3
M3_rightpalm_day_30	30	rightpalm	M3
M3_rightpalm_day_31	31	rightpalm	M3
M3_rightpalm_day_32	32	rightpalm	M3
M3_rightpalm_day_41	41	rightpalm	M3
M3_rightpalm_day_42	42	rightpalm	M3
M3_rightpalm_day_43	43	rightpalm	M3
M3_rightpalm_day_44	44	rightpalm	M3
M3_rightpalm_day_45	45	rightpalm	M3
M3_rightpalm_day_46	46	rightpalm	M3
M3_rightpalm_day_47	47	rightpalm	M3
M3_rightpalm_day_48	48	rightpalm	M3
M3_rightpalm_day_49	49	rightpalm	M3
M3_rightpalm_day_50	50	rightpalm	M3
M3_rightpalm_day_51	51	rightpalm	M3
M3_rightpalm_day_52	52	rightpalm	M3
M3_rightpalm_day_53	53	rightpalm	M3
M3_rightpalm_day_54	54	rightpalm	M3
M3_rightpalm_day_56	56	rightpalm	M3
M3_rightpalm_day_57	57	rightpalm	M3
M3_rightpalm_day_58	58	rightpalm	M3
M3_rightpalm_day_59	59	rightpalm	M3
M3_rightpalm_day_60	60	rightpalm	M3
M3_rightpalm_day_61	61	rightpalm	M3
M3_rightpalm_day_62	62	rightpalm	M3
M3_rightpalm_day_64	64	rightpalm	M3
M3_rightpalm_day_65	65	rightpalm	M3
M3_rightpalm_day_66	66	rightpalm	M3
M3_rightpalm_day_67	67	rightpalm	M3
M3_rightpalm_day_68	68	rightpalm	M3
M3_rightpalm_day_69	69	rightpalm	M3
M3_rightpalm_day_70	70	rightpalm	M3
