SampleID	SampleDay	SampleContent	SampleIndividual
M3_tongue_day_0	0	tongue	M3
M3_tongue_day_1	1	tongue	M3
M3_tongue_day_2	2	tongue	M3
M3_tongue_day_3	3	tongue	M3
M3_tongue_day_4	4	tongue	M3
M3_tongue_day_5	5	tongue	M3
M3_tongue_day_6	6	tongue	M3
M3_tongue_day_7	7	tongue	M3
M3_tongue_day_8	8	tongue	M3
M3_tongue_day_9	9	tongue	M3
M3_tongue_day_10	10	tongue	M3
M3_tongue_day_11	11	tongue	M3
M3_tongue_day_12	12	tongue	M3
M3_tongue_day_13	13	tongue	M3
M3_tongue_day_14	14	tongue	M3
M3_tongue_day_15	15	tongue	M3
M3_tongue_day_16	16	tongue	M3
M3_tongue_day_17	17	tongue	M3
M3_tongue_day_18	18	tongue	M3
M3_tongue_day_19	19	tongue	M3
M3_tongue_day_20	20	tongue	M3
M3_tongue_day_21	21	tongue	M3
M3_tongue_day_22	22	tongue	M3
M3_tongue_day_23	23	tongue	M3
M3_tongue_day_24	24	tongue	M3
M3_tongue_day_25	25	tongue	M3
M3_tongue_day_26	26	tongue	M3
M3_tongue_day_27	27	tongue	M3
M3_tongue_day_28	28	tongue	M3
M3_tongue_day_29	29	tongue	M3
M3_tongue_day_30	30	tongue	M3
M3_tongue_day_31	31	tongue	M3
M3_tongue_day_32	32	tongue	M3
M3_tongue_day_41	41	tongue	M3
M3_tongue_day_42	42	tongue	M3
M3_tongue_day_43	43	tongue	M3
M3_tongue_day_44	44	tongue	M3
M3_tongue_day_45	45	tongue	M3
M3_tongue_day_46	46	tongue	M3
M3_tongue_day_47	47	tongue	M3
M3_tongue_day_48	48	tongue	M3
M3_tongue_day_49	49	tongue	M3
M3_tongue_day_50	50	tongue	M3
M3_tongue_day_51	51	tongue	M3
M3_tongue_day_52	52	tongue	M3
M3_tongue_day_53	53	tongue	M3
M3_tongue_day_56	56	tongue	M3
M3_tongue_day_57	57	tongue	M3
M3_tongue_day_58	58	tongue	M3
M3_tongue_day_59	59	tongue	M3
M3_tongue_day_60	60	tongue	M3
M3_tongue_day_61	61	tongue	M3
M3_tongue_day_62	62	tongue	M3
M3_tongue_day_64	64	tongue	M3
M3_tongue_day_66	66	tongue	M3
M3_tongue_day_67	67	tongue	M3
M3_tongue_day_68	68	tongue	M3
M3_tongue_day_69	69	tongue	M3
M3_tongue_day_70	70	tongue	M3
M3_tongue_day_71	71	tongue	M3
M3_tongue_day_72	72	tongue	M3
M3_tongue_day_73	73	tongue	M3
M3_tongue_day_79	79	tongue	M3
M3_tongue_day_80	80	tongue	M3
M3_tongue_day_81	81	tongue	M3
M3_tongue_day_83	83	tongue	M3
M3_tongue_day_84	84	tongue	M3
M3_tongue_day_86	86	tongue	M3
M3_tongue_day_87	87	tongue	M3
M3_tongue_day_88	88	tongue	M3
M3_tongue_day_89	89	tongue	M3
M3_tongue_day_90	90	tongue	M3
M3_tongue_day_91	91	tongue	M3
M3_tongue_day_92	92	tongue	M3
M3_tongue_day_93	93	tongue	M3
M3_tongue_day_94	94	tongue	M3
M3_tongue_day_95	95	tongue	M3
M3_tongue_day_96	96	tongue	M3
M3_tongue_day_97	97	tongue	M3
M3_tongue_day_98	98	tongue	M3
M3_tongue_day_99	99	tongue	M3
M3_tongue_day_100	100	tongue	M3
