OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
genus1,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__,s__
genus2,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,s__
genus3,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus Solibacter,s__
genus4,k__Bacteria,p__Actinobacteria,c__,o__,f__,g__,s__
genus5,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__,g__,s__
genus6,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Actinomycetaceae,g__,s__
genus7,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Actinomycetaceae,g__Actinobaculum,s__
genus8,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__
genus9,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Actinomycetaceae,g__Arcanobacterium,s__
genus10,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Actinomycetaceae,g__Mobiluncus,s__
genus11,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Actinomycetaceae,g__Varibaculum,s__
genus12,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Brevibacteriaceae,g__Brevibacterium,s__
genus13,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Cellulomonadaceae,g__Demequina,s__
genus14,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Cellulomonadaceae,g__Oerskovia,s__
genus15,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Corynebacteriaceae,g__,s__
genus16,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__
genus17,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Dermabacteraceae,g__,s__
genus18,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Dermabacteraceae,g__Brachybacterium,s__
genus19,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Dermabacteraceae,g__Dermabacter,s__
genus20,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Dietziaceae,g__Dietzia,s__
genus21,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Geodermatophilaceae,g__Blastococcus,s__
genus22,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Gordoniaceae,g__Gordonia,s__
genus23,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Intrasporangiaceae,g__,s__
genus24,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Intrasporangiaceae,g__Serinicoccus,s__
genus25,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Microbacteriaceae,g__,s__
genus26,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Microbacteriaceae,g__Agromyces,s__
genus27,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Microbacteriaceae,g__Curtobacterium,s__
genus28,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Microbacteriaceae,g__Microcella,s__
genus29,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Microbacteriaceae,g__Mycetocola,s__
genus30,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Microbacteriaceae,g__Okibacterium,s__
genus31,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Microbacteriaceae,g__Pseudoclavibacter,s__
genus32,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Micrococcaceae,g__,s__
genus33,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Micrococcaceae,g__Arthrobacter,s__
genus34,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Micrococcaceae,g__Kocuria,s__
genus35,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Micrococcaceae,g__Renibacterium,s__
genus36,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Micrococcaceae,g__Rothia,s__
genus37,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Mycobacteriaceae,g__Mycobacterium,s__
genus38,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Nocardiaceae,g__Nocardia,s__
genus39,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Nocardiaceae,g__Rhodococcus,s__
genus40,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Nocardioidaceae,g__Marmoricola,s__
genus41,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Propionibacteriaceae,g__Propionibacterium,s__
genus42,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Pseudonocardiaceae,g__Pseudonocardia,s__
genus43,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Actinomycetales,f__Streptomycetaceae,g__Streptomyces,s__
genus44,k__Bacteria,p__Actinobacteria,c__Actinobacteria (class),o__Bifidobacteriales,f__,g__,s__
