SampleID,Date
sample_010,2001-02-06
sample_119,2001-03-13
sample_228,2001-04-02
sample_339,2001-04-30
sample_450,2001-05-08
sample_513,2001-05-14
sample_524,2001-05-21
sample_535,2001-05-31
sample_546,2001-06-04
sample_011,2001-06-11
sample_022,2001-06-18
sample_033,2001-06-25
sample_044,2001-07-09
sample_054,2001-07-23
sample_065,2001-07-30
sample_076,2001-08-13
sample_087,2001-09-03
sample_097,2001-09-10
sample_108,2001-09-24
sample_120,2001-10-09
sample_131,2001-10-22
sample_142,2001-11-05
sample_153,2001-11-12
sample_164,2001-11-19
sample_175,2001-11-26
sample_186,2002-01-07
sample_197,2002-01-14
sample_208,2002-02-18
sample_216,2002-03-06
sample_229,2002-03-19
sample_240,2002-04-02
sample_251,2002-04-08
sample_262,2002-04-15
sample_284,2002-05-27
sample_295,2002-06-11
sample_306,2002-06-24
sample_317,2002-07-01
sample_328,2002-07-16
sample_340,2002-07-22
sample_351,2002-07-23
sample_362,2002-07-23
sample_373,2002-07-29
sample_384,2002-08-05
sample_395,2002-08-07
sample_416,2002-08-12
sample_427,2002-08-20
sample_438,2002-09-02
sample_451,2002-09-16
sample_462,2002-09-23
sample_473,2002-09-30
sample_484,2002-10-08
sample_495,2002-10-29
sample_505,2002-11-04
sample_509,2002-11-25
sample_510,2003-02-04
sample_511,2003-03-25
sample_512,2003-04-07
sample_514,2003-04-14
sample_515,2003-04-22
sample_516,2003-05-06
sample_517,2003-05-13
sample_518,2003-05-19
sample_519,2003-06-02
sample_520,2003-06-09
sample_521,2003-06-16
sample_522,2003-07-01
sample_523,2003-07-07
sample_525,2003-07-15
sample_526,2003-07-21
sample_527,2003-07-28
sample_528,2003-08-05
sample_529,2003-08-12
sample_530,2003-08-20
sample_531,2003-08-28
sample_532,2003-09-02
sample_533,2003-09-12
sample_534,2003-09-16
sample_536,2003-09-24
sample_537,2003-09-30
sample_538,2003-10-14
sample_539,2003-10-21
sample_540,2003-10-27
sample_541,2003-11-06
sample_542,2003-11-24
sample_543,2003-12-11
sample_544,2004-01-21
sample_545,2004-02-12
sample_547,2004-02-17
sample_548,2004-02-23
sample_549,2004-03-01
sample_550,2004-03-09
sample_551,2004-03-17
sample_552,2004-04-26
sample_553,2004-05-10
sample_554,2004-05-17
sample_555,2004-05-24
sample_556,2004-06-02
sample_012,2004-06-08
sample_013,2004-06-14
sample_014,2004-06-22
sample_015,2004-07-01
sample_016,2004-07-06
sample_017,2004-07-12
sample_018,2004-07-22
sample_019,2004-08-03
sample_020,2004-08-09
sample_021,2004-08-17
sample_023,2004-08-26
sample_024,2004-09-01
sample_025,2004-09-06
sample_026,2004-09-27
sample_027,2004-10-18
sample_028,2004-10-26
sample_029,2004-11-01
sample_030,2004-11-09
sample_031,2004-11-16
sample_032,2004-11-29
sample_034,2004-12-14
sample_035,2004-12-20
sample_036,2005-01-19
sample_037,2005-01-31
sample_038,2005-02-07
sample_039,2005-03-16
sample_040,2005-04-12
sample_041,2005-04-25
sample_042,2005-05-05
sample_043,2005-11-22
sample_045,2005-11-28
sample_046,2005-12-06
sample_047,2005-12-19
sample_048,2006-01-03
sample_049,2006-01-09
sample_050,2006-01-16
sample_051,2006-01-23
sample_052,2006-02-06
sample_053,2006-02-14
sample_055,2006-02-22
sample_056,2006-02-28
sample_057,2006-03-06
sample_058,2006-03-16
sample_059,2006-03-21
sample_060,2006-03-31
sample_061,2006-04-03
sample_062,2006-04-11
sample_063,2006-04-19
sample_064,2006-04-26
sample_066,2006-05-04
sample_067,2006-05-17
sample_068,2006-05-23
sample_069,2006-06-07
sample_070,2006-06-13
sample_071,2006-06-21
sample_072,2006-06-27
sample_073,2006-07-03
sample_074,2006-07-12
sample_075,2006-07-17
sample_077,2006-08-08
sample_078,2006-08-15
sample_079,2006-08-22
sample_080,2006-08-29
sample_081,2006-09-06
sample_082,2006-09-12
sample_083,2006-09-26
sample_084,2006-10-04
sample_085,2006-10-09
sample_086,2006-10-31
sample_088,2006-11-06
sample_089,2006-12-12
sample_090,2006-12-19
sample_091,2007-01-15
sample_092,2007-01-16
sample_093,2007-01-24
sample_094,2007-01-29
sample_095,2007-02-16
sample_096,2007-02-21
sample_098,2007-02-27
sample_099,2007-03-09
sample_100,2007-03-12
sample_101,2007-03-20
sample_102,2007-03-26
sample_103,2007-04-10
sample_104,2007-04-17
sample_105,2007-04-27
sample_106,2007-04-30
sample_107,2007-05-08
sample_109,2007-05-30
sample_110,2007-06-04
sample_111,2007-06-19
sample_112,2007-06-25
sample_113,2007-07-03
sample_114,2007-07-10
sample_115,2007-07-23
sample_116,2007-07-30
sample_117,2007-08-06
sample_118,2007-08-20
sample_121,2007-08-28
sample_122,2008-05-13
sample_123,2008-05-19
sample_124,2008-05-21
sample_125,2008-05-26
sample_126,2008-06-02
sample_127,2008-06-10
sample_128,2008-06-16
sample_129,2008-06-23
sample_130,2008-06-30
sample_132,2008-07-15
sample_133,2008-08-20
sample_134,2008-09-03
sample_135,2008-09-12
sample_136,2008-09-16
sample_137,2008-09-23
sample_138,2008-09-30
sample_139,2008-10-07
sample_140,2008-10-21
sample_141,2008-10-28
sample_143,2008-11-04
sample_144,2008-11-17
sample_145,2008-11-27
sample_146,2008-12-02
sample_147,2008-12-10
sample_148,2009-01-06
sample_149,2009-01-16
sample_150,2009-01-22
sample_151,2009-01-30
sample_152,2009-02-13
sample_154,2009-03-05
sample_155,2009-03-10
sample_156,2009-04-28
sample_157,2009-05-21
sample_158,2009-06-01
sample_159,2009-06-03
sample_160,2009-06-09
sample_161,2009-06-16
sample_162,2009-06-24
sample_165,2009-07-07
sample_166,2009-07-14
sample_167,2009-08-15
sample_168,2009-08-22
sample_169,2009-09-08
sample_170,2009-09-17
sample_171,2009-10-01
sample_172,2009-10-08
sample_173,2009-10-15
sample_174,2009-10-20
sample_176,2009-10-24
sample_177,2009-11-11
sample_178,2009-12-04
sample_179,2009-12-16
sample_180,2010-01-12
sample_181,2010-01-19
sample_182,2010-06-03
sample_183,2010-06-10
sample_184,2010-07-13
sample_185,2010-07-27
sample_187,2010-08-03
sample_188,2010-08-11
sample_189,2010-08-15
sample_190,2010-09-03
sample_191,2010-09-09
sample_192,2010-09-15
sample_193,2010-09-22
sample_194,2010-10-05
sample_195,2010-10-13
sample_196,2010-10-14
sample_198,2010-10-25
sample_199,2010-11-02
sample_200,2010-11-12
sample_201,2010-11-17
sample_202,2010-11-26
sample_203,2010-12-02
sample_204,2010-12-10
sample_205,2010-12-13
sample_206,2011-01-17
sample_207,2011-01-27
sample_209,2011-02-01
sample_210,2011-02-22
sample_211,2011-03-21
sample_212,2011-03-28
sample_213,2011-04-12
sample_214,2011-04-20
sample_215,2011-05-16
sample_217,2011-05-25
sample_218,2011-06-01
sample_219,2011-06-01
sample_220,2011-06-08
sample_221,2011-06-20
sample_222,2011-07-05
sample_223,2011-08-30
sample_224,2011-09-15
sample_225,2011-09-20
sample_226,2011-09-27
sample_227,2012-01-09
sample_230,2012-01-17
sample_231,2012-01-24
sample_232,2012-02-01
sample_233,2012-02-08
sample_234,2012-02-17
sample_235,2012-02-21
sample_236,2012-02-29
sample_237,2012-03-07
sample_238,2012-03-14
sample_239,2012-03-22
sample_241,2012-04-04
sample_242,2012-04-11
sample_243,2012-04-18
sample_244,2012-04-26
sample_245,2012-05-02
sample_246,2012-05-08
sample_247,2012-05-16
sample_248,2012-05-22
sample_249,2012-05-30
sample_250,2012-06-13
sample_252,2012-06-20
sample_253,2012-06-26
sample_254,2012-07-04
sample_255,2012-07-11
sample_256,2012-07-25
sample_257,2012-08-01
sample_258,2012-08-08
sample_259,2012-08-15
sample_260,2012-08-22
sample_261,2012-09-05
sample_263,2012-09-14
sample_264,2012-09-19
sample_265,2012-09-26
sample_266,2012-10-10
sample_267,2012-10-17
sample_268,2012-10-24
sample_269,2012-10-31
sample_270,2012-11-08
sample_271,2012-11-14
sample_272,2012-11-28
sample_273,2002-05-01
sample_274,2012-12-05
sample_275,2012-12-12
sample_276,2012-12-19
sample_277,2013-01-09
sample_278,2013-01-16
sample_279,2013-01-23
sample_280,2013-02-05
sample_281,2013-02-13
sample_282,2013-02-20
sample_283,2013-02-27
sample_285,2013-03-06
sample_286,2013-03-15
sample_287,2013-03-20
sample_288,2013-03-23
sample_289,2013-03-26
sample_290,2013-04-04
sample_291,2013-04-10
sample_292,2013-04-17
sample_293,2013-04-30
sample_294,2013-05-09
sample_296,2013-05-21
sample_297,2013-05-29
sample_298,2013-06-04
sample_299,2013-06-10
sample_300,2013-06-18
sample_301,2013-06-25
sample_302,2013-07-02
sample_303,2013-07-10
sample_304,2013-07-16
sample_305,2013-07-22
sample_307,2013-07-30
sample_308,2013-08-07
sample_309,2013-08-13
sample_310,2013-08-20
sample_311,2013-08-27
sample_312,2013-09-02
sample_313,2013-09-10
sample_314,2013-09-25
sample_315,2013-10-02
sample_316,2013-10-09
sample_318,2013-10-16
sample_319,2013-11-07
sample_320,2013-11-22
sample_321,2013-11-26
sample_322,2013-12-05
sample_323,2013-12-11
sample_324,2013-12-19
sample_325,2014-01-16
sample_326,2014-02-12
sample_327,2014-02-18
sample_329,2014-03-05
sample_330,2014-03-12
sample_331,2014-03-19
sample_332,2014-03-26
sample_333,2014-04-09
sample_334,2014-04-16
sample_335,2014-04-22
sample_336,2014-05-07
sample_337,2014-05-15
sample_338,2014-05-21
sample_341,2014-05-28
sample_342,2014-06-04
sample_343,2014-06-09
sample_344,2014-06-17
sample_345,2014-06-23
sample_346,2014-07-02
sample_347,2014-07-09
sample_348,2014-07-16
sample_349,2014-07-23
sample_350,2014-07-30
sample_352,2014-08-06
sample_353,2014-08-20
sample_354,2014-08-27
sample_355,2014-09-03
sample_356,2014-09-10
sample_357,2014-09-17
sample_358,2014-10-01
sample_359,2014-10-15
sample_360,2014-10-22
sample_361,2014-10-29
sample_363,2014-11-05
sample_364,2014-11-20
sample_365,2014-12-03
sample_366,2014-12-10
sample_367,2014-12-17
sample_368,2015-01-07
sample_369,2015-01-20
sample_370,2015-01-28
sample_371,2015-02-04
sample_372,2015-02-11
sample_374,2015-02-18
sample_375,2015-03-11
sample_376,2015-03-18
sample_377,2015-03-25
sample_378,2015-04-01
sample_379,2015-04-08
sample_380,2015-04-15
sample_381,2015-04-22
sample_382,2015-07-15
sample_383,2015-07-22
sample_385,2015-07-29
sample_386,2015-08-05
sample_387,2015-08-12
sample_388,2015-08-19
sample_389,2015-08-26
sample_390,2015-09-02
sample_391,2015-09-09
sample_392,2015-09-16
sample_393,2015-09-23
sample_394,2015-09-30
sample_396,2015-10-09
sample_397,2015-10-14
sample_398,2015-10-22
sample_399,2015-10-28
sample_400,2015-12-09
sample_401,2015-12-16
sample_402,2016-01-06
sample_403,2016-01-20
sample_404,2016-02-03
sample_405,2016-02-10
sample_406,2016-02-17
sample_407,2016-02-24
sample_408,2016-03-30
sample_409,2016-04-06
sample_410,2016-04-13
sample_411,2016-04-20
sample_412,2016-04-27
sample_413,2016-05-04
sample_414,2016-05-11
sample_415,2016-05-18
sample_417,2016-08-24
sample_418,2016-09-20
sample_419,2016-09-28
sample_420,2016-10-19
sample_421,2016-10-26
sample_422,2016-11-02
sample_423,2016-11-30
sample_424,2016-12-15
sample_425,2016-12-21
