ASV,Genus,Species
asv_1,Other,asv_1
asv_2,Other,asv_2
asv_3,Exophiala,asv_3
asv_4,Unknown,asv_4
asv_5,Metschnikowia,asv_5
asv_7,Cadophora,asv_7
asv_10,Exophiala,asv_10
asv_11,Unknown Ascomycota,asv_11
asv_13,Other,asv_13
asv_15,Engyodontium,asv_15
asv_16,Cadophora,asv_16
asv_17,Cryptococcus,asv_17
asv_19,Parengyodontium,asv_19
asv_25,Rhodotorula,asv_25
asv_27,Unknown,asv_27
asv_28,Sarocladium,asv_28
asv_29,Debaryomyces,asv_29
asv_33,Cladosporium,asv_33
asv_34,Unknown,asv_34
asv_36,Epicoccum,asv_36
asv_37,Cladosporium,asv_37
asv_40,Unknown,asv_40
asv_41,Parengyodontium,asv_41
asv_44,Other,asv_44
asv_46,Unknown,asv_46
asv_47,Sporidiobolus,asv_47
asv_48,Unknown,asv_48
asv_51,Unknown,asv_51
asv_52,Unknown,asv_52
asv_53,Filobasidium,asv_53
asv_58,Other,asv_58
asv_59,Unknown,asv_59
asv_60,Other,asv_60
asv_61,Penicillium,asv_61
asv_63,Other,asv_63
asv_64,Aureobasidium,asv_64
asv_65,Metschnikowia,asv_65
asv_72,Saccharomyces,asv_72
asv_75,Unknown,asv_75
asv_78,Unknown,asv_78
asv_80,Simplicillium,asv_80
asv_81,Kondoa,asv_81
asv_85,Unknown,asv_85
asv_86,Unknown,asv_86
asv_87,Other,asv_87
asv_89,Rhodotorula,asv_89
asv_92,Unknown,asv_92
asv_94,Unknown,asv_94
asv_95,Symmetrospora,asv_95
asv_96,Unknown,asv_96
asv_98,Neoascochyta,asv_98
asv_100,Unknown,asv_100
asv_101,Unknown,asv_101
asv_105,Leucosporidium,asv_105
asv_106,Unknown,asv_106
asv_107,Unknown,asv_107
asv_109,Other,asv_109
asv_110,Other,asv_110
asv_111,Unknown,asv_111
asv_112,Botrytis,asv_112
asv_115,Symmetrospora,asv_115
asv_116,Unknown,asv_116
asv_118,Other,Pleurobrachia pileus
asv_119,Unknown,asv_119
asv_120,Other,asv_120
asv_122,Acremonium,asv_122
asv_123,Rhodotorula,asv_123
asv_124,Unknown,asv_124
asv_126,Unknown,asv_126
asv_127,Unknown,asv_127
asv_130,Unknown Ascomycota,asv_130
asv_132,Exophiala,Exophiala castellanii
asv_133,Unknown,asv_133
asv_136,Kondoa,asv_136
asv_140,Simplicillium,asv_140
asv_146,Monocillium,asv_146
asv_148,Unknown,asv_148
asv_150,Other,asv_150
asv_151,Leucosporidium,asv_151
asv_153,Penicillium,asv_153
asv_155,Unknown,asv_155
asv_157,Unknown,asv_157
asv_164,Cystobasidium,asv_164
asv_165,Wallemia,asv_165
asv_167,Penicillium,asv_167
asv_168,Unknown,asv_168
asv_169,Rhodotorula,asv_169
asv_172,Unknown,asv_172
asv_174,Unknown,asv_174
asv_178,Aspergillus,asv_178
asv_179,Itersonilia,asv_179
asv_180,Cutaneotrichosporon,asv_180
asv_182,Emericellopsis,asv_182
asv_183,Unknown,asv_183
asv_185,Dothideomycetes incertae sedis,asv_185
asv_187,Unknown,asv_187
asv_188,Unknown,asv_188
asv_190,Penicillium,asv_190
asv_192,Aspergillus,asv_192
asv_193,Dothideomycetes incertae sedis,asv_193
asv_195,Unknown,asv_195
