Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ191115-203,MQ191115,LIB-Aalborg-E-LT-580,79589,Aalborg oest #580,Summer,LT-2,"",Aalborg E,2018-08-08,32,2018,,"","","","","","",,,,,,,,,20.4
MQ191115-204,MQ191115,LIB-Aalborg-E-LT-582,79885,Aalborg oest #582,Summer,LT-1,"",Aalborg E,2018-08-15,33,2018,,"","","","","","",,,,,,,,,18.3
MQ191115-205,MQ191115,LIB-Aalborg-E-LT-584,74007,Aalborg oest #584,Summer,LT-2,"",Aalborg E,2018-08-21,34,2018,,"","","","","","",,,,,,,,,18.5
MQ191115-206,MQ191115,LIB-Aalborg-E-LT-586,21597,Aalborg oest #586,Summer,LT-2,"",Aalborg E,2018-08-27,35,2018,,"","","","","","",,,,,,,,,18
MQ191115-207,MQ191115,LIB-Aalborg-E-LT-588,61117,Aalborg oest #588,Summer,LT-1,"",Aalborg E,2018-09-04,36,2018,,"","","","","","",,,,,,,,,18.9
MQ191115-208,MQ191115,LIB-Aalborg-E-LT-590,71442,Aalborg oest #590,Summer,LT-4,"",Aalborg E,2018-09-10,37,2018,,"","","","","","",,,,,,,,,17
MQ191115-209,MQ191115,LIB-Aalborg-E-LT-592,53307,Aalborg oest #592,Fall,LT-2,"",Aalborg E,2018-09-17,38,2018,,"","","","","","",,,,,,,,,17
MQ191115-210,MQ191115,LIB-Aalborg-E-LT-594,67090,Aalborg oest #594,Fall,LT-2,"",Aalborg E,2018-09-24,39,2018,,"","","","","","",,,,,,,,,15.7
MQ191115-211,MQ191115,LIB-Aalborg-E-LT-596,14260,Aalborg oest #596,Fall,LT-4,"",Aalborg E,2018-10-01,40,2018,,"","","","","","",,,,,,,,,15.5
MQ191115-212,MQ191115,LIB-Aalborg-E-LT-598,67091,Aalborg oest #598,Fall,LT-1,"",Aalborg E,2018-10-03,40,2018,,"","","","","","",,,,,,,,,15.5
MQ191115-213,MQ191115,LIB-Aalborg-E-LT-600,61621,Aalborg oest #600,Fall,LT-1,"",Aalborg E,2018-10-17,42,2018,,"","","","","","",,,,,,,,,17.5
MQ191115-214,MQ191115,LIB-Aalborg-E-LT-602,8858,Aalborg oest #602,Fall,LT-1,"",Aalborg E,2018-10-23,43,2018,,"","","","","","",,,,,,,,,16.1
MQ191115-215,MQ191115,LIB-Aalborg-E-LT-604,68588,Aalborg oest #604,Fall,LT-1,"",Aalborg E,2018-11-02,44,2018,,"","","","","","",,,,,,,,,13.4
MQ191115-216,MQ191115,LIB-Aalborg-E-LT-606,13545,Aalborg oest #606,Fall,LT-1,"",Aalborg E,2018-11-07,45,2018,,"","","","","","",,,,,,,,,
MQ191115-217,MQ191115,LIB-Aalborg-E-LT-608,127003,Aalborg oest #608,Fall,LT-4,"",Aalborg E,2018-11-13,46,2018,,"","","","","","",,,,,,,,,13.9
MQ191115-218,MQ191115,LIB-Aalborg-E-LT-610,70323,Aalborg oest #610,Fall,LT-4,"",Aalborg E,2018-11-19,47,2018,,"","","","","","",,,,,,,,,13.4
MQ191115-219,MQ191115,LIB-Aalborg-E-LT-612,65008,Aalborg oest #612,Fall,LT-1,"",Aalborg E,2018-11-26,48,2018,,"","","","","","",,,,,,,,,11.8
MQ191115-220,MQ191115,LIB-Aalborg-E-LT-614,70433,Aalborg oest #614,Fall,LT-1,"",Aalborg E,2018-12-03,49,2018,,"","","","","","",,,,,,,,,
MQ191115-221,MQ191115,LIB-Aalborg-E-LT-616,63431,Aalborg oest #616,Fall,LT-1,"",Aalborg E,2018-12-12,50,2018,,"","","","","","",,,,,,,,,
MQ191115-222,MQ191115,LIB-Aalborg-E-LT-618,92268,Aalborg oest #618,Winter,LT-4,"",Aalborg E,2018-12-18,51,2018,,"","","","","","",,,,,,,,,
MQ191115-223,MQ191115,LIB-Aalborg-E-LT-620,13117,Aalborg oest #620,Winter,LT-1,"",Aalborg E,2019-01-04,1,2019,,"","","","","","",,,,,,,,,
MQ191115-224,MQ191115,LIB-Aalborg-E-LT-622,92799,Aalborg oest #622,Winter,LT-1,"",Aalborg E,2019-01-08,2,2019,,"","","","","","",,,,,,,,,
MQ191115-225,MQ191115,LIB-Aalborg-E-LT-624,55325,Aalborg oest #624,Winter,LT-1,"",Aalborg E,2019-01-14,3,2019,,"","","","","","",,,,,,,,,
MQ191115-226,MQ191115,LIB-Aalborg-E-LT-626,84797,Aalborg oest #626,Winter,LT-1,"",Aalborg E,2019-01-22,4,2019,,"","","","","","",,,,,,,,,
MQ191115-227,MQ191115,LIB-Aalborg-E-LT-628,2589,Aalborg oest #628,Winter,LT-3,"",Aalborg E,2019-01-31,5,2019,,"","","","","","",,,,,,,,,
MQ191115-228,MQ191115,LIB-Aalborg-E-LT-630,61477,Aalborg oest #630,Winter,LT-1,"",Aalborg E,2019-02-04,6,2019,,"","","","","","",,,,,,,,,
MQ191115-229,MQ191115,LIB-Aalborg-E-LT-632,83465,Aalborg oest #632,Winter,LT-2,"",Aalborg E,2019-02-14,7,2019,,"","","","","","",,,,,,,,,
MQ191115-230,MQ191115,LIB-Aalborg-E-LT-634,66243,Aalborg oest #634,Winter,LT-1,"",Aalborg E,2019-02-18,8,2019,,"","","","","","",,,,,,,,,
