Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181221-245,MQ181221,LIB-Aalborg-Vest-LT-379,,"",pre-S::Select,"",Aalborg W,2017-02-07,6,2017,Winter,"","","","","","",,,,,,,,,9.4
MQ181221-246,MQ181221,LIB-Aalborg-Vest-LT-382,,"",pre-S::Select,"",Aalborg W,2017-02-15,7,2017,Winter,"","","","","","",,,,,,,,,10.7
MQ181221-247,MQ181221,LIB-Aalborg-Vest-LT-385,,"",pre-S::Select,"",Aalborg W,2017-02-21,8,2017,Winter,"","","","","","",,,,,,,,,
MQ181221-248,MQ181221,LIB-Aalborg-Vest-LT-388,,"",pre-S::Select,"",Aalborg W,2017-02-28,9,2017,Winter,"","","","","","",,,,,,,,,10
MQ181221-249,MQ181221,LIB-Aalborg-Vest-LT-391,,"",pre-S::Select,"",Aalborg W,2017-03-08,10,2017,Winter,"","","","","","",,,,,,,,,9
MQ181221-250,MQ181221,LIB-Aalborg-Vest-LT-394,,"",pre-S::Select,"",Aalborg W,2017-03-13,11,2017,Winter,"","","","","","",,,,,,,,,10.8
MQ181221-251,MQ181221,LIB-Aalborg-Vest-LT-397,,"",pre-S::Select,"",Aalborg W,2017-03-20,12,2017,Spring,"","","","","","",,,,,,,,,9.6
MQ181221-252,MQ181221,LIB-Aalborg-Vest-LT-400,,"",pre-S::Select,"",Aalborg W,2017-03-29,13,2017,Spring,"","","","","","",,,,,,,,,11.5
MQ181221-253,MQ181221,LIB-Aalborg-Vest-LT-403,,"",pre-S::Select,"",Aalborg W,2017-04-03,14,2017,Spring,"","","","","","",,,,,,,,,12.2
MQ181221-254,MQ181221,LIB-Aalborg-Vest-LT-406,,"",pre-S::Select,"",Aalborg W,2017-04-11,15,2017,Spring,"","","","","","",,,,,,,,,11.3
MQ181221-255,MQ181221,LIB-Aalborg-Vest-LT-409,,"",pre-S::Select,"",Aalborg W,2017-04-18,16,2017,Spring,"","","","","","",,,,,,,,,
MQ181221-256,MQ181221,LIB-Aalborg-Vest-LT-412,,"",pre-S::Select,"",Aalborg W,2017-04-28,17,2017,Spring,"","","","","","",,,,,,,,,
MQ181221-257,MQ181221,LIB-Aalborg-Vest-LT-415,,"",pre-S::Select,"",Aalborg W,2017-05-04,18,2017,Spring,"","","","","","",,,,,,,,,
MQ181221-258,MQ181221,LIB-Aalborg-Vest-LT-418,,"",pre-S::Select,"",Aalborg W,2017-05-10,19,2017,Spring,"","","","","","",,,,,,,,,13.2
MQ181221-260,MQ181221,LIB-Aalborg-Vest-LT-424,,"",pre-S::Select,"",Aalborg W,2017-05-24,21,2017,Spring,"","","","","","",,,,,,,,,15.5
MQ181221-261,MQ181221,LIB-Aalborg-Vest-LT-427,,"",pre-S::Select,"",Aalborg W,2017-05-31,22,2017,Spring,"","","","","","",,,,,,,,,15.4
MQ181221-262,MQ181221,LIB-Aalborg-Vest-LT-430,,"",pre-S::Select,"",Aalborg W,2017-06-06,23,2017,Spring,"","","","","","",,,,,,,,,16.8
MQ181221-263,MQ181221,LIB-Aalborg-Vest-LT-433,,"",pre-S::Select,"",Aalborg W,2017-06-14,24,2017,Spring,"","","","","","",,,,,,,,,16.6
MQ181221-264,MQ181221,LIB-Aalborg-Vest-LT-436,,"",pre-S::Select,"",Aalborg W,2017-06-21,25,2017,Summer,"","","","","","",,,,,,,,,17.1
MQ181221-265,MQ181221,LIB-Aalborg-Vest-LT-439,,"",pre-S::Select,"",Aalborg W,2017-06-28,26,2017,Summer,"","","","","","",,,,,,,,,
MQ181221-266,MQ181221,LIB-Aalborg-Vest-LT-442,,"",pre-S::Select,"",Aalborg W,2017-07-05,27,2017,Summer,"","","","","","",,,,,,,,,
MQ181221-267,MQ181221,LIB-Aalborg-Vest-LT-445,,"",pre-S::Select,"",Aalborg W,2017-07-11,28,2017,Summer,"","","","","","",,,,,,,,,
MQ181221-268,MQ181221,LIB-Aalborg-Vest-LT-448,,"",pre-S::Select,"",Aalborg W,2017-07-26,30,2017,Summer,"","","","","","",,,,,,,,,17.4
MQ181221-269,MQ181221,LIB-Aalborg-Vest-LT-451,,"",pre-S::Select,"",Aalborg W,2017-08-01,31,2017,Summer,"","","","","","",,,,,,,,,17.8
MQ181221-270,MQ181221,LIB-Aalborg-Vest-LT-454,,"",pre-S::Select,"",Aalborg W,2017-08-09,32,2017,Summer,"","","","","","",,,,,,,,,17.5
MQ181221-271,MQ181221,LIB-Aalborg-Vest-LT-457,,"",pre-S::Select,"",Aalborg W,2017-08-17,33,2017,Summer,"","","","","","",,,,,,,,,17.4
MQ181221-272,MQ181221,LIB-Aalborg-Vest-LT-460,,"",pre-S::Select,"",Aalborg W,2017-08-24,34,2017,Summer,"","","","","","",,,,,,,,,17.4
MQ181221-273,MQ181221,LIB-Aalborg-Vest-LT-463,,"",pre-S::Select,"",Aalborg W,2017-08-30,35,2017,Summer,"","","","","","",,,,,,,,,17.8
MQ181221-274,MQ181221,LIB-Aalborg-Vest-LT-466,,"",pre-S::Select,"",Aalborg W,2017-09-07,36,2017,Summer,"","","","","","",,,,,,,,,17.5
MQ181221-275,MQ181221,LIB-Aalborg-Vest-LT-469,,"",pre-S::Select,"",Aalborg W,2017-09-13,37,2017,Summer,"","","","","","",,,,,,,,,16
MQ181221-276,MQ181221,LIB-Aalborg-Vest-LT-472,,"",pre-S::Select,"",Aalborg W,2017-09-21,38,2017,Fall,"","","","","","",,,,,,,,,
MQ181221-277,MQ181221,LIB-Aalborg-Vest-LT-475,,"",pre-S::Select,"",Aalborg W,2017-09-27,39,2017,Fall,"","","","","","",,,,,,,,,16.8
MQ190702-88,MQ190702,LIB-Aalborg-W-LT-478,80593,"",pre-S::Select,"",Aalborg W,2017-10-11,41,2017,Fall,"","","","","","",,,,,,,,,15
MQ190702-89,MQ190702,LIB-Aalborg-W-LT-481,74774,"",pre-S::Select,"",Aalborg W,2017-10-17,42,2017,Fall,"","","","","","",,,,,,,,,
MQ190702-90,MQ190702,LIB-Aalborg-W-LT-484,53902,"",pre-S::Select,"",Aalborg W,2017-10-24,43,2017,Fall,"","","","","","",,,,,,,,,
MQ190702-91,MQ190702,LIB-Aalborg-W-LT-487,62287,"",pre-S::Select,"",Aalborg W,2017-11-01,44,2017,Fall,"","","","","","",,,,,,,,,13.1
MQ190702-92,MQ190702,LIB-Aalborg-W-LT-490,65342,"",pre-S::Select,"",Aalborg W,2017-11-09,45,2017,Fall,"","","","","","",,,,,,,,,13.6
MQ190702-93,MQ190702,LIB-Aalborg-W-LT-493,72875,"",pre-S::Select,"",Aalborg W,2017-11-15,46,2017,Fall,"","","","","","",,,,,,,,,12
MQ190702-94,MQ190702,LIB-Aalborg-W-LT-496,63043,"",pre-S::Select,"",Aalborg W,2017-11-23,47,2017,Fall,"","","","","","",,,,,,,,,10.8
