Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ190919-39,MQ190919,LIB-Damhusaen-LT-A-159,,"",Spring,A,AS,mean,Damhusåen-A,2019-04-11,15,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-40,MQ190919,LIB-Damhusaen-LT-A-160,,"",Spring,A,AS,mean,Damhusåen-A,2019-04-15,16,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-41,MQ190919,LIB-Damhusaen-LT-A-161,,"",Spring,A,AS,mean,Damhusåen-A,2019-04-24,17,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-42,MQ190919,LIB-Damhusaen-LT-A-162,,"",Spring,A,AS,mean,Damhusåen-A,2019-04-25,17,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-43,MQ190919,LIB-Damhusaen-LT-A-163,,"",Spring,A,AS,mean,Damhusåen-A,2019-04-30,18,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-44,MQ190919,LIB-Damhusaen-LT-A-164,,"",Spring,A,AS,mean,Damhusåen-A,2019-05-03,18,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-45,MQ190919,LIB-Damhusaen-LT-A-165,,"",Spring,A,AS,mean,Damhusåen-A,2019-05-07,19,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-46,MQ190919,LIB-Damhusaen-LT-A-1,,"",Spring,A,AS,mean,Damhusåen-A,2019-05-20,21,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-47,MQ190919,LIB-Damhusaen-LT-A-3,,"",Spring,A,AS,mean,Damhusåen-A,2019-05-29,22,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-48,MQ190919,LIB-Damhusaen-LT-A-5,,"",Spring,A,AS,mean,Damhusåen-A,2019-06-14,24,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-49,MQ190919,LIB-Damhusaen-LT-A-7,,"",Summer,A,AS,mean,Damhusåen-A,2019-06-19,25,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-50,MQ190919,LIB-Damhusaen-LT-A-9,,"",Summer,A,AS,mean,Damhusåen-A,2019-06-26,26,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-51,MQ190919,LIB-Damhusaen-LT-A-11,,"",Summer,A,AS,mean,Damhusåen-A,2019-07-10,28,2019,,"","","","","","",,,,,,,,,,,"",,
MQ190919-52,MQ190919,LIB-Damhusaen-LT-A-13,,"",Summer,A,AS,mean,Damhusåen-A,2019-07-18,29,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-46,MQ200528,LIB-Damhusaen-LT-A-15,46150,"",Summer,A,AS,mean,Damhusåen-A,2019-07-24,30,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-47,MQ200528,LIB-Damhusaen-LT-A-17,44700,"",Summer,A,AS,mean,Damhusåen-A,2019-08-02,31,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-48,MQ200528,LIB-Damhusaen-LT-A-19,45042,"",Summer,A,AS,mean,Damhusåen-A,2019-08-07,32,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-49,MQ200528,LIB-Damhusaen-LT-A-21,48716,"",Summer,A,AS,mean,Damhusåen-A,2019-08-14,33,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-50,MQ200528,LIB-Damhusaen-LT-A-23,46640,"",Summer,A,AS,mean,Damhusåen-A,2019-08-23,34,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-51,MQ200528,LIB-Damhusaen-LT-A-25,46285,"",Summer,A,AS,mean,Damhusåen-A,2019-08-27,35,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-52,MQ200528,LIB-Damhusaen-LT-A-27,49672,"",Summer,A,AS,mean,Damhusåen-A,2019-09-04,36,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-53,MQ200528,LIB-Damhusaen-LT-A-29,44746,"",Summer,A,AS,mean,Damhusåen-A,2019-09-13,37,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-54,MQ200528,LIB-Damhusaen-LT-A-31,49160,"",Fall,A,AS,mean,Damhusåen-A,2019-09-19,38,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-55,MQ200528,LIB-Damhusaen-LT-A-33,47456,"",Fall,A,AS,mean,Damhusåen-A,2019-09-25,39,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-56,MQ200528,LIB-Damhusaen-LT-A-35,48689,"",Fall,A,AS,mean,Damhusåen-A,2019-09-30,40,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-57,MQ200528,LIB-Damhusaen-LT-A-37,51440,"",Fall,A,AS,mean,Damhusåen-A,2019-10-23,43,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-58,MQ200528,LIB-Damhusaen-LT-A-39,52361,"",Fall,A,AS,mean,Damhusåen-A,2019-10-31,44,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-59,MQ200528,LIB-Damhusaen-LT-A-41,53439,"",Fall,A,AS,mean,Damhusåen-A,2019-11-04,45,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-60,MQ200528,LIB-Damhusaen-LT-A-43,52173,"",Fall,A,AS,mean,Damhusåen-A,2019-11-12,46,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-61,MQ200528,LIB-Damhusaen-LT-A-45,48386,"",Fall,A,AS,mean,Damhusåen-A,2019-11-21,47,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-62,MQ200528,LIB-Damhusaen-LT-A-47,64466,"",Fall,A,AS,mean,Damhusåen-A,2019-11-25,48,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-63,MQ200528,LIB-Damhusaen-LT-A-49,53404,"",Fall,A,AS,mean,Damhusåen-A,2019-12-03,49,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-64,MQ200528,LIB-Damhusaen-LT-A-51,50161,"",Fall,A,AS,mean,Damhusåen-A,2019-12-13,50,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200528-65,MQ200528,LIB-Damhusaen-LT-A-53,57795,"",Winter,A,AS,mean,Damhusåen-A,2020-01-07,2,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-66,MQ200528,LIB-Damhusaen-LT-A-55,53951,"",Winter,A,AS,mean,Damhusåen-A,2020-01-14,3,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-67,MQ200528,LIB-Damhusaen-LT-A-57,56579,"",Winter,A,AS,mean,Damhusåen-A,2020-01-20,4,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-68,MQ200528,LIB-Damhusaen-LT-A-82,55836,"",Winter,A,AS,mean,Damhusåen-A,2020-01-27,5,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-69,MQ200528,LIB-Damhusaen-LT-A-84,51445,"",Winter,A,AS,mean,Damhusåen-A,2020-02-03,6,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-70,MQ200528,LIB-Damhusaen-LT-A-86,49774,"",Winter,A,AS,mean,Damhusåen-A,2020-02-12,7,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-71,MQ200528,LIB-Damhusaen-LT-A-88,50659,"",Winter,A,AS,mean,Damhusåen-A,2020-02-18,8,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-72,MQ200528,LIB-Damhusaen-LT-A-90,48392,"",Winter,A,AS,mean,Damhusåen-A,2020-02-24,9,2020,,"","","","","","",,,,,,,,,,,"",,
MQ200528-73,MQ200528,LIB-Damhusaen-LT-A-92,59789,"",Winter,A,AS,mean,Damhusåen-A,2020-03-02,10,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-184,MQ201009,LIB-Damhusaen-LT-A-94,28616,"",Winter,A,AS,mean,Damhusåen-A,2020-03-09,11,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201009-185,MQ201009,LIB-Damhusaen-LT-A-96,32870,"",Spring,A,AS,mean,Damhusåen-A,2020-03-24,13,2020,,"","","","","","",,,,,,,,,,,"",,
