Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190919-255,MQ190919,LIB-Damhusaen-LT-D-160,,"",Spring,D,mean,Damhusåen-D,2019-04-09,15,2019,,"","","","","","",,,,,,,,,
MQ190919-256,MQ190919,LIB-Damhusaen-LT-D-161,,"",Spring,D,mean,Damhusåen-D,2019-04-11,15,2019,,"","","","","","",,,,,,,,,
MQ190919-257,MQ190919,LIB-Damhusaen-LT-D-162,,"",Spring,D,mean,Damhusåen-D,2019-04-15,16,2019,,"","","","","","",,,,,,,,,
MQ190919-258,MQ190919,LIB-Damhusaen-LT-D-163,,"",Spring,D,mean,Damhusåen-D,2019-04-24,17,2019,,"","","","","","",,,,,,,,,
MQ190919-259,MQ190919,LIB-Damhusaen-LT-D-164,,"",Spring,D,mean,Damhusåen-D,2019-04-25,17,2019,,"","","","","","",,,,,,,,,
MQ190919-260,MQ190919,LIB-Damhusaen-LT-D-165,,"",Spring,D,mean,Damhusåen-D,2019-04-30,18,2019,,"","","","","","",,,,,,,,,
MQ190919-261,MQ190919,LIB-Damhusaen-LT-D-166,,"",Spring,D,mean,Damhusåen-D,2019-05-03,18,2019,,"","","","","","",,,,,,,,,
MQ190919-262,MQ190919,LIB-Damhusaen-LT-D-167,,"",Spring,D,mean,Damhusåen-D,2019-05-07,19,2019,,"","","","","","",,,,,,,,,
MQ190919-263,MQ190919,LIB-Damhusaen-LT-D-10,,"",Spring,D,mean,Damhusåen-D,2019-05-20,21,2019,,"","","","","","",,,,,,,,,
MQ190919-264,MQ190919,LIB-Damhusaen-LT-D-3,,"",Spring,D,mean,Damhusåen-D,2019-05-29,22,2019,,"","","","","","",,,,,,,,,
MQ190919-265,MQ190919,LIB-Damhusaen-LT-D-5,,"",Spring,D,mean,Damhusåen-D,2019-06-14,24,2019,,"","","","","","",,,,,,,,,
MQ190919-266,MQ190919,LIB-Damhusaen-LT-D-7,,"",Summer,D,mean,Damhusåen-D,2019-06-19,25,2019,,"","","","","","",,,,,,,,,
MQ190919-267,MQ190919,LIB-Damhusaen-LT-D-9,,"",Summer,D,mean,Damhusåen-D,2019-06-26,26,2019,,"","","","","","",,,,,,,,,
MQ190919-268,MQ190919,LIB-Damhusaen-LT-D-11,,"",Summer,D,mean,Damhusåen-D,2019-07-10,28,2019,,"","","","","","",,,,,,,,,
MQ190919-269,MQ190919,LIB-Damhusaen-LT-D-13,,"",Summer,D,mean,Damhusåen-D,2019-07-18,29,2019,,"","","","","","",,,,,,,,,
