Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ201030-68,MQ201030,LIB-Ejby-Molle-LT-466,,"","","",Ejby Mølle,2018-11-13,46,2018,Fall,"","","","","","",,,,,,,,,
MQ201030-69,MQ201030,LIB-Ejby-Molle-LT-469,,"","","",Ejby Mølle,2018-11-22,47,2018,Fall,"","","","","","",,,,,,,,,
MQ201030-70,MQ201030,LIB-Ejby-Molle-LT-477,,"","","",Ejby Mølle,2018-11-26,48,2018,Fall,"","","","","","",,,,,,,,,
MQ201030-71,MQ201030,LIB-Ejby-Molle-LT-475,,"","","",Ejby Mølle,2018-12-05,49,2018,Fall,"","","","","","",,,,,,,,,
MQ201030-72,MQ201030,LIB-Ejby-Molle-LT-478,,"","","",Ejby Mølle,2018-12-13,50,2018,Fall,"","","","","","",,,,,,,,,
MQ201030-73,MQ201030,LIB-Ejby-Molle-LT-481,,"","","",Ejby Mølle,2018-12-18,51,2018,Winter,"","","","","","",,,,,,,,,
MQ201030-74,MQ201030,LIB-Ejby-Molle-LT-484,,"","","",Ejby Mølle,2019-01-03,1,2019,Winter,"","","","","","",,,,,,,,,
MQ201030-75,MQ201030,LIB-Ejby-Molle-LT-487,,"","","",Ejby Mølle,2019-01-10,2,2019,Winter,"","","","","","",,,,,,,,,
MQ201030-76,MQ201030,LIB-Ejby-Molle-LT-490,,"","","",Ejby Mølle,2019-01-17,3,2019,Winter,"","","","","","",,,,,,,,,
MQ201030-77,MQ201030,LIB-Ejby-Molle-LT-493,,"","","",Ejby Mølle,2019-01-24,4,2019,Winter,"","","","","","",,,,,,,,,
MQ201030-78,MQ201030,LIB-Ejby-Molle-LT-496,,"","","",Ejby Mølle,2019-01-30,5,2019,Winter,"","","","","","",,,,,,,,,
MQ201030-79,MQ201030,LIB-Ejby-Molle-LT-499,,"","","",Ejby Mølle,2019-02-08,6,2019,Winter,"","","","","","",,,,,,,,,
MQ201030-80,MQ201030,LIB-Ejby-Molle-LT-502,,"","","",Ejby Mølle,2019-02-12,7,2019,Winter,"","","","","","",,,,,,,,,
MQ201030-81,MQ201030,LIB-Ejby-Molle-LT-505,,"","","",Ejby Mølle,2019-02-21,8,2019,Winter,"","","","","","",,,,,,,,,
MQ201030-82,MQ201030,LIB-Ejby-Molle-LT-508,,"","","",Ejby Mølle,2019-02-26,9,2019,Winter,"","","","","","",,,,,,,,,
MQ201030-83,MQ201030,LIB-Ejby-Molle-LT-511,,"","","",Ejby Mølle,2019-03-07,10,2019,Winter,"","","","","","",,,,,,,,,
MQ201030-84,MQ201030,LIB-Ejby-Molle-LT-514,,"","","",Ejby Mølle,2019-03-14,11,2019,Winter,"","","","","","",,,,,,,,,
MQ201030-85,MQ201030,LIB-Ejby-Molle-LT-517,,"","","",Ejby Mølle,2019-03-20,12,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-86,MQ201030,LIB-Ejby-Molle-LT-520,,"","","",Ejby Mølle,2019-03-27,13,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-87,MQ201030,LIB-Ejby-Molle-LT-523,,"","","",Ejby Mølle,2019-04-02,14,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-88,MQ201030,LIB-Ejby-Molle-LT-526,,"","","",Ejby Mølle,2019-04-11,15,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-89,MQ201030,LIB-Ejby-Molle-LT-529,,"","","",Ejby Mølle,2019-04-16,16,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-90,MQ201030,LIB-Ejby-Molle-LT-532,,"","","",Ejby Mølle,2019-04-23,17,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-91,MQ201030,LIB-Ejby-Molle-LT-535,,"","","",Ejby Mølle,2019-05-03,18,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-92,MQ201030,LIB-Ejby-Molle-LT-538,,"","","",Ejby Mølle,2019-05-09,19,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-93,MQ201030,LIB-Ejby-Molle-LT-541,,"","","",Ejby Mølle,2019-05-14,20,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-94,MQ201030,LIB-Ejby-Molle-LT-544,,"","","",Ejby Mølle,2019-05-23,21,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-95,MQ201030,LIB-Ejby-Molle-LT-547,,"","","",Ejby Mølle,2019-05-29,22,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-96,MQ201030,LIB-Ejby-Molle-LT-550,,"","","",Ejby Mølle,2019-06-04,23,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-97,MQ201030,LIB-Ejby-Molle-LT-553,,"","","",Ejby Mølle,2019-06-14,24,2019,Spring,"","","","","","",,,,,,,,,
MQ201030-98,MQ201030,LIB-Ejby-Molle-LT-556,,"","","",Ejby Mølle,2019-06-18,25,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-99,MQ201030,LIB-Ejby-Molle-LT-559,,"","","",Ejby Mølle,2019-06-27,26,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-100,MQ201030,LIB-Ejby-Molle-LT-562,,"","","",Ejby Mølle,2019-07-01,27,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-101,MQ201030,LIB-Ejby-Molle-LT-565,,"","","",Ejby Mølle,2019-07-10,28,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-102,MQ201030,LIB-Ejby-Molle-LT-568,,"","","",Ejby Mølle,2019-07-19,29,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-103,MQ201030,LIB-Ejby-Molle-LT-571,,"","","",Ejby Mølle,2019-07-23,30,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-104,MQ201030,LIB-Ejby-Molle-LT-574,,"","","",Ejby Mølle,2019-08-01,31,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-105,MQ201030,LIB-Ejby-Molle-LT-577,,"","","",Ejby Mølle,2019-08-06,32,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-106,MQ201030,LIB-Ejby-Molle-LT-580,,"","","",Ejby Mølle,2019-08-15,33,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-107,MQ201030,LIB-Ejby-Molle-LT-583,,"","","",Ejby Mølle,2019-08-22,34,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-108,MQ201030,LIB-Ejby-Molle-LT-589,,"","","",Ejby Mølle,2019-08-30,35,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-109,MQ201030,LIB-Ejby-Molle-LT-592,,"","","",Ejby Mølle,2019-09-06,36,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-110,MQ201030,LIB-Ejby-Molle-LT-595,,"","","",Ejby Mølle,2019-09-13,37,2019,Summer,"","","","","","",,,,,,,,,
MQ201030-111,MQ201030,LIB-Ejby-Molle-LT-598,,"","","",Ejby Mølle,2019-09-17,38,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-112,MQ201030,LIB-Ejby-Molle-LT-601,,"","","",Ejby Mølle,2019-09-26,39,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-113,MQ201030,LIB-Ejby-Molle-LT-604,,"","","",Ejby Mølle,2019-10-04,40,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-114,MQ201030,LIB-Ejby-Molle-LT-607,,"","","",Ejby Mølle,2019-10-08,41,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-115,MQ201030,LIB-Ejby-Molle-LT-610,,"","","",Ejby Mølle,2019-10-16,42,2019,Fall,"","","","","","",,,,,,,,,
MQ201030-116,MQ201030,LIB-Ejby-Molle-LT-613,,"","","",Ejby Mølle,2019-10-24,43,2019,Fall,"","","","","","",,,,,,,,,
