Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ181123-127,MQ181123,LIB-EsbjergE-LT-121,,Esbjerg_Oest-LT-121,Fall,LT,AS,"",Esbjerg E,2016-10-12,41,2016,,Recirculation,"","","","","",,,,,,,39.06245969,11.6112088,,,"",,
MQ181123-128,MQ181123,LIB-EsbjergE-LT-124,,Esbjerg_Oest-LT-124,Fall,LT,AS,"",Esbjerg E,2016-10-25,43,2016,,Recirculation,"","","","","",,,,,,,58.7781533,10.99012579,,,"",,
MQ181123-129,MQ181123,LIB-EsbjergE-LT-127,,Esbjerg_Oest-LT-127,Fall,LT,AS,"",Esbjerg E,2016-11-09,45,2016,,Recirculation,"","","","","",,,,,,,42.49503367,11.51990622,,,"",,
MQ181123-130,MQ181123,LIB-EsbjergE-LT-130,,Esbjerg_Oest-LT-130,Fall,LT,AS,"",Esbjerg E,2016-12-06,49,2016,,Recirculation,"","","","","",,,,,,,35.65181497,9.696108932,,,"",,
MQ181123-131,MQ181123,LIB-EsbjergE-LT-133,,Esbjerg_Oest-LT-133,Fall,LT,AS,"",Esbjerg E,2016-12-13,50,2016,,Recirculation,"","","","","",,,,,,,45.65155698,5.117453447,,,"",,
MQ181123-132,MQ181123,LIB-EsbjergE-LT-136,,Esbjerg_Oest-LT-136,Winter,LT,AS,"",Esbjerg E,2016-12-20,51,2016,,Recirculation,"","","","","",,,,,,,20.4200098,8.0864782,,,"",,
MQ181123-133,MQ181123,LIB-EsbjergE-LT-139,,Esbjerg_Oest-LT-139,Winter,LT,AS,"",Esbjerg E,2017-01-03,1,2017,,Recirculation,"","","","","",,,,,,,39.5887619,11.32152036,,,"",,
MQ181123-134,MQ181123,LIB-EsbjergE-LT-142,,Esbjerg_Oest-LT-142,Winter,LT,AS,"",Esbjerg E,2017-01-18,3,2017,,Recirculation,"","","","","",,,,,,,32.93129692,9.53942919,,,"",,
MQ181123-135,MQ181123,LIB-EsbjergE-LT-145,,Esbjerg_Oest-LT-145,Winter,LT,AS,"",Esbjerg E,2017-02-07,6,2017,,Recirculation,"","","","","",,,,,,,72.06083434,2.532801299,,,"",,
MQ181123-136,MQ181123,LIB-EsbjergE-LT-148,,Esbjerg_Oest-LT-148,Winter,LT,AS,"",Esbjerg E,2017-02-15,7,2017,,Recirculation,"","","","","",,,,,,,43.15549134,3.652103341,,,"",,
MQ181123-137,MQ181123,LIB-EsbjergE-LT-151,,Esbjerg_Oest-LT-151,Winter,LT,AS,"",Esbjerg E,2017-02-28,9,2017,,Recirculation,"","","","","",,,,,,,40.94708599,6.10036521,,,"",,
MQ181123-138,MQ181123,LIB-EsbjergE-LT-154,,Esbjerg_Oest-LT-154,Spring,LT,AS,"",Esbjerg E,2017-03-30,13,2017,,Recirculation,"","","","","",,,,,,,21.42875571,4.261914424,,,"",,
MQ181123-139,MQ181123,LIB-EsbjergE-LT-157,,Esbjerg_Oest-LT-157,Spring,LT,AS,"",Esbjerg E,2017-04-05,14,2017,,Recirculation,"","","","","",,,,,,,33.62013364,2.666937193,,,"",,
MQ181123-140,MQ181123,LIB-EsbjergE-LT-160,,Esbjerg_Oest-LT-160,Spring,LT,AS,"",Esbjerg E,2017-04-18,16,2017,,Recirculation,"","","","","",,,,,,,66.4585537,3.847107624,,,"",,
MQ181123-141,MQ181123,LIB-EsbjergE-LT-163,,Esbjerg_Oest-LT-163,Spring,LT,AS,"",Esbjerg E,2017-04-25,17,2017,,Recirculation,"","","","","",,,,,,,39.05987978,4.520041481,,,"",,
MQ181123-142,MQ181123,LIB-EsbjergE-LT-166,,Esbjerg_Oest-LT-166,Spring,LT,AS,"",Esbjerg E,2017-05-10,19,2017,,Recirculation,"","","","","",,,,,,,28.94146178,3.805401506,,,"",,
MQ181123-143,MQ181123,LIB-EsbjergE-LT-169,,Esbjerg_Oest-LT-169,Spring,LT,AS,"",Esbjerg E,2017-05-30,22,2017,,Recirculation,"","","","","",,,,,,,44.30097263,3.43004644,,,"",,
MQ181123-144,MQ181123,LIB-EsbjergE-LT-172,,Esbjerg_Oest-LT-172,Spring,LT,AS,"",Esbjerg E,2017-06-13,24,2017,,Recirculation,"","","","","",,,,,,,26.74595599,2.585779341,,,"",,
MQ181123-145,MQ181123,LIB-EsbjergE-LT-175,,Esbjerg_Oest-LT-175,Summer,LT,AS,"",Esbjerg E,2017-06-20,25,2017,,Recirculation,"","","","","",,,,,,,40.65942571,8.413363993,,,"",,
MQ181123-146,MQ181123,LIB-EsbjergE-LT-178,,Esbjerg_Oest-LT-178,Summer,LT,AS,"",Esbjerg E,2017-07-04,27,2017,,Recirculation,"","","","","",,,,,,,63.17948453,6.790206953,,,"",,
MQ181123-147,MQ181123,LIB-EsbjergE-LT-181,,Esbjerg_Oest-LT-181,Summer,LT,AS,"",Esbjerg E,2017-07-18,29,2017,,Recirculation,"","","","","",,,,,,,30.37073347,2.878849362,,,"",,
MQ181123-148,MQ181123,LIB-EsbjergE-LT-184,,Esbjerg_Oest-LT-184,Summer,LT,AS,"",Esbjerg E,2017-08-01,31,2017,,Recirculation,"","","","","",,,,,,,29.82637187,3.547274449,,,"",,
MQ181123-149,MQ181123,LIB-EsbjergE-LT-187,,Esbjerg_Oest-LT-187,Summer,LT,AS,"",Esbjerg E,2017-08-16,33,2017,,Recirculation,"","","","","",,,,,,,38.27687624,5.151269219,,,"",,
MQ181123-150,MQ181123,LIB-EsbjergE-LT-190,,Esbjerg_Oest-LT-190,Summer,LT,AS,"",Esbjerg E,2017-08-29,35,2017,,Recirculation,"","","","","",,,,,,,70.23038621,4.752243113,,,"",,
MQ181123-151,MQ181123,LIB-EsbjergE-LT-193,,Esbjerg_Oest-LT-193,Fall,LT,AS,"",Esbjerg E,2017-09-27,39,2017,,Recirculation,"","","","","",,,,,,,59.01679523,6.344965959,,,"",,
MQ181123-152,MQ181123,LIB-EsbjergE-LT-196,,Esbjerg_Oest-LT-196,Fall,LT,AS,"",Esbjerg E,2017-10-03,40,2017,,Recirculation,"","","","","",,,,,,,40.21052088,4.676721223,,,"",,
MQ181123-153,MQ181123,LIB-EsbjergE-LT-199,,Esbjerg_Oest-LT-199,Fall,LT,AS,"",Esbjerg E,2017-10-11,41,2017,,Recirculation,"","","","","",,,,,,,30.40685225,10.33184544,,,"",,
MQ181123-154,MQ181123,LIB-EsbjergE-LT-202,,Esbjerg_Oest-LT-202,Fall,LT,AS,"",Esbjerg E,2017-11-28,48,2017,,Recirculation,"","","","","",,,,,,,31.1124584,7.853149376,,,"",,
MQ181123-155,MQ181123,LIB-EsbjergE-LT-205,,Esbjerg_Oest-LT-205,Fall,LT,AS,"",Esbjerg E,2017-12-05,49,2017,,Recirculation,"","","","","",,,,,,,34.84301231,3.334235087,,,"",,
MQ181123-156,MQ181123,LIB-EsbjergE-LT-208,,Esbjerg_Oest-LT-208,Fall,LT,AS,"",Esbjerg E,2017-12-13,50,2017,,Recirculation,"","","","","",,,,,,,28.57769407,5.111817485,,,"",,
MQ181123-157,MQ181123,LIB-EsbjergE-LT-235,,Esbjerg_Oest-LT-235,Winter,LT,AS,"",Esbjerg E,2018-01-03,1,2018,,Recirculation,"","","","","",,,,,,,20.01754341,5.779115379,,,"",,
MQ181123-158,MQ181123,LIB-EsbjergE-LT-237,,Esbjerg_Oest-LT-237,Winter,LT,AS,"",Esbjerg E,2018-01-18,3,2018,,Recirculation,"","","","","",,,,,,,45.47354299,5.426304162,,,"",,
MQ181123-159,MQ181123,LIB-EsbjergE-LT-239,,Esbjerg_Oest-LT-239,Winter,LT,AS,"",Esbjerg E,2018-02-07,6,2018,,Recirculation,"","","","","",,,,,,,53.90598798,2.338924208,,,"",,
