Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ181123-1,MQ181123,LIB-EsbjergW-LT-7_DinForsyning,,Esbjerg Vest-LT-7,Winter,LT,AS,"",Esbjerg W,2015-02-10,7,2015,,Recirculation,"","","","","",,,,,,,33.35456572,5.935097127,,,"",,
MQ181123-2,MQ181123,LIB-EsbjergW-LT-16_DinForsyning,,Esbjerg Vest-LT-16,Winter,LT,AS,"",Esbjerg W,2015-02-24,9,2015,,Recirculation,"","","","","",,,,,,,32.56745075,4.813334682,,,"",,
MQ181123-3,MQ181123,LIB-EsbjergW-LT-25,,Esbjerg Vest-LT-25,Winter,LT,AS,"",Esbjerg W,2015-03-10,11,2015,,Recirculation,"","","","","",,,,,,,59.35779608,2.156262647,,,"",,
MQ181123-4,MQ181123,LIB-EsbjergW-LT-34_DinForsyning,,Esbjerg Vest-LT-34,Spring,LT,AS,"",Esbjerg W,2015-03-26,13,2015,,Recirculation,"","","","","",,,,,,,44.9212885,3.947035613,,,"",,
MQ181123-5,MQ181123,LIB-EsbjergW-LT-43,,Esbjerg Vest-LT-43,Spring,LT,AS,"",Esbjerg W,2015-04-07,15,2015,,Recirculation,"","","","","",,,,,,,52.74239046,4.636280858,,,"",,
MQ181123-6,MQ181123,LIB-EsbjergW-LT-52_DinForsyning,,Esbjerg Vest-LT-52,Spring,LT,AS,"",Esbjerg W,2015-05-05,19,2015,,Recirculation,"","","","","",,,,,,,63.05223168,2.68995346,,,"",,
MQ181123-7,MQ181123,LIB-EsbjergW-LT-61,,Esbjerg Vest-LT-61,Spring,LT,AS,"",Esbjerg W,2015-05-19,21,2015,,Recirculation,"","","","","",,,,,,,34.19514082,4.328966006,,,"",,
MQ181123-8,MQ181123,LIB-EsbjergW-LT-70_DinForsyning,,Esbjerg Vest-LT-70,Spring,LT,AS,"",Esbjerg W,2015-06-02,23,2015,,Recirculation,"","","","","",,,,,,,49.49383502,3.132588021,,,"",,
MQ181123-9,MQ181123,LIB-EsbjergW-LT-79,,Esbjerg Vest-LT-79,Summer,LT,AS,"",Esbjerg W,2015-07-14,29,2015,,Recirculation,"","","","","",,,,,,,58.62869102,5.976831242,,,"",,
MQ181123-10,MQ181123,LIB-EsbjergW-LT-88_DinForsyning,,Esbjerg Vest-LT-88,Summer,LT,AS,"",Esbjerg W,2015-07-28,31,2015,,Recirculation,"","","","","",,,,,,,36.24482461,10.60678875,,,"",,
