Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ181116-127,MQ181116,LIB-Fredericia-LT-7,,Fredericia-LT-7,Spring,LT,AS,"",Fredericia,2015-04-09,15,2015,,"","","","","","",,,,,,,16.17434638,6.058296378,,,"",,
MQ181116-128,MQ181116,LIB-Fredericia-LT-13,,Fredericia-LT-13,Spring,LT,AS,"",Fredericia,2015-05-28,22,2015,,"","","","","","",,,,,,,19.06928596,2.694244272,,,"",,
MQ181116-129,MQ181116,LIB-Fredericia-LT-19,,Fredericia-LT-19,Summer,LT,AS,"",Fredericia,2015-06-25,26,2015,,"","","","","","",,,,,,,6.100438153,2.799334812,,,"",,
MQ181116-130,MQ181116,LIB-Fredericia-LT-22,,Fredericia-LT-22,Fall,LT,AS,"",Fredericia,2015-11-20,47,2015,,"","","","","","",,,,,,,45.5245799,4.330654102,,,"",,
MQ181116-126,MQ181116,LIB-Fredericia-LT-1,,Fredericia-LT-1,Winter,LT,AS,"",Fredericia,2015-02-19,8,2015,,"","","","","","",,,,,,,27.82030911,2.786631559,,,"",,
MQ181116-131,MQ181116,LIB-Fredericia-LT-24,,Fredericia-LT-24,Fall,LT,AS,"",Fredericia,2015-11-24,48,2015,,"","","","","","",,,,,,,28.91328422,4.612435329,,,"",,
MQ181116-132,MQ181116,LIB-Fredericia-LT-28,,Fredericia-LT-28,Fall,LT,AS,"",Fredericia,2015-12-01,49,2015,,"","","","","","",,,,,,,26.95122538,3.225471175,,,"",,
MQ181116-133,MQ181116,LIB-Fredericia-LT-32,,Fredericia-LT-32,Fall,LT,AS,"",Fredericia,2015-12-10,50,2015,,"","","","","","",,,,,,,30.07727864,3.138858093,,,"",,
MQ181116-134,MQ181116,LIB-Fredericia-LT-34,,Fredericia-LT-34,Winter,LT,AS,"",Fredericia,2015-12-15,51,2015,,"","","","","","",,,,,,,27.79503106,2.557973023,,,"",,
MQ181116-135,MQ181116,LIB-Fredericia-LT-40,,Fredericia-LT-40,Winter,LT,AS,"",Fredericia,2015-12-29,53,2015,,"","","","","","",,,,,,,36.40883047,1.3,,,"",,
MQ181116-138,MQ181116,LIB-Fredericia-LT-48,,Fredericia-LT-48,Winter,LT,AS,"",Fredericia,2016-01-21,3,2016,,"","","","","","",,,,,,,30.95358467,0.8,,,"",,
MQ181116-139,MQ181116,LIB-Fredericia-LT-52,,Fredericia-LT-52,Winter,LT,AS,"",Fredericia,2016-01-26,4,2016,,"","","","","","",,,,,,,23.97202562,1.54,,,"",,
MQ181116-140,MQ181116,LIB-Fredericia-LT-56,,Fredericia-LT-56,Winter,LT,AS,"",Fredericia,2016-02-02,5,2016,,"","","","","","",,,,,,,31.70951899,2.530256837,,,"",,
MQ181116-141,MQ181116,LIB-Fredericia-LT-60,,Fredericia-LT-60,Winter,LT,AS,"",Fredericia,2016-02-09,6,2016,,"","","","","","",,,,,,,40.93119553,3.352503695,,,"",,
MQ181116-142,MQ181116,LIB-Fredericia-LT-64,,Fredericia-LT-64,Winter,LT,AS,"",Fredericia,2016-02-16,7,2016,,"","","","","","",,,,,,,42.45028648,2.027900961,,,"",,
MQ181116-143,MQ181116,LIB-Fredericia-LT-66,,Fredericia-LT-66,Winter,LT,AS,"",Fredericia,2016-02-23,8,2016,,"","","","","","",,,,,,,51.08334537,2.447108278,,,"",,
