Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181116-58,MQ181116,LIB-Haderslev-LT-16,,Haderslev-LT-16,Summer,"","",Haderslev,2015-06-29,27,2015,,Alternating,EBPR,EBPR,RSS,NO,NO,55.249786,9.508609,,,,,,,
MQ181116-61,MQ181116,LIB-Haderslev-LT-25,,Haderslev-LT-25,Summer,"","",Haderslev,2015-08-11,33,2015,,Alternating,EBPR,EBPR,RSS,NO,NO,55.249786,9.508609,,,,,,,
MQ181116-62,MQ181116,LIB-Haderslev-LT-28,,Haderslev-LT-28,Summer,"","",Haderslev,2015-08-11,33,2015,,Alternating,EBPR,EBPR,RSS,NO,NO,55.249786,9.508609,,,,,,,
MQ181116-63,MQ181116,LIB-Haderslev-LT-31,,Haderslev-LT-31,Summer,"","",Haderslev,2015-08-25,35,2015,,Alternating,EBPR,EBPR,RSS,NO,NO,55.249786,9.508609,,,,,,,
MQ181116-64,MQ181116,LIB-Haderslev-LT-34,,Haderslev-LT-34,Summer,"","",Haderslev,2015-08-25,35,2015,,Alternating,EBPR,EBPR,RSS,NO,NO,55.249786,9.508609,,,,,,,
MQ181116-65,MQ181116,LIB-Haderslev-LT-37,,Haderslev-LT-37,Summer,"","",Haderslev,2015-09-07,37,2015,,Alternating,EBPR,EBPR,RSS,NO,NO,55.249786,9.508609,,,,,,,
MQ181116-66,MQ181116,LIB-Haderslev-LT-40,,Haderslev-LT-40,Summer,"","",Haderslev,2015-09-07,37,2015,,Alternating,EBPR,EBPR,RSS,NO,NO,55.249786,9.508609,,,,,,,
MQ181116-67,MQ181116,LIB-Haderslev-LT-43,,Haderslev-LT-43,Fall,"","",Haderslev,2015-09-21,39,2015,,Alternating,EBPR,EBPR,RSS,NO,NO,55.249786,9.508609,,,,,,,
MQ181116-68,MQ181116,LIB-Haderslev-LT-46,,Haderslev-LT-46,Fall,"","",Haderslev,2015-09-21,39,2015,,Alternating,EBPR,EBPR,RSS,NO,NO,55.249786,9.508609,,,,,,,
MQ181116-69,MQ181116,LIB-Haderslev-LT-49,,Haderslev-LT-49,Fall,"","",Haderslev,2015-10-06,41,2015,,Alternating,EBPR,EBPR,RSS,NO,NO,55.249786,9.508609,,,,,,,
