Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190301-125,MQ190301,LIB-Hirtshals-LT-4,38332,"",Winter,"","",Hirtshals,2015-03-07,10,2015,,"","","","","","",,,,,,,,,
MQ190301-126,MQ190301,LIB-Hirtshals-LT-7,64534,"",Spring,"","",Hirtshals,2015-03-26,13,2015,,"","","","","","",,,,,,,,,
MQ190301-127,MQ190301,LIB-Hirtshals-LT-10,49293,"",Spring,"","",Hirtshals,2015-04-15,16,2015,,"","","","","","",,,,,,,,,
MQ190301-128,MQ190301,LIB-Hirtshals-LT-13,42576,"",Spring,"","",Hirtshals,2015-05-07,19,2015,,"","","","","","",,,,,,,,,
MQ190301-129,MQ190301,LIB-Hirtshals-LT-16,51485,"",Spring,"","",Hirtshals,2015-05-27,22,2015,,"","","","","","",,,,,,,,,
MQ190301-130,MQ190301,LIB-Hirtshals-LT-22,56982,"",Spring,"","",Hirtshals,2015-06-09,24,2015,,"","","","","","",,,,,,,,,
MQ190301-131,MQ190301,LIB-Hirtshals-LT-29,39706,"",Summer,"","",Hirtshals,2015-06-25,26,2015,,"","","","","","",,,,,,,,,
MQ190301-133,MQ190301,LIB-Hirtshals-LT-40,7859,"",Summer,"","",Hirtshals,2015-08-08,32,2015,,"","","","","","",,,,,,,,,
MQ190301-134,MQ190301,LIB-Hirtshals-LT-46,36687,"",Summer,"","",Hirtshals,2015-08-19,34,2015,,"","","","","","",,,,,,,,,
MQ190301-135,MQ190301,LIB-Hirtshals-LT-52,46018,"",Fall,"","",Hirtshals,2015-09-28,40,2015,,"","","","","","",,,,,,,,,
MQ190301-136,MQ190301,LIB-Hirtshals-LT-58,37979,"",Fall,"","",Hirtshals,2015-10-07,41,2015,,"","","","","","",,,,,,,,,
MQ190301-137,MQ190301,LIB-Hirtshals-LT-64,43671,"",Fall,"","",Hirtshals,2015-10-23,43,2015,,"","","","","","",,,,,,,,,
MQ190301-138,MQ190301,LIB-Hirtshals-LT-70,57142,"",Fall,"","",Hirtshals,2015-11-06,45,2015,,"","","","","","",,,,,,,,,
MQ190301-139,MQ190301,LIB-Hirtshals-LT-76,39464,"",Fall,"","",Hirtshals,2015-11-18,47,2015,,"","","","","","",,,,,,,,,
MQ190301-140,MQ190301,LIB-Hirtshals-LT-82,91095,"",Fall,"","",Hirtshals,2015-12-08,50,2015,,"","","","","","",,,,,,,,,
MQ190301-141,MQ190301,LIB-Hirtshals-LT-88,72795,"",Winter,"","",Hirtshals,2015-12-16,51,2015,,"","","","","","",,,,,,,,,
MQ190301-142,MQ190301,LIB-Hirtshals-LT-94,58428,"",Winter,"","",Hirtshals,2016-01-14,2,2016,,"","","","","","",,,,,,,,,
MQ190301-143,MQ190301,LIB-Hirtshals-LT-100,67381,"",Winter,"","",Hirtshals,2016-02-01,5,2016,,"","","","","","",,,,,,,,,
MQ190301-144,MQ190301,LIB-Hirtshals-LT-106,52716,"",Winter,"","",Hirtshals,2016-02-16,7,2016,,"","","","","","",,,,,,,,,
MQ190301-145,MQ190301,LIB-Hirtshals-LT-112,55936,"",Winter,"","",Hirtshals,2016-02-29,9,2016,,"","","","","","",,,,,,,,,
MQ190301-146,MQ190301,LIB-Hirtshals-LT-118,73111,"",Winter,"","",Hirtshals,2016-03-11,10,2016,,"","","","","","",,,,,,,,,
MQ190301-147,MQ190301,LIB-Hirtshals-LT-124,40038,"",Spring,"","",Hirtshals,2016-03-31,13,2016,,"","","","","","",,,,,,,,,
