Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181214-51,MQ181214,LIB-Hjorring-LT-1,,"","","",Hjørring,2015-03-17,12,2015,Spring,"","","","","","",,,,,,,,,
MQ181214-52,MQ181214,LIB-Hjorring-LT-3,,"","","",Hjørring,2015-03-23,13,2015,Spring,"","","","","","",,,,,,,,,
MQ181214-53,MQ181214,LIB-Hjorring-LT-5,,"","","",Hjørring,2015-04-13,16,2015,Spring,"","","","","","",,,,,,,,,
MQ181214-54,MQ181214,LIB-Hjorring-LT-7,,"","","",Hjørring,2015-04-22,17,2015,Spring,"","","","","","",,,,,,,,,
MQ181214-56,MQ181214,LIB-Hjorring-LT-10,,"","","",Hjørring,2015-05-04,19,2015,Spring,"","","","","","",,,,,,,,,
MQ181214-55,MQ181214,LIB-Hjorring-LT-9,,"","","",Hjørring,2015-06-23,26,2015,Summer,"","","","","","",,,,,,,,,
MQ181214-57,MQ181214,LIB-Hjorring-LT-13,,"","","",Hjørring,2015-08-19,34,2015,Summer,"","","","","","",,,,,,,,,
MQ181214-58,MQ181214,LIB-Hjorring-LT-15,,"","","",Hjørring,2015-08-25,35,2015,Summer,"","","","","","",,,,,,,,,
MQ181214-59,MQ181214,LIB-Hjorring-LT-17,,"","","",Hjørring,2015-09-17,38,2015,Fall,"","","","","","",,,,,,,,,
MQ181214-60,MQ181214,LIB-Hjorring-LT-19,,"","","",Hjørring,2015-09-30,40,2015,Fall,"","","","","","",,,,,,,,,
MQ181214-61,MQ181214,LIB-Hjorring-LT-21,,"","","",Hjørring,2015-10-08,41,2015,Fall,"","","","","","",,,,,,,,,
MQ181214-62,MQ181214,LIB-Hjorring-LT-25,,"","","",Hjørring,2015-11-25,48,2015,Fall,"","","","","","",,,,,,,,,
MQ181214-63,MQ181214,LIB-Hjorring-LT-27,,"","","",Hjørring,2015-12-04,49,2015,Fall,"","","","","","",,,,,,,,,
MQ181214-64,MQ181214,LIB-Hjorring-LT-28,,"","","",Hjørring,2015-12-16,51,2015,Winter,"","","","","","",,,,,,,,,
MQ181214-65,MQ181214,LIB-Hjorring-LT-29,,"","","",Hjørring,2015-12-23,52,2015,Winter,"","","","","","",,,,,,,,,
MQ181214-67,MQ181214,LIB-Hjorring-LT-31,,"","","",Hjørring,2016-01-19,3,2016,Winter,"","","","","","",,,,,,,,,
MQ181214-68,MQ181214,LIB-Hjorring-LT-32,,"","","",Hjørring,2016-01-26,4,2016,Winter,"","","","","","",,,,,,,,,
MQ181214-69,MQ181214,LIB-Hjorring-LT-33,,"","","",Hjørring,2016-02-04,5,2016,Winter,"","","","","","",,,,,,,,,
MQ181214-70,MQ181214,LIB-Hjorring-LT-34,,"","","",Hjørring,2016-02-09,6,2016,Winter,"","","","","","",,,,,,,,,
MQ181214-71,MQ181214,LIB-Hjorring-LT-35,,"","","",Hjørring,2016-02-15,7,2016,Winter,"","","","","","",,,,,,,,,
MQ181214-72,MQ181214,LIB-Hjorring-LT-36,,"","","",Hjørring,2016-02-23,8,2016,Winter,"","","","","","",,,,,,,,,
MQ181214-74,MQ181214,LIB-Hjorring-LT-38,,"","","",Hjørring,2016-04-13,15,2016,Spring,"","","","","","",,,,,,,,,
MQ181214-75,MQ181214,LIB-Hjorring-LT-39,,"","","",Hjørring,2016-04-21,16,2016,Spring,"","","","","","",,,,,,,,,
MQ181214-76,MQ181214,LIB-Hjorring-LT-40,,"","","",Hjørring,2016-04-26,17,2016,Spring,"","","","","","",,,,,,,,,
MQ181214-77,MQ181214,LIB-Hjorring-LT-41,,"","","",Hjørring,2016-05-09,19,2016,Spring,"","","","","","",,,,,,,,,
MQ181214-78,MQ181214,LIB-Hjorring-LT-42,,"","","",Hjørring,2016-05-18,20,2016,Spring,"","","","","","",,,,,,,,,
MQ181214-79,MQ181214,LIB-Hjorring-LT-43,,"","","",Hjørring,2016-05-23,21,2016,Spring,"","","","","","",,,,,,,,,
MQ181214-80,MQ181214,LIB-Hjorring-LT-44,,"","","",Hjørring,2016-05-30,22,2016,Spring,"","","","","","",,,,,,,,,
MQ181214-81,MQ181214,LIB-Hjorring-LT-45,,"","","",Hjørring,2016-06-06,23,2016,Spring,"","","","","","",,,,,,,,,
MQ181214-82,MQ181214,LIB-Hjorring-LT-46,,"","","",Hjørring,2016-06-13,24,2016,Spring,"","","","","","",,,,,,,,,
MQ181214-83,MQ181214,LIB-Hjorring-LT-47,,"","","",Hjørring,2016-06-20,25,2016,Summer,"","","","","","",,,,,,,,,
MQ181214-84,MQ181214,LIB-Hjorring-LT-48,,"","","",Hjørring,2016-06-28,26,2016,Summer,"","","","","","",,,,,,,,,
MQ181214-85,MQ181214,LIB-Hjorring-LT-49,,"","","",Hjørring,2016-07-04,27,2016,Summer,"","","","","","",,,,,,,,,
MQ181214-86,MQ181214,LIB-Hjorring-LT-50,,"","","",Hjørring,2016-07-11,28,2016,Summer,"","","","","","",,,,,,,,,
MQ181214-87,MQ181214,LIB-Hjorring-LT-53,,"","","",Hjørring,2016-07-18,29,2016,Summer,"","","","","","",,,,,,,,,
MQ181214-88,MQ181214,LIB-Hjorring-LT-56,,"","","",Hjørring,2016-08-16,33,2016,Summer,"","","","","","",,,,,,,,,
MQ181214-89,MQ181214,LIB-Hjorring-LT-59,,"","","",Hjørring,2016-08-22,34,2016,Summer,"","","","","","",,,,,,,,,
MQ181214-90,MQ181214,LIB-Hjorring-LT-62,,"","","",Hjørring,2016-08-30,35,2016,Summer,"","","","","","",,,,,,,,,
MQ181214-91,MQ181214,LIB-Hjorring-LT-65,,"","","",Hjørring,2016-09-05,36,2016,Summer,"","","","","","",,,,,,,,,
MQ181214-92,MQ181214,LIB-Hjorring-LT-68,,"","","",Hjørring,2016-09-13,37,2016,Summer,"","","","","","",,,,,,,,,
MQ181214-93,MQ181214,LIB-Hjorring-LT-145,,"","","",Hjørring,2016-09-19,38,2016,Fall,"","","","","","",,,,,,,,,
MQ181214-94,MQ181214,LIB-Hjorring-LT-148,,"","","",Hjørring,2016-09-26,39,2016,Fall,"","","","","","",,,,,,,,,
MQ181214-95,MQ181214,LIB-Hjorring-LT-151,,"","","",Hjørring,2016-10-03,40,2016,Fall,"","","","","","",,,,,,,,,
MQ181214-96,MQ181214,LIB-Hjorring-LT-154,,"","","",Hjørring,2016-10-11,41,2016,Fall,"","","","","","",,,,,,,,,
MQ181214-97,MQ181214,LIB-Hjorring-LT-157,,"","","",Hjørring,2016-10-26,43,2016,Fall,"","","","","","",,,,,,,,,
MQ181214-98,MQ181214,LIB-Hjorring-LT-160,,"","","",Hjørring,2016-11-11,45,2016,Fall,"","","","","","",,,,,,,,,
MQ181214-99,MQ181214,LIB-Hjorring-LT-163,,"","","",Hjørring,2016-11-14,46,2016,Fall,"","","","","","",,,,,,,,,
MQ181214-100,MQ181214,LIB-Hjorring-LT-166,,"","","",Hjørring,2016-11-22,47,2016,Fall,"","","","","","",,,,,,,,,
