Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181116-98,MQ181116,LIB-Kalundborg-LT-1,,Kalundborg-LT-1,Winter,"","",Kalundborg,2018-02-26,9,2018,,"","","","","","",,,,,,,,,
MQ181116-99,MQ181116,LIB-Kalundborg-LT-3,,Kalundborg-LT-3,Winter,"","",Kalundborg,2018-03-06,10,2018,,"","","","","","",,,,,,,,,
MQ181116-100,MQ181116,LIB-Kalundborg-LT-5,,Kalundborg-LT-5,Winter,"","",Kalundborg,2018-03-12,11,2018,,"","","","","","",,,,,,,,,
MQ181116-101,MQ181116,LIB-Kalundborg-LT-7,,Kalundborg-LT-7,Spring,"","",Kalundborg,2018-03-22,12,2018,,"","","","","","",,,,,,,,,
MQ181116-102,MQ181116,LIB-Kalundborg-LT-9,,Kalundborg-LT-9,Spring,"","",Kalundborg,2018-04-05,14,2018,,"","","","","","",,,,,,,,,
MQ181116-103,MQ181116,LIB-Kalundborg-LT-11,,Kalundborg-LT-11,Spring,"","",Kalundborg,2018-04-09,15,2018,,"","","","","","",,,,,,,,,
MQ181116-104,MQ181116,LIB-Kalundborg-LT-13,,Kalundborg-LT-13,Spring,"","",Kalundborg,2018-04-16,16,2018,,"","","","","","",,,,,,,,,
MQ181116-105,MQ181116,LIB-Kalundborg-LT-15,,Kalundborg-LT-15,Spring,"","",Kalundborg,2018-04-24,17,2018,,"","","","","","",,,,,,,,,
MQ181116-106,MQ181116,LIB-Kalundborg-LT-17,,Kalundborg-LT-17,Spring,"","",Kalundborg,2018-04-30,18,2018,,"","","","","","",,,,,,,,,
MQ181116-107,MQ181116,LIB-Kalundborg-LT-19,,Kalundborg-LT-19,Spring,"","",Kalundborg,2018-05-07,19,2018,,"","","","","","",,,,,,,,,
MQ181116-108,MQ181116,LIB-Kalundborg-LT-21,,Kalundborg-LT-21,Spring,"","",Kalundborg,2018-05-14,20,2018,,"","","","","","",,,,,,,,,
MQ181116-109,MQ181116,LIB-Kalundborg-LT-23,,Kalundborg-LT-23,Spring,"","",Kalundborg,2018-05-23,21,2018,,"","","","","","",,,,,,,,,
MQ181116-110,MQ181116,LIB-Kalundborg-LT-25,,Kalundborg-LT-25,Spring,"","",Kalundborg,2018-05-28,22,2018,,"","","","","","",,,,,,,,,
MQ181116-111,MQ181116,LIB-Kalundborg-LT-27,,Kalundborg-LT-27,Spring,"","",Kalundborg,2018-06-07,23,2018,,"","","","","","",,,,,,,,,
MQ181116-112,MQ181116,LIB-Kalundborg-LT-29,,Kalundborg-LT-29,Spring,"","",Kalundborg,2018-06-12,24,2018,,"","","","","","",,,,,,,,,
MQ181116-113,MQ181116,LIB-Kalundborg-LT-31,,Kalundborg-LT-31,Summer,"","",Kalundborg,2018-07-02,27,2018,,"","","","","","",,,,,,,,,
MQ181116-114,MQ181116,LIB-Kalundborg-LT-33,,Kalundborg-LT-33,Summer,"","",Kalundborg,2018-07-09,28,2018,,"","","","","","",,,,,,,,,
