Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ210618-86,MQ210618,LIB-Lynetten-LT-82,,"","","",Lynetten,2020-09-02,36,2020,Summer,"","","","","","",,,,,,,,,
MQ210618-87,MQ210618,LIB-Lynetten-LT-84,,"","","",Lynetten,2020-09-16,38,2020,Fall,"","","","","","",,,,,,,,,
MQ210618-88,MQ210618,LIB-Lynetten-LT-86,,"","","",Lynetten,2020-10-08,41,2020,Fall,"","","","","","",,,,,,,,,
MQ210618-89,MQ210618,LIB-Lynetten-LT-88,,"","","",Lynetten,2020-11-04,45,2020,Fall,"","","","","","",,,,,,,,,
MQ210618-90,MQ210618,LIB-Lynetten-LT-90,,"","","",Lynetten,2020-11-24,48,2020,Fall,"","","","","","",,,,,,,,,
MQ210618-91,MQ210618,LIB-Lynetten-LT-92,,"","","",Lynetten,2020-12-08,50,2020,Fall,"","","","","","",,,,,,,,,
MQ210618-92,MQ210618,LIB-Lynetten-LT-94,,"","","",Lynetten,2021-01-07,1,2021,Winter,"","","","","","",,,,,,,,,
MQ210618-93,MQ210618,LIB-Lynetten-LT-96,,"","","",Lynetten,2021-01-25,4,2021,Winter,"","","","","","",,,,,,,,,
MQ210618-94,MQ210618,LIB-Lynetten-LT-98,,"","","",Lynetten,2021-02-02,5,2021,Winter,"","","","","","",,,,,,,,,
MQ210618-95,MQ210618,LIB-Lynetten-LT-100,,"","","",Lynetten,2021-02-16,7,2021,Winter,"","","","","","",,,,,,,,,
MQ210618-96,MQ210618,LIB-Lynetten-LT-102,,"","","",Lynetten,2021-03-02,9,2021,Winter,"","","","","","",,,,,,,,,
MQ210618-97,MQ210618,LIB-Lynetten-LT-104,,"","","",Lynetten,2021-03-16,11,2021,Spring,"","","","","","",,,,,,,,,
MQ181023-129,MQ181023,LIB-BB-LYNETTEN-20171020,,LYNETTEN-20171020,"","",Lynetten,2017-10-20,42,2017,Fall,"","","","","","",,,,,,,17.78036778,6.146039982,
MQ181023-130,MQ181023,LIB-BB-LYNETTEN-20171109,,LYNETTEN-20171109,"","",Lynetten,2017-11-09,45,2017,Fall,"","","","","","",,,,,,,16.66019166,7.959458772,
MQ181023-131,MQ181023,LIB-BB-LYNETTEN-20171130,,LYNETTEN-20171130,"","",Lynetten,2017-11-30,48,2017,Fall,"","","","","","",,,,,,,22.60813261,9.059463859,
MQ181023-132,MQ181023,LIB-BB-LYNETTEN-20171208,,LYNETTEN-20171208,"","",Lynetten,2017-12-08,49,2017,Fall,"","","","","","",,,,,,,20.15281015,11.1831731,
MQ181023-133,MQ181023,LIB-BB-LYNETTEN-20171221,,LYNETTEN-20171221,"","",Lynetten,2017-12-21,51,2017,Winter,"","","","","","",,,,,,,19.02356902,8.262119131,
MQ181023-135,MQ181023,LIB-BB-LYNETTEN-20180124,,LYNETTEN-20180124,"","",Lynetten,2018-01-24,4,2018,Winter,"","","","","","",,,,,,,35.82491582,0.389134747,
MQ181023-136,MQ181023,LIB-BB-LYNETTEN-20180208,,LYNETTEN-20180208,"","",Lynetten,2018-02-08,6,2018,Winter,"","","","","","",,,,,,,33.64154364,3.766722621,
MQ181023-137,MQ181023,LIB-BB-LYNETTEN-20180223,,LYNETTEN-20180223,"","",Lynetten,2018-02-23,8,2018,Winter,"","","","","","",,,,,,,36.13312613,7.533445241,
MQ181023-138,MQ181023,LIB-BB-LYNETTEN-20180226,,LYNETTEN-20180226,"","",Lynetten,2018-02-26,9,2018,Winter,"","","","","","",,,,,,,31.44781145,13.93890839,
MQ181023-139,MQ181023,LIB-BB-LYNETTEN-20180309,,LYNETTEN-20180309,"","",Lynetten,2018-03-09,10,2018,Winter,"","","","","","",,,,,,,37.66770267,14.64977873,
MQ181023-140,MQ181023,LIB-BB-LYNETTEN-20180318,,LYNETTEN-20180318,"","",Lynetten,2018-03-18,11,2018,Spring,"","","","","","",,,,,,,27.67029267,10.90085966,
MQ181023-141,MQ181023,LIB-BB-LYNETTEN-20180323,,LYNETTEN-20180323,"","",Lynetten,2018-03-23,12,2018,Spring,"","","","","","",,,,,,,33.08469308,9.972531665,
MQ181023-142,MQ181023,LIB-BB-LYNETTEN-20180416,,LYNETTEN-20180416,"","",Lynetten,2018-04-16,16,2018,Spring,"","","","","","",,,,,,,27.28826729,9.119232921,
MQ181023-143,MQ181023,LIB-BB-LYNETTEN-20180430,,LYNETTEN-20180430,"","",Lynetten,2018-04-30,18,2018,Spring,"","","","","","",,,,,,,20.64361564,7.017142276,
MQ181023-144,MQ181023,LIB-BB-LYNETTEN-20180529,,LYNETTEN-20180529,"","",Lynetten,2018-05-29,22,2018,Spring,"","","","","","",,,,,,,20.15281015,4.859097614,
MQ181023-145,MQ181023,LIB-BB-LYNETTEN-20180606,,LYNETTEN-20180606,"","",Lynetten,2018-06-06,23,2018,Spring,"","","","","","",,,,,,,17.29344729,6.691591637,
