Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181214-141,MQ181214,LIB-Mariagerfjord-LT-74,,"",Spring,"","",Mariagerfjord,2015-06-10,24,2015,,"","","","","","",,,,,,,,,
MQ181214-142,MQ181214,LIB-Mariagerfjord-LT-80,,"",Summer,"","",Mariagerfjord,2015-08-31,36,2015,,"","","","","","",,,,,,,,,
MQ181214-143,MQ181214,LIB-Mariagerfjord-LT-83,,"",Summer,"","",Mariagerfjord,2015-09-01,36,2015,,"","","","","","",,,,,,,,,
MQ181214-144,MQ181214,LIB-Mariagerfjord-LT-89,,"",Winter,"","",Mariagerfjord,2016-02-11,6,2016,,"","","","","","",,,,,,,,,
MQ181214-145,MQ181214,LIB-Mariagerfjord-LT-95,,"",Spring,"","",Mariagerfjord,2016-04-11,15,2016,,"","","","","","",,,,,,,,,
MQ181214-146,MQ181214,LIB-Mariagerfjord-LT-101,,"",Spring,"","",Mariagerfjord,2016-05-10,19,2016,,"","","","","","",,,,,,,,,
MQ181214-147,MQ181214,LIB-Mariagerfjord-LT-104,,"",Summer,"","",Mariagerfjord,2016-06-30,26,2016,,"","","","","","",,,,,,,,,
MQ181214-148,MQ181214,LIB-Mariagerfjord-LT-110,,"",Summer,"","",Mariagerfjord,2016-09-05,36,2016,,"","","","","","",,,,,,,,,
MQ181214-149,MQ181214,LIB-Mariagerfjord-LT-116,,"",Fall,"","",Mariagerfjord,2016-10-26,43,2016,,"","","","","","",,,,,,,,,
MQ181214-150,MQ181214,LIB-Mariagerfjord-LT-122,,"",Fall,"","",Mariagerfjord,2016-12-08,49,2016,,"","","","","","",,,,,,,,,
MQ181214-151,MQ181214,LIB-Mariagerfjord-LT-128,,"",Winter,"","",Mariagerfjord,2016-12-20,51,2016,,"","","","","","",,,,,,,,,
MQ181214-152,MQ181214,LIB-Mariagerfjord-LT-134,,"",Winter,"","",Mariagerfjord,2017-01-19,3,2017,,"","","","","","",,,,,,,,,
MQ181214-153,MQ181214,LIB-Mariagerfjord-LT-140,,"",Winter,"","",Mariagerfjord,2017-01-25,4,2017,,"","","","","","",,,,,,,,,
MQ181214-154,MQ181214,LIB-Mariagerfjord-LT-146,,"",Winter,"","",Mariagerfjord,2017-02-03,5,2017,,"","","","","","",,,,,,,,,
MQ181214-155,MQ181214,LIB-Mariagerfjord-LT-152,,"",Winter,"","",Mariagerfjord,2017-02-27,9,2017,,"","","","","","",,,,,,,,,
MQ181214-156,MQ181214,LIB-Mariagerfjord-LT-158,,"",Spring,"","",Mariagerfjord,2017-03-15,11,2017,,"","","","","","",,,,,,,,,
MQ181214-157,MQ181214,LIB-Mariagerfjord-LT-164,,"",Spring,"","",Mariagerfjord,2017-03-29,13,2017,,"","","","","","",,,,,,,,,
MQ181214-158,MQ181214,LIB-Mariagerfjord-LT-170,,"",Spring,"","",Mariagerfjord,2017-04-25,17,2017,,"","","","","","",,,,,,,,,
MQ181214-159,MQ181214,LIB-Mariagerfjord-LT-176,,"",Spring,"","",Mariagerfjord,2017-05-23,21,2017,,"","","","","","",,,,,,,,,
MQ181214-160,MQ181214,LIB-Mariagerfjord-LT-182,,"",Summer,"","",Mariagerfjord,2017-06-21,25,2017,,"","","","","","",,,,,,,,,
MQ181214-161,MQ181214,LIB-Mariagerfjord-LT-188,,"",Summer,"","",Mariagerfjord,2017-08-14,33,2017,,"","","","","","",,,,,,,,,
MQ181214-162,MQ181214,LIB-Mariagerfjord-LT-194,,"",Summer,"","",Mariagerfjord,2017-09-04,36,2017,,"","","","","","",,,,,,,,,
MQ181214-163,MQ181214,LIB-Mariagerfjord-LT-200,,"",Fall,"","",Mariagerfjord,2017-10-18,42,2017,,"","","","","","",,,,,,,,,
MQ181214-164,MQ181214,LIB-Mariagerfjord-LT-206,,"",Fall,"","",Mariagerfjord,2017-11-10,45,2017,,"","","","","","",,,,,,,,,
MQ181214-165,MQ181214,LIB-Mariagerfjord-LT-212,,"",Winter,"","",Mariagerfjord,2017-12-28,52,2017,,"","","","","","",,,,,,,,,
MQ181214-166,MQ181214,LIB-Mariagerfjord-LT-218,,"",Winter,"","",Mariagerfjord,2018-01-16,3,2018,,"","","","","","",,,,,,,,,
MQ181214-167,MQ181214,LIB-Mariagerfjord-LT-224,,"",Winter,"","",Mariagerfjord,2018-02-09,6,2018,,"","","","","","",,,,,,,,,
MQ181214-168,MQ181214,LIB-Mariagerfjord-LT-230,,"",Winter,"","",Mariagerfjord,2018-02-26,9,2018,,"","","","","","",,,,,,,,,
MQ181214-169,MQ181214,LIB-Mariagerfjord-LT-236,,"",Winter,"","",Mariagerfjord,2018-03-13,11,2018,,"","","","","","",,,,,,,,,
MQ181214-170,MQ181214,LIB-Mariagerfjord-LT-242,,"",Spring,"","",Mariagerfjord,2018-03-23,12,2018,,"","","","","","",,,,,,,,,
MQ181214-171,MQ181214,LIB-Mariagerfjord-LT-245,,"",Spring,"","",Mariagerfjord,2018-04-05,14,2018,,"","","","","","",,,,,,,,,
MQ181214-172,MQ181214,LIB-Mariagerfjord-LT-250,,"",Spring,"","",Mariagerfjord,2018-04-10,15,2018,,"","","","","","",,,,,,,,,
MQ181214-173,MQ181214,LIB-Mariagerfjord-LT-254,,"",Spring,"","",Mariagerfjord,2018-04-20,16,2018,,"","","","","","",,,,,,,,,
MQ181214-174,MQ181214,LIB-Mariagerfjord-LT-257,,"",Spring,"","",Mariagerfjord,2018-04-26,17,2018,,"","","","","","",,,,,,,,,
MQ181214-175,MQ181214,LIB-Mariagerfjord-LT-262,,"",Spring,"","",Mariagerfjord,2018-05-08,19,2018,,"","","","","","",,,,,,,,,
MQ181214-176,MQ181214,LIB-Mariagerfjord-LT-266,,"",Spring,"","",Mariagerfjord,2018-05-15,20,2018,,"","","","","","",,,,,,,,,
MQ181214-177,MQ181214,LIB-Mariagerfjord-LT-269,,"",Spring,"","",Mariagerfjord,2018-05-24,21,2018,,"","","","","","",,,,,,,,,
MQ181214-178,MQ181214,LIB-Mariagerfjord-LT-273,,"",Spring,"","",Mariagerfjord,2018-05-30,22,2018,,"","","","","","",,,,,,,,,
MQ181214-179,MQ181214,LIB-Mariagerfjord-LT-277,,"",Summer,"","",Mariagerfjord,2018-06-21,25,2018,,"","","","","","",,,,,,,,,
MQ181214-180,MQ181214,LIB-Mariagerfjord-LT-281,,"",Summer,"","",Mariagerfjord,2018-06-25,26,2018,,"","","","","","",,,,,,,,,
MQ181214-181,MQ181214,LIB-Mariagerfjord-LT-285,,"",Summer,"","",Mariagerfjord,2018-07-09,28,2018,,"","","","","","",,,,,,,,,
MQ181214-182,MQ181214,LIB-Mariagerfjord-LT-289,,"",Summer,"","",Mariagerfjord,2018-07-17,29,2018,,"","","","","","",,,,,,,,,
MQ181214-183,MQ181214,LIB-Mariagerfjord-LT-293,,"",Summer,"","",Mariagerfjord,2018-08-13,33,2018,,"","","","","","",,,,,,,,,
MQ181214-184,MQ181214,LIB-Mariagerfjord-LT-297,,"",Summer,"","",Mariagerfjord,2018-08-23,34,2018,,"","","","","","",,,,,,,,,
MQ181214-185,MQ181214,LIB-Mariagerfjord-LT-301,,"",Summer,"","",Mariagerfjord,2018-08-28,35,2018,,"","","","","","",,,,,,,,,
MQ181214-186,MQ181214,LIB-Mariagerfjord-LT-305,,"",Summer,"","",Mariagerfjord,2018-09-11,37,2018,,"","","","","","",,,,,,,,,
MQ181214-187,MQ181214,LIB-Mariagerfjord-LT-309,,"",Fall,"","",Mariagerfjord,2018-09-26,39,2018,,"","","","","","",,,,,,,,,
MQ181214-188,MQ181214,LIB-Mariagerfjord-LT-313,,"",Fall,"","",Mariagerfjord,2018-10-03,40,2018,,"","","","","","",,,,,,,,,
MQ181214-189,MQ181214,LIB-Mariagerfjord-LT-317,,"",Fall,"","",Mariagerfjord,2018-10-10,41,2018,,"","","","","","",,,,,,,,,
MQ181214-190,MQ181214,LIB-Mariagerfjord-LT-321,,"",Fall,"","",Mariagerfjord,2018-10-24,43,2018,,"","","","","","",,,,,,,,,
MQ181214-191,MQ181214,LIB-Mariagerfjord-LT-325,,"",Fall,"","",Mariagerfjord,2018-10-30,44,2018,,"","","","","","",,,,,,,,,
MQ210219-189,MQ210219,LIB-Mariagerfjord-LT-329,,"",Fall,"","",Mariagerfjord,2018-11-12,46,2018,,"","","","","","",,,,,,,,,
MQ210219-190,MQ210219,LIB-Mariagerfjord-LT-333,,"",Fall,"","",Mariagerfjord,2018-11-21,47,2018,,"","","","","","",,,,,,,,,
MQ210219-191,MQ210219,LIB-Mariagerfjord-LT-337,,"",Fall,"","",Mariagerfjord,2018-11-27,48,2018,,"","","","","","",,,,,,,,,
MQ210219-192,MQ210219,LIB-Mariagerfjord-LT-341,,"",Fall,"","",Mariagerfjord,2018-12-05,49,2018,,"","","","","","",,,,,,,,,
MQ210219-193,MQ210219,LIB-Mariagerfjord-LT-345,,"",Fall,"","",Mariagerfjord,2018-12-11,50,2018,,"","","","","","",,,,,,,,,
MQ210219-194,MQ210219,LIB-Mariagerfjord-LT-349,,"",Winter,"","",Mariagerfjord,2018-12-19,51,2018,,"","","","","","",,,,,,,,,
MQ210219-195,MQ210219,LIB-Mariagerfjord-LT-353,,"",Winter,"","",Mariagerfjord,2019-01-03,1,2019,,"","","","","","",,,,,,,,,
MQ210219-196,MQ210219,LIB-Mariagerfjord-LT-357,,"",Winter,"","",Mariagerfjord,2019-01-11,2,2019,,"","","","","","",,,,,,,,,
MQ210219-197,MQ210219,LIB-Mariagerfjord-LT-361,,"",Winter,"","",Mariagerfjord,2019-01-16,3,2019,,"","","","","","",,,,,,,,,
MQ210219-198,MQ210219,LIB-Mariagerfjord-LT-365,,"",Winter,"","",Mariagerfjord,2019-01-24,4,2019,,"","","","","","",,,,,,,,,
MQ210219-199,MQ210219,LIB-Mariagerfjord-LT-369,,"",Winter,"","",Mariagerfjord,2019-01-30,5,2019,,"","","","","","",,,,,,,,,
MQ210219-200,MQ210219,LIB-Mariagerfjord-LT-373,,"",Winter,"","",Mariagerfjord,2019-02-18,8,2019,,"","","","","","",,,,,,,,,
MQ210219-201,MQ210219,LIB-Mariagerfjord-LT-377,,"",Winter,"","",Mariagerfjord,2019-02-26,9,2019,,"","","","","","",,,,,,,,,
MQ210219-202,MQ210219,LIB-Mariagerfjord-LT-381,,"",Winter,"","",Mariagerfjord,2019-03-06,10,2019,,"","","","","","",,,,,,,,,
MQ210219-203,MQ210219,LIB-Mariagerfjord-LT-385,,"",Winter,"","",Mariagerfjord,2019-03-11,11,2019,,"","","","","","",,,,,,,,,
MQ210219-204,MQ210219,LIB-Mariagerfjord-LT-389,,"",Spring,"","",Mariagerfjord,2019-03-21,12,2019,,"","","","","","",,,,,,,,,
MQ210219-205,MQ210219,LIB-Mariagerfjord-LT-393,,"",Spring,"","",Mariagerfjord,2019-04-02,14,2019,,"","","","","","",,,,,,,,,
MQ210219-206,MQ210219,LIB-Mariagerfjord-LT-397,,"",Spring,"","",Mariagerfjord,2019-04-10,15,2019,,"","","","","","",,,,,,,,,
MQ210219-207,MQ210219,LIB-Mariagerfjord-LT-401,,"",Spring,"","",Mariagerfjord,2019-04-23,17,2019,,"","","","","","",,,,,,,,,
MQ210219-208,MQ210219,LIB-Mariagerfjord-LT-405,,"",Spring,"","",Mariagerfjord,2019-04-29,18,2019,,"","","","","","",,,,,,,,,
MQ210219-209,MQ210219,LIB-Mariagerfjord-LT-409,,"",Spring,"","",Mariagerfjord,2019-05-10,19,2019,,"","","","","","",,,,,,,,,
MQ210219-210,MQ210219,LIB-Mariagerfjord-LT-413,,"",Spring,"","",Mariagerfjord,2019-05-13,20,2019,,"","","","","","",,,,,,,,,
MQ210219-211,MQ210219,LIB-Mariagerfjord-LT-417,,"",Spring,"","",Mariagerfjord,2019-05-21,21,2019,,"","","","","","",,,,,,,,,
MQ210219-212,MQ210219,LIB-Mariagerfjord-LT-421,,"",Spring,"","",Mariagerfjord,2019-05-28,22,2019,,"","","","","","",,,,,,,,,
MQ210219-213,MQ210219,LIB-Mariagerfjord-LT-425,,"",Spring,"","",Mariagerfjord,2019-06-04,23,2019,,"","","","","","",,,,,,,,,
MQ210219-214,MQ210219,LIB-Mariagerfjord-LT-429,,"",Spring,"","",Mariagerfjord,2019-06-12,24,2019,,"","","","","","",,,,,,,,,
MQ210219-215,MQ210219,LIB-Mariagerfjord-LT-433,,"",Summer,"","",Mariagerfjord,2019-06-18,25,2019,,"","","","","","",,,,,,,,,
MQ210219-216,MQ210219,LIB-Mariagerfjord-LT-437,,"",Summer,"","",Mariagerfjord,2019-06-24,26,2019,,"","","","","","",,,,,,,,,
MQ210219-217,MQ210219,LIB-Mariagerfjord-LT-441,,"",Summer,"","",Mariagerfjord,2019-07-02,27,2019,,"","","","","","",,,,,,,,,
MQ210219-218,MQ210219,LIB-Mariagerfjord-LT-445,,"",Summer,"","",Mariagerfjord,2019-07-10,28,2019,,"","","","","","",,,,,,,,,
MQ210219-219,MQ210219,LIB-Mariagerfjord-LT-449,,"",Summer,"","",Mariagerfjord,2019-08-05,32,2019,,"","","","","","",,,,,,,,,
MQ210219-220,MQ210219,LIB-Mariagerfjord-LT-453,,"",Summer,"","",Mariagerfjord,2019-08-13,33,2019,,"","","","","","",,,,,,,,,
MQ210219-221,MQ210219,LIB-Mariagerfjord-LT-457,,"",Summer,"","",Mariagerfjord,2019-08-20,34,2019,,"","","","","","",,,,,,,,,
MQ210219-222,MQ210219,LIB-Mariagerfjord-LT-461,,"",Summer,"","",Mariagerfjord,2019-08-26,35,2019,,"","","","","","",,,,,,,,,
MQ210219-223,MQ210219,LIB-Mariagerfjord-LT-465,,"",Summer,"","",Mariagerfjord,2019-09-02,36,2019,,"","","","","","",,,,,,,,,
MQ210219-224,MQ210219,LIB-Mariagerfjord-LT-469,,"",Summer,"","",Mariagerfjord,2019-09-09,37,2019,,"","","","","","",,,,,,,,,
MQ210219-225,MQ210219,LIB-Mariagerfjord-LT-473,,"",Fall,"","",Mariagerfjord,2019-09-16,38,2019,,"","","","","","",,,,,,,,,
MQ210219-226,MQ210219,LIB-Mariagerfjord-LT-477,,"",Fall,"","",Mariagerfjord,2019-09-23,39,2019,,"","","","","","",,,,,,,,,
MQ210219-227,MQ210219,LIB-Mariagerfjord-LT-481,,"",Fall,"","",Mariagerfjord,2019-09-30,40,2019,,"","","","","","",,,,,,,,,
MQ210219-228,MQ210219,LIB-Mariagerfjord-LT-485,,"",Fall,"","",Mariagerfjord,2019-10-10,41,2019,,"","","","","","",,,,,,,,,
MQ210219-229,MQ210219,LIB-Mariagerfjord-LT-489,,"",Fall,"","",Mariagerfjord,2019-10-21,43,2019,,"","","","","","",,,,,,,,,
MQ210219-230,MQ210219,LIB-Mariagerfjord-LT-493,,"",Fall,"","",Mariagerfjord,2019-10-31,44,2019,,"","","","","","",,,,,,,,,
MQ210219-232,MQ210219,LIB-Mariagerfjord-LT-497,,"",Fall,"","",Mariagerfjord,2019-11-05,45,2019,,"","","","","","",,,,,,,,,
MQ210219-233,MQ210219,LIB-Mariagerfjord-LT-501,,"",Fall,"","",Mariagerfjord,2019-11-12,46,2019,,"","","","","","",,,,,,,,,
MQ210219-234,MQ210219,LIB-Mariagerfjord-LT-505,,"",Fall,"","",Mariagerfjord,2019-11-18,47,2019,,"","","","","","",,,,,,,,,
MQ210219-235,MQ210219,LIB-Mariagerfjord-LT-509,,"",Fall,"","",Mariagerfjord,2019-11-27,48,2019,,"","","","","","",,,,,,,,,
MQ210219-236,MQ210219,LIB-Mariagerfjord-LT-513,,"",Fall,"","",Mariagerfjord,2019-12-02,49,2019,,"","","","","","",,,,,,,,,
MQ210219-237,MQ210219,LIB-Mariagerfjord-LT-517,,"",Fall,"","",Mariagerfjord,2019-12-09,50,2019,,"","","","","","",,,,,,,,,
MQ210219-238,MQ210219,LIB-Mariagerfjord-LT-521,,"",Winter,"","",Mariagerfjord,2019-12-16,51,2019,,"","","","","","",,,,,,,,,
MQ210219-239,MQ210219,LIB-Mariagerfjord-LT-525,,"",Winter,"","",Mariagerfjord,2019-12-30,1,2019,,"","","","","","",,,,,,,,,
MQ210219-240,MQ210219,LIB-Mariagerfjord-LT-529,,"",Winter,"","",Mariagerfjord,2020-01-06,2,2020,,"","","","","","",,,,,,,,,
MQ210219-241,MQ210219,LIB-Mariagerfjord-LT-533,,"",Winter,"","",Mariagerfjord,2020-01-14,3,2020,,"","","","","","",,,,,,,,,
MQ210219-242,MQ210219,LIB-Mariagerfjord-LT-537,,"",Winter,"","",Mariagerfjord,2020-01-22,4,2020,,"","","","","","",,,,,,,,,
MQ210219-243,MQ210219,LIB-Mariagerfjord-LT-541,,"",Winter,"","",Mariagerfjord,2020-01-27,5,2020,,"","","","","","",,,,,,,,,
MQ210219-244,MQ210219,LIB-Mariagerfjord-LT-545,,"",Winter,"","",Mariagerfjord,2020-02-04,6,2020,,"","","","","","",,,,,,,,,
MQ210219-245,MQ210219,LIB-Mariagerfjord-LT-549,,"",Winter,"","",Mariagerfjord,2020-02-10,7,2020,,"","","","","","",,,,,,,,,
MQ210219-246,MQ210219,LIB-Mariagerfjord-LT-553,,"",Winter,"","",Mariagerfjord,2020-02-14,7,2020,,"","","","","","",,,,,,,,,
MQ210219-247,MQ210219,LIB-Mariagerfjord-LT-557,,"",Winter,"","",Mariagerfjord,2020-02-25,9,2020,,"","","","","","",,,,,,,,,
MQ210219-248,MQ210219,LIB-Mariagerfjord-LT-561,,"",Winter,"","",Mariagerfjord,2020-03-02,10,2020,,"","","","","","",,,,,,,,,
MQ210219-249,MQ210219,LIB-Mariagerfjord-LT-565,,"",Winter,"","",Mariagerfjord,2020-03-09,11,2020,,"","","","","","",,,,,,,,,
MQ210219-250,MQ210219,LIB-Mariagerfjord-LT-569,,"",Spring,"","",Mariagerfjord,2020-03-16,12,2020,,"","","","","","",,,,,,,,,
MQ210219-251,MQ210219,LIB-Mariagerfjord-LT-573,,"",Spring,"","",Mariagerfjord,2020-03-25,13,2020,,"","","","","","",,,,,,,,,
MQ210219-252,MQ210219,LIB-Mariagerfjord-LT-577,,"",Spring,"","",Mariagerfjord,2020-03-31,14,2020,,"","","","","","",,,,,,,,,
MQ210219-253,MQ210219,LIB-Mariagerfjord-LT-581,,"",Spring,"","",Mariagerfjord,2020-04-08,15,2020,,"","","","","","",,,,,,,,,
MQ210219-254,MQ210219,LIB-Mariagerfjord-LT-585,,"",Spring,"","",Mariagerfjord,2020-04-14,16,2020,,"","","","","","",,,,,,,,,
MQ210219-255,MQ210219,LIB-Mariagerfjord-LT-589,,"",Spring,"","",Mariagerfjord,2020-04-20,17,2020,,"","","","","","",,,,,,,,,
MQ210219-256,MQ210219,LIB-Mariagerfjord-LT-593,,"",Spring,"","",Mariagerfjord,2020-04-27,18,2020,,"","","","","","",,,,,,,,,
MQ210219-257,MQ210219,LIB-Mariagerfjord-LT-597,,"",Spring,"","",Mariagerfjord,2020-05-04,19,2020,,"","","","","","",,,,,,,,,
MQ210219-258,MQ210219,LIB-Mariagerfjord-LT-601,,"",Spring,"","",Mariagerfjord,2020-05-11,20,2020,,"","","","","","",,,,,,,,,
MQ210219-259,MQ210219,LIB-Mariagerfjord-LT-605,,"",Spring,"","",Mariagerfjord,2020-05-19,21,2020,,"","","","","","",,,,,,,,,
MQ210219-260,MQ210219,LIB-Mariagerfjord-LT-609,,"",Spring,"","",Mariagerfjord,2020-05-25,22,2020,,"","","","","","",,,,,,,,,
MQ210219-261,MQ210219,LIB-Mariagerfjord-LT-613,,"",Spring,"","",Mariagerfjord,2020-06-02,23,2020,,"","","","","","",,,,,,,,,
MQ210219-262,MQ210219,LIB-Mariagerfjord-LT-617,,"",Spring,"","",Mariagerfjord,2020-06-08,24,2020,,"","","","","","",,,,,,,,,
MQ210219-263,MQ210219,LIB-Mariagerfjord-LT-621,,"",Summer,"","",Mariagerfjord,2020-06-15,25,2020,,"","","","","","",,,,,,,,,
MQ210503-33,MQ210503,LIB-Mariagerfjord-LT-625,,"",Summer,"","",Mariagerfjord,2020-06-29,27,2020,,"","","","","","",,,,,,,,,
MQ210503-34,MQ210503,LIB-Mariagerfjord-LT-630,,"",Summer,"","",Mariagerfjord,2020-07-06,28,2020,,"","","","","","",,,,,,,,,
MQ210503-35,MQ210503,LIB-Mariagerfjord-LT-634,,"",Summer,"","",Mariagerfjord,2020-07-10,28,2020,,"","","","","","",,,,,,,,,
MQ210503-36,MQ210503,LIB-Mariagerfjord-LT-638,,"",Summer,"","",Mariagerfjord,2020-08-03,32,2020,,"","","","","","",,,,,,,,,
MQ210503-37,MQ210503,LIB-Mariagerfjord-LT-642,,"",Summer,"","",Mariagerfjord,2020-08-18,34,2020,,"","","","","","",,,,,,,,,
MQ210503-38,MQ210503,LIB-Mariagerfjord-LT-646,,"",Summer,"","",Mariagerfjord,2020-08-24,35,2020,,"","","","","","",,,,,,,,,
MQ210503-39,MQ210503,LIB-Mariagerfjord-LT-650,,"",Summer,"","",Mariagerfjord,2020-08-31,36,2020,,"","","","","","",,,,,,,,,
MQ210503-40,MQ210503,LIB-Mariagerfjord-LT-654,,"",Summer,"","",Mariagerfjord,2020-09-08,37,2020,,"","","","","","",,,,,,,,,
