Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181116-241,MQ181116,LIB-Marselisborg-bv13-LT-2,,Marselisborg LT #2,LT,"",Marselisborg,2017-06-29,26,2017,Summer,Alternating,BNR,BNR,NO,Primary settling,Digester,56.140226,10.211829,,,,,19.54408613,11.08836109,
MQ181116-242,MQ181116,LIB-Marselisborg-bv13-LT-5,,Marselisborg LT #5,LT,"",Marselisborg,2017-07-12,28,2017,Summer,Alternating,BNR,BNR,NO,Primary settling,Digester,56.140226,10.211829,,,,,44.17159914,9.46969697,
MQ181116-243,MQ181116,LIB-Marselisborg-bv13-LT-8,,Marselisborg LT #8,LT,"",Marselisborg,2017-08-01,31,2017,Summer,Alternating,BNR,BNR,NO,Primary settling,Digester,56.140226,10.211829,,,,,36.19374426,13.02780053,
MQ181116-244,MQ181116,LIB-Marselisborg-bv13-LT-11,,Marselisborg LT #11,LT,"",Marselisborg,2017-08-14,33,2017,Summer,Alternating,BNR,BNR,NO,Primary settling,Digester,56.140226,10.211829,,,,,43.58480457,14.9046774,
MQ181116-245,MQ181116,LIB-Marselisborg-bv13-LT-14,,Marselisborg LT #14,LT,"",Marselisborg,2017-08-31,35,2017,Summer,Alternating,BNR,BNR,NO,Primary settling,Digester,56.140226,10.211829,,,,,30.80416369,12.82077532,
MQ181116-246,MQ181116,LIB-Marselisborg-bv13-LT-17,,Marselisborg LT #17,LT,"",Marselisborg,2017-09-14,37,2017,Summer,Alternating,BNR,BNR,NO,Primary settling,Digester,56.140226,10.211829,,,,,35.98709052,13.03576304,
MQ181116-247,MQ181116,LIB-Marselisborg-bv13-LT-20,,Marselisborg LT #20,LT,"",Marselisborg,2017-11-06,45,2017,Fall,Alternating,BNR,BNR,NO,Primary settling,Digester,56.140226,10.211829,,,,,48.89784672,10.91432341,
MQ181116-248,MQ181116,LIB-Marselisborg-bv13-LT-23,,Marselisborg LT #23,LT,"",Marselisborg,2017-11-27,48,2017,Fall,Alternating,BNR,BNR,NO,Primary settling,Digester,56.140226,10.211829,,,,,54.98010001,7.151469651,
MQ181116-249,MQ181116,LIB-Marselisborg-bv13-LT-83,,Marselisborg LT #83,LT,"",Marselisborg,2018-02-09,6,2018,Winter,Alternating,BNR,BNR,NO,Primary settling,Digester,56.140226,10.211829,,,,,46.296816,11.17708618,
MQ181116-250,MQ181116,LIB-Marselisborg-bv13-LT-86,,Marselisborg LT #86,LT,"",Marselisborg,2018-03-06,10,2018,Winter,Alternating,BNR,BNR,NO,Primary settling,Digester,56.140226,10.211829,,,,,43.3360547,10.18632269,
