Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ190301-225,MQ190301,LIB-OdenseNE-LT-337,63363,"",Spring,"","",Odense NE,2017-04-16,15,2017,,"","","","","","",,,,,,,,,
MQ190301-226,MQ190301,LIB-OdenseNE-LT-340,66586,"",Fall,"","",Odense NE,2017-11-23,47,2017,,"","","","","","",,,,,,,,,
MQ190301-227,MQ190301,LIB-OdenseNE-LT-343,64688,"",Fall,"","",Odense NE,2017-11-29,48,2017,,"","","","","","",,,,,,,,,
MQ190301-228,MQ190301,LIB-OdenseNE-LT-346,39677,"",Fall,"","",Odense NE,2017-12-07,49,2017,,"","","","","","",,,,,,,,,
MQ190301-229,MQ190301,LIB-OdenseNE-LT-349,102963,"",Fall,"","",Odense NE,2017-12-14,50,2017,,"","","","","","",,,,,,,,,
MQ190301-230,MQ190301,LIB-OdenseNE-LT-352,77165,"",Winter,"","",Odense NE,2017-12-20,51,2017,,"","","","","","",,,,,,,,,
MQ190301-231,MQ190301,LIB-OdenseNE-LT-355,105194,"",Winter,"","",Odense NE,2018-01-03,1,2018,,"","","","","","",,,,,,,,,
MQ190301-232,MQ190301,LIB-OdenseNE-LT-358,130136,"",Winter,"","",Odense NE,2018-01-12,2,2018,,"","","","","","",,,,,,,,,
MQ190301-233,MQ190301,LIB-OdenseNE-LT-361,76901,"",Winter,"","",Odense NE,2018-01-18,3,2018,,"","","","","","",,,,,,,,,
MQ190301-234,MQ190301,LIB-OdenseNE-LT-364,111606,"",Winter,"","",Odense NE,2018-01-25,4,2018,,"","","","","","",,,,,,,,,
MQ190301-235,MQ190301,LIB-OdenseNE-LT-367,59381,"",Winter,"","",Odense NE,2018-01-31,5,2018,,"","","","","","",,,,,,,,,
MQ190301-236,MQ190301,LIB-OdenseNE-LT-370,65304,"",Winter,"","",Odense NE,2018-02-08,6,2018,,"","","","","","",,,,,,,,,
MQ190301-237,MQ190301,LIB-OdenseNE-LT-373,21162,"",Winter,"","",Odense NE,2018-02-15,7,2018,,"","","","","","",,,,,,,,,
MQ190301-238,MQ190301,LIB-OdenseNE-LT-376,62678,"",Winter,"","",Odense NE,2018-02-22,8,2018,,"","","","","","",,,,,,,,,
MQ190301-239,MQ190301,LIB-OdenseNE-LT-379,76825,"",Winter,"","",Odense NE,2018-02-26,9,2018,,"","","","","","",,,,,,,,,
MQ190301-240,MQ190301,LIB-OdenseNE-LT-382,82558,"",Winter,"","",Odense NE,2018-03-08,10,2018,,"","","","","","",,,,,,,,,
MQ190301-241,MQ190301,LIB-OdenseNE-LT-385,40990,"",Spring,"","",Odense NE,2018-03-15,11,2018,,"","","","","","",,,,,,,,,
MQ190301-242,MQ190301,LIB-OdenseNE-LT-01,72982,"",Spring,"","",Odense NE,2018-03-22,12,2018,,"","","","","","",,,,,,,,,
MQ190301-243,MQ190301,LIB-OdenseNE-LT-04,68243,"",Spring,"","",Odense NE,2018-03-28,13,2018,,"","","","","","",,,,,,,,,
MQ190301-244,MQ190301,LIB-OdenseNE-LT-07,63235,"",Spring,"","",Odense NE,2018-04-05,14,2018,,"","","","","","",,,,,,,,,
MQ190301-245,MQ190301,LIB-OdenseNE-LT-10,75972,"",Spring,"","",Odense NE,2018-04-11,15,2018,,"","","","","","",,,,,,,,,
MQ190301-246,MQ190301,LIB-OdenseNE-LT-388,46482,"",Spring,"","",Odense NE,2018-04-20,16,2018,,"","","","","","",,,,,,,,,
MQ190301-247,MQ190301,LIB-OdenseNE-LT-391,99656,"",Spring,"","",Odense NE,2018-04-30,18,2018,,"","","","","","",,,,,,,,,
MQ190301-248,MQ190301,LIB-OdenseNE-LT-394,50160,"",Spring,"","",Odense NE,2018-05-08,19,2018,,"","","","","","",,,,,,,,,
MQ190301-249,MQ190301,LIB-OdenseNE-LT-397,94968,"",Spring,"","",Odense NE,2018-05-15,20,2018,,"","","","","","",,,,,,,,,
MQ190301-250,MQ190301,LIB-OdenseNE-LT-400,94304,"",Spring,"","",Odense NE,2018-05-25,21,2018,,"","","","","","",,,,,,,,,
MQ190301-251,MQ190301,LIB-OdenseNE-LT-403,76439,"",Spring,"","",Odense NE,2018-05-29,22,2018,,"","","","","","",,,,,,,,,
MQ190301-253,MQ190301,LIB-OdenseNE-LT-409,36378,"",Spring,"","",Odense NE,2018-06-14,24,2018,,"","","","","","",,,,,,,,,
MQ190301-254,MQ190301,LIB-OdenseNE-LT-412,7658,"",Summer,"","",Odense NE,2018-06-20,25,2018,,"","","","","","",,,,,,,,,
MQ190301-255,MQ190301,LIB-OdenseNE-LT-415,45394,"",Summer,"","",Odense NE,2018-07-05,27,2018,,"","","","","","",,,,,,,,,
MQ190301-256,MQ190301,LIB-OdenseNE-LT-418,135235,"",Summer,"","",Odense NE,2018-07-12,28,2018,,"","","","","","",,,,,,,,,
MQ190301-257,MQ190301,LIB-OdenseNE-LT-421,49341,"",Summer,"","",Odense NE,2018-07-17,29,2018,,"","","","","","",,,,,,,,,
MQ190301-258,MQ190301,LIB-OdenseNE-LT-424,25215,"",Summer,"","",Odense NE,2018-07-31,31,2018,,"","","","","","",,,,,,,,,
MQ190301-259,MQ190301,LIB-OdenseNE-LT-427,46472,"",Summer,"","",Odense NE,2018-08-07,32,2018,,"","","","","","",,,,,,,,,
MQ190301-260,MQ190301,LIB-OdenseNE-LT-430,62163,"",Summer,"","",Odense NE,2018-08-16,33,2018,,"","","","","","",,,,,,,,,
MQ190301-264,MQ190301,LIB-OdenseNE-LT-442,12289,"",Summer,"","",Odense NE,2018-08-20,34,2018,,"","","","","","",,,,,,,,,
MQ190301-262,MQ190301,LIB-OdenseNE-LT-436,59617,"",Summer,"","",Odense NE,2018-09-07,36,2018,,"","","","","","",,,,,,,,,
MQ190301-263,MQ190301,LIB-OdenseNE-LT-439,1387,"",Summer,"","",Odense NE,2018-09-13,37,2018,,"","","","","","",,,,,,,,,
MQ190301-265,MQ190301,LIB-OdenseNE-LT-445,52930,"",Fall,"","",Odense NE,2018-09-27,39,2018,,"","","","","","",,,,,,,,,
MQ190301-266,MQ190301,LIB-OdenseNE-LT-448,64298,"",Fall,"","",Odense NE,2018-10-04,40,2018,,"","","","","","",,,,,,,,,
MQ190301-267,MQ190301,LIB-OdenseNE-LT-451,29849,"",Fall,"","",Odense NE,2018-10-09,41,2018,,"","","","","","",,,,,,,,,
MQ190301-268,MQ190301,LIB-OdenseNE-LT-454,65734,"",Fall,"","",Odense NE,2018-10-18,42,2018,,"","","","","","",,,,,,,,,
