Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ220104-132,MQ220104,LIB-Odense-NV-LT-481,,"",Winter,LT,AS,"",Odense NV,2019-01-03,1,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-133,MQ220104,LIB-Odense-NV-LT-484,,"",Winter,LT,AS,"",Odense NV,2019-01-10,2,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-134,MQ220104,LIB-Odense-NV-LT-487,,"",Winter,LT,AS,"",Odense NV,2019-01-13,2,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-135,MQ220104,LIB-Odense-NV-LT-490,,"",Winter,LT,AS,"",Odense NV,2019-01-24,4,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-136,MQ220104,LIB-Odense-NV-LT-493,,"",Winter,LT,AS,"",Odense NV,2019-01-30,5,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-137,MQ220104,LIB-Odense-NV-LT-496,,"",Winter,LT,AS,"",Odense NV,2019-02-08,6,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-138,MQ220104,LIB-Odense-NV-LT-499,,"",Winter,LT,AS,"",Odense NV,2019-02-12,7,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-139,MQ220104,LIB-Odense-NV-LT-502,,"",Winter,LT,AS,"",Odense NV,2019-02-21,8,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-140,MQ220104,LIB-Odense-NV-LT-505,,"",Winter,LT,AS,"",Odense NV,2019-02-26,9,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-141,MQ220104,LIB-Odense-NV-LT-508,,"",Winter,LT,AS,"",Odense NV,2019-03-07,10,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-142,MQ220104,LIB-Odense-NV-LT-511,,"",Winter,LT,AS,"",Odense NV,2019-03-14,11,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-143,MQ220104,LIB-Odense-NV-LT-514,,"",Spring,LT,AS,"",Odense NV,2019-03-20,12,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-144,MQ220104,LIB-Odense-NV-LT-517,,"",Spring,LT,AS,"",Odense NV,2019-03-28,13,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-145,MQ220104,LIB-Odense-NV-LT-520,,"",Spring,LT,AS,"",Odense NV,2019-04-05,14,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-146,MQ220104,LIB-Odense-NV-LT-523,,"",Spring,LT,AS,"",Odense NV,2019-04-11,15,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-147,MQ220104,LIB-Odense-NV-LT-526,,"",Spring,LT,AS,"",Odense NV,2019-04-16,16,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-148,MQ220104,LIB-Odense-NV-LT-529,,"",Spring,LT,AS,"",Odense NV,2019-04-23,17,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-149,MQ220104,LIB-Odense-NV-LT-532,,"",Spring,LT,AS,"",Odense NV,2019-05-02,18,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-150,MQ220104,LIB-Odense-NV-LT-535,,"",Spring,LT,AS,"",Odense NV,2019-05-09,19,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-151,MQ220104,LIB-Odense-NV-LT-538,,"",Spring,LT,AS,"",Odense NV,2019-05-16,20,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-152,MQ220104,LIB-Odense-NV-LT-541,,"",Fall,LT,AS,"",Odense NV,2019-11-26,48,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-153,MQ220104,LIB-Odense-NV-LT-544,,"",Spring,LT,AS,"",Odense NV,2019-05-23,21,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-154,MQ220104,LIB-Odense-NV-LT-547,,"",Spring,LT,AS,"",Odense NV,2019-05-29,22,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-155,MQ220104,LIB-Odense-NV-LT-550,,"",Spring,LT,AS,"",Odense NV,2019-06-06,23,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-156,MQ220104,LIB-Odense-NV-LT-553,,"",Spring,LT,AS,"",Odense NV,2019-06-13,24,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-157,MQ220104,LIB-Odense-NV-LT-556,,"",Summer,LT,AS,"",Odense NV,2019-06-19,25,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-158,MQ220104,LIB-Odense-NV-LT-559,,"",Summer,LT,AS,"",Odense NV,2019-06-27,26,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-159,MQ220104,LIB-Odense-NV-LT-562,,"",Summer,LT,AS,"",Odense NV,2019-07-04,27,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-160,MQ220104,LIB-Odense-NV-LT-565,,"",Summer,LT,AS,"",Odense NV,2019-07-10,28,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-161,MQ220104,LIB-Odense-NV-LT-568,,"",Summer,LT,AS,"",Odense NV,2019-07-18,29,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-162,MQ220104,LIB-Odense-NV-LT-571,,"",Summer,LT,AS,"",Odense NV,2019-07-25,30,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-163,MQ220104,LIB-Odense-NV-LT-574,,"",Summer,LT,AS,"",Odense NV,2019-07-30,31,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-164,MQ220104,LIB-Odense-NV-LT-577,,"",Summer,LT,AS,"",Odense NV,2019-08-08,32,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-165,MQ220104,LIB-Odense-NV-LT-580,,"",Summer,LT,AS,"",Odense NV,2019-08-15,33,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-166,MQ220104,LIB-Odense-NV-LT-583,,"",Summer,LT,AS,"",Odense NV,2019-08-22,34,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-167,MQ220104,LIB-Odense-NV-LT-586,,"",Summer,LT,AS,"",Odense NV,2019-08-30,35,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-168,MQ220104,LIB-Odense-NV-LT-589,,"",Summer,LT,AS,"",Odense NV,2019-09-06,36,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-169,MQ220104,LIB-Odense-NV-LT-592,,"",Summer,LT,AS,"",Odense NV,2019-09-12,37,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-170,MQ220104,LIB-Odense-NV-LT-595,,"",Summer,LT,AS,"",Odense NV,2019-09-13,37,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-171,MQ220104,LIB-Odense-NV-LT-598,,"",Fall,LT,AS,"",Odense NV,2019-09-19,38,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-172,MQ220104,LIB-Odense-NV-LT-601,,"",Fall,LT,AS,"",Odense NV,2019-09-26,39,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-173,MQ220104,LIB-Odense-NV-LT-604,,"",Fall,LT,AS,"",Odense NV,2019-10-03,40,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-174,MQ220104,LIB-Odense-NV-LT-607,,"",Fall,LT,AS,"",Odense NV,2019-10-10,41,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-175,MQ220104,LIB-Odense-NV-LT-610,,"",Fall,LT,AS,"",Odense NV,2019-10-17,42,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-176,MQ220104,LIB-Odense-NV-LT-613,,"",Fall,LT,AS,"",Odense NV,2019-10-24,43,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-177,MQ220104,LIB-Odense-NV-LT-616,,"",Fall,LT,AS,"",Odense NV,2019-10-28,44,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-178,MQ220104,LIB-Odense-NV-LT-619,,"",Fall,LT,AS,"",Odense NV,2019-11-07,45,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-179,MQ220104,LIB-Odense-NV-LT-622,,"",Fall,LT,AS,"",Odense NV,2019-11-14,46,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-180,MQ220104,LIB-Odense-NV-LT-625,,"",Fall,LT,AS,"",Odense NV,2019-11-19,47,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-181,MQ220104,LIB-Odense-NV-LT-628,,"",Fall,LT,AS,"",Odense NV,2019-11-28,48,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-182,MQ220104,LIB-Odense-NV-LT-631,,"",Fall,LT,AS,"",Odense NV,2019-12-05,49,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-183,MQ220104,LIB-Odense-NV-LT-634,,"",Fall,LT,AS,"",Odense NV,2019-12-12,50,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-184,MQ220104,LIB-Odense-NV-LT-637,,"",Winter,LT,AS,"",Odense NV,2019-12-19,51,2019,,"","","","","","",,,,,,,,,,,"",,
MQ220104-185,MQ220104,LIB-Odense-NV-LT-640,,"",Winter,LT,AS,"",Odense NV,2020-01-09,2,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-186,MQ220104,LIB-Odense-NV-LT-643,,"",Winter,LT,AS,"",Odense NV,2020-01-16,3,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-187,MQ220104,LIB-Odense-NV-LT-646,,"",Winter,LT,AS,"",Odense NV,2020-01-23,4,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-188,MQ220104,LIB-Odense-NV-LT-649,,"",Winter,LT,AS,"",Odense NV,2020-01-30,5,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-189,MQ220104,LIB-Odense-NV-LT-652,,"",Winter,LT,AS,"",Odense NV,2020-02-04,6,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-190,MQ220104,LIB-Odense-NV-LT-655,,"",Winter,LT,AS,"",Odense NV,2020-02-13,7,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-191,MQ220104,LIB-Odense-NV-LT-658,,"",Winter,LT,AS,"",Odense NV,2020-02-20,8,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-192,MQ220104,LIB-Odense-NV-LT-661,,"",Winter,LT,AS,"",Odense NV,2020-02-27,9,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-193,MQ220104,LIB-Odense-NV-LT-664,,"",Winter,LT,AS,"",Odense NV,2020-02-05,6,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-194,MQ220104,LIB-Odense-NV-LT-667,,"",Spring,LT,AS,"",Odense NV,2020-05-11,20,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-195,MQ220104,LIB-Odense-NV-LT-670,,"",Spring,LT,AS,"",Odense NV,2020-05-19,21,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-196,MQ220104,LIB-Odense-NV-LT-673,,"",Spring,LT,AS,"",Odense NV,2020-05-26,22,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-197,MQ220104,LIB-Odense-NV-LT-676,,"",Spring,LT,AS,"",Odense NV,2020-06-02,23,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-198,MQ220104,LIB-Odense-NV-LT-679,,"",Spring,LT,AS,"",Odense NV,2020-06-09,24,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-199,MQ220104,LIB-Odense-NV-LT-682,,"",Summer,LT,AS,"",Odense NV,2020-06-16,25,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-200,MQ220104,LIB-Odense-NV-LT-685,,"",Summer,LT,AS,"",Odense NV,2020-06-23,26,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-201,MQ220104,LIB-Odense-NV-LT-688,,"",Summer,LT,AS,"",Odense NV,2020-06-30,27,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-202,MQ220104,LIB-Odense-NV-LT-691,,"",Summer,LT,AS,"",Odense NV,2020-07-06,28,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-203,MQ220104,LIB-Odense-NV-LT-694,,"",Summer,LT,AS,"",Odense NV,2020-07-14,29,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-204,MQ220104,LIB-Odense-NV-LT-697,,"",Summer,LT,AS,"",Odense NV,2020-07-21,30,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-205,MQ220104,LIB-Odense-NV-LT-700,,"",Summer,LT,AS,"",Odense NV,2020-07-28,31,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-206,MQ220104,LIB-Odense-NV-LT-703,,"",Summer,LT,AS,"",Odense NV,2020-08-04,32,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-207,MQ220104,LIB-Odense-NV-LT-706,,"",Summer,LT,AS,"",Odense NV,2020-08-11,33,2020,,"","","","","","",,,,,,,,,,,"",,
MQ220104-208,MQ220104,LIB-Odense-NV-LT-709,,"",Summer,LT,AS,"",Odense NV,2020-08-18,34,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-143,MQ221130,LIB-OdenseNV-LT-712,,"",Summer,LT,AS,Activated sludge,Odense NV,2020-08-25,35,2020,,"","","","","","",,,,,,,,,,,"",,
MQ221130-144,MQ221130,LIB-OdenseNV-LT-715,,"",Summer,LT,AS,Activated sludge,Odense NV,2020-09-01,36,2020,,"","","","","","",,,,,,,,,,,"",,
