Sample,SeqRun,LibID,Read_no,ID,Line,Mean,Plant,Date,Week,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181123-242,MQ181123,LIB-Ribe-LT-1,,Ribe-LT-1,"","",Ribe,2015-02-09,7,2015,Winter,Recirculation,"","","","","",,,,,,,7.413135495,10.98348023,
MQ181123-243,MQ181123,LIB-Ribe-LT-4,,Ribe-LT-4,"","",Ribe,2015-03-11,11,2015,Winter,Recirculation,"","","","","",,,,,,,8.198055724,2.463516833,
MQ181123-244,MQ181123,LIB-Ribe-LT-7,,Ribe-LT-7,"","",Ribe,2015-03-25,13,2015,Spring,Recirculation,"","","","","",,,,,,,10.19814875,3.979434571,
MQ181123-245,MQ181123,LIB-Ribe-LT-10,,Ribe-LT-10,"","",Ribe,2015-04-08,15,2015,Spring,Recirculation,"","","","","",,,,,,,27.4175543,0.900640563,
MQ181123-246,MQ181123,LIB-Ribe-LT-13,,Ribe-LT-13,"","",Ribe,2015-04-23,17,2015,Spring,Recirculation,"","","","","",,,,,,,50.07325922,6.554929442,
MQ181123-247,MQ181123,LIB-Ribe-LT-16,,Ribe-LT-16,"","",Ribe,2015-05-06,19,2015,Spring,Recirculation,"","","","","",,,,,,,13.68435741,9.450705582,
MQ181123-248,MQ181123,LIB-Ribe-LT-19,,Ribe-LT-19,"","",Ribe,2015-05-20,21,2015,Spring,Recirculation,"","","","","",,,,,,,14.4006698,22.37273034,
MQ181123-249,MQ181123,LIB-Ribe-LT-22,,Ribe-LT-22,"","",Ribe,2015-06-03,23,2015,Spring,Recirculation,"","","","","",,,,,,,18.03804828,15.34941964,
MQ181123-250,MQ181123,LIB-Ribe-LT-25,,Ribe-LT-25,"","",Ribe,2015-07-01,27,2015,Summer,Recirculation,"","","","","",,,,,,,14.09367878,12.58609064,
MQ181123-251,MQ181123,LIB-Ribe-LT-28,,Ribe-LT-28,"","",Ribe,2015-07-15,29,2015,Summer,Recirculation,"","","","","",,,,,,,13.8552956,7.049800125,
MQ181123-252,MQ181123,LIB-Ribe-LT-31,,Ribe-LT-31,"","",Ribe,2015-08-03,32,2015,Summer,Recirculation,"","","","","",,,,,,,21.276571,5.160622261,
MQ181123-253,MQ181123,LIB-Ribe-LT-34,,Ribe-LT-34,"","",Ribe,2015-08-14,33,2015,Summer,Recirculation,"","","","","",,,,,,,29.39555328,3.772335404,
MQ181123-254,MQ181123,LIB-Ribe-LT-37,,Ribe-LT-37,"","",Ribe,2015-08-26,35,2015,Summer,Recirculation,"","","","","",,,,,,,12.83199219,6.257525406,
MQ181123-255,MQ181123,LIB-Ribe-LT-40,,Ribe-LT-40,"","",Ribe,2015-09-09,37,2015,Summer,Recirculation,"","","","","",,,,,,,15.85887716,2.946346867,
MQ181123-256,MQ181123,LIB-Ribe-LT-43,,Ribe-LT-43,"","",Ribe,2015-09-23,39,2015,Fall,Recirculation,"","","","","",,,,,,,14.06693335,8.901651977,
MQ181123-257,MQ181123,LIB-Ribe-LT-46,,Ribe-LT-46,"","",Ribe,2015-10-07,41,2015,Fall,Recirculation,"","","","","",,,,,,,11.47030094,7.804748832,
MQ181123-258,MQ181123,LIB-Ribe-LT-49,,Ribe-LT-49,"","",Ribe,2015-10-21,43,2015,Fall,Recirculation,"","","","","",,,,,,,27.72221964,13.11828734,
MQ181123-259,MQ181123,LIB-Ribe-LT-52,,Ribe-LT-52,"","",Ribe,2015-11-04,45,2015,Fall,Recirculation,"","","","","",,,,,,,17.87176148,8.029908973,
MQ181123-260,MQ181123,LIB-Ribe-LT-55,,Ribe-LT-55,"","",Ribe,2015-11-19,47,2015,Fall,Recirculation,"","","","","",,,,,,,41.56821247,8.104560998,
