Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ200121-8,MQ200121,LIB-Viborg-LT-525,,"",Summer,LT,AS,"",Viborg,2018-09-07,36,2018,,"","","","","","",,,,,,,,,,,"",,
MQ200121-9,MQ200121,LIB-Viborg-LT-528,,"",Fall,LT,AS,"",Viborg,2018-10-02,40,2018,,"","","","","","",,,,,,,,,,,"",,
MQ200121-10,MQ200121,LIB-Viborg-LT-531,,"",Fall,LT,AS,"",Viborg,2018-10-11,41,2018,,"","","","","","",,,,,,,,,,,"",,
MQ200121-11,MQ200121,LIB-Viborg-LT-534,,"",Fall,LT,AS,"",Viborg,2018-10-17,42,2018,,"","","","","","",,,,,,,,,,,"",,
MQ200121-12,MQ200121,LIB-Viborg-LT-543,,"",Fall,LT,AS,"",Viborg,2018-12-10,50,2018,,"","","","","","",,,,,,,,,,,"",,
MQ200121-13,MQ200121,LIB-Viborg-LT-545,,"",Winter,LT,AS,"",Viborg,2019-01-03,1,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-14,MQ200121,LIB-Viborg-LT-547,,"",Winter,LT,AS,"",Viborg,2019-01-15,3,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-15,MQ200121,LIB-Viborg-LT-549,,"",Winter,LT,AS,"",Viborg,2019-02-06,6,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-16,MQ200121,LIB-Viborg-LT-551,,"",Winter,LT,AS,"",Viborg,2019-02-13,7,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-17,MQ200121,LIB-Viborg-LT-553,,"",Winter,LT,AS,"",Viborg,2019-03-06,10,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-18,MQ200121,LIB-Viborg-LT-557,,"",Winter,LT,AS,"",Viborg,2019-03-11,11,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-19,MQ200121,LIB-Viborg-LT-559,,"",Spring,LT,AS,"",Viborg,2019-03-22,12,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-20,MQ200121,LIB-Viborg-LT-561,,"",Spring,LT,AS,"",Viborg,2019-03-27,13,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-21,MQ200121,LIB-Viborg-LT-563,,"",Spring,LT,AS,"",Viborg,2019-04-04,14,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-22,MQ200121,LIB-Viborg-LT-565,,"",Spring,LT,AS,"",Viborg,2019-04-09,15,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-24,MQ200121,LIB-Viborg-LT-569,,"",Spring,LT,AS,"",Viborg,2019-04-24,17,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-25,MQ200121,LIB-Viborg-LT-571,,"",Spring,LT,AS,"",Viborg,2019-05-01,18,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-26,MQ200121,LIB-Viborg-LT-573,,"",Spring,LT,AS,"",Viborg,2019-05-08,19,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-27,MQ200121,LIB-Viborg-LT-575,,"",Spring,LT,AS,"",Viborg,2019-05-16,20,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-28,MQ200121,LIB-Viborg-LT-577,,"",Spring,LT,AS,"",Viborg,2019-05-23,21,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-29,MQ200121,LIB-Viborg-LT-579,,"",Spring,LT,AS,"",Viborg,2019-05-29,22,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-30,MQ200121,LIB-Viborg-LT-581,,"",Spring,LT,AS,"",Viborg,2019-06-04,23,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-31,MQ200121,LIB-Viborg-LT-583,,"",Spring,LT,AS,"",Viborg,2019-06-12,24,2019,,"","","","","","",,,,,,,,,,,"",,
MQ200121-32,MQ200121,LIB-Viborg-LT-585,,"",Summer,LT,AS,"",Viborg,2019-06-21,25,2019,,"","","","","","",,,,,,,,,,,"",,
