Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ201009-91,MQ201009,LIB-Viby-LT-209,,"",Winter,LT,"",Viby,2020-01-07,2,2020,,"","","","","","",,,,,,,,,
MQ201009-92,MQ201009,LIB-Viby-LT-211,,"",Winter,LT,"",Viby,2020-01-14,3,2020,,"","","","","","",,,,,,,,,
MQ201009-93,MQ201009,LIB-Viby-LT-213,,"",Winter,LT,"",Viby,2020-01-21,4,2020,,"","","","","","",,,,,,,,,
MQ201009-94,MQ201009,LIB-Viby-LT-215,,"",Winter,LT,"",Viby,2020-01-28,5,2020,,"","","","","","",,,,,,,,,
MQ201009-95,MQ201009,LIB-Viby-LT-217,,"",Winter,LT,"",Viby,2020-02-04,6,2020,,"","","","","","",,,,,,,,,
MQ201009-96,MQ201009,LIB-Viby-LT-219,,"",Winter,LT,"",Viby,2020-02-11,7,2020,,"","","","","","",,,,,,,,,
MQ201009-97,MQ201009,LIB-Viby-LT-221,,"",Winter,LT,"",Viby,2020-02-18,8,2020,,"","","","","","",,,,,,,,,
MQ201009-98,MQ201009,LIB-Viby-LT-223,,"",Winter,LT,"",Viby,2020-02-25,9,2020,,"","","","","","",,,,,,,,,
MQ201009-99,MQ201009,LIB-Viby-LT-225,,"",Winter,LT,"",Viby,2020-03-03,10,2020,,"","","","","","",,,,,,,,,
MQ201009-100,MQ201009,LIB-Viby-LT-227,,"",Winter,LT,"",Viby,2020-03-10,11,2020,,"","","","","","",,,,,,,,,
MQ201009-101,MQ201009,LIB-Viby-LT-229,,"",Spring,LT,"",Viby,2020-04-02,14,2020,,"","","","","","",,,,,,,,,
MQ201009-102,MQ201009,LIB-Viby-LT-231,,"",Spring,LT,"",Viby,2020-04-07,15,2020,,"","","","","","",,,,,,,,,
MQ201009-103,MQ201009,LIB-Viby-LT-233,,"",Spring,LT,"",Viby,2020-04-14,16,2020,,"","","","","","",,,,,,,,,
MQ201009-104,MQ201009,LIB-Viby-LT-235,,"",Spring,LT,"",Viby,2020-04-22,17,2020,,"","","","","","",,,,,,,,,
MQ201009-105,MQ201009,LIB-Viby-LT-237,,"",Spring,LT,"",Viby,2020-04-27,18,2020,,"","","","","","",,,,,,,,,
MQ201009-106,MQ201009,LIB-Viby-LT-239,,"",Spring,LT,"",Viby,2020-05-05,19,2020,,"","","","","","",,,,,,,,,
MQ201009-107,MQ201009,LIB-Viby-LT-241,,"",Spring,LT,"",Viby,2020-05-15,20,2020,,"","","","","","",,,,,,,,,
MQ201009-108,MQ201009,LIB-Viby-LT-243,,"",Spring,LT,"",Viby,2020-05-18,21,2020,,"","","","","","",,,,,,,,,
MQ201009-109,MQ201009,LIB-Viby-LT-245,,"",Spring,LT,"",Viby,2020-06-04,23,2020,,"","","","","","",,,,,,,,,
MQ201009-110,MQ201009,LIB-Viby-LT-247,,"",Spring,LT,"",Viby,2020-06-06,23,2020,,"","","","","","",,,,,,,,,
MQ201009-111,MQ201009,LIB-Viby-LT-249,,"",Summer,LT,"",Viby,2020-06-18,25,2020,,"","","","","","",,,,,,,,,
MQ201009-112,MQ201009,LIB-Viby-LT-251,,"",Summer,LT,"",Viby,2020-06-25,26,2020,,"","","","","","",,,,,,,,,
MQ201009-113,MQ201009,LIB-Viby-LT-253,,"",Summer,LT,"",Viby,2020-07-02,27,2020,,"","","","","","",,,,,,,,,
MQ201009-114,MQ201009,LIB-Viby-LT-255,,"",Summer,LT,"",Viby,2020-07-06,28,2020,,"","","","","","",,,,,,,,,
MQ201009-115,MQ201009,LIB-Viby-LT-256,,"",Summer,LT,"",Viby,2020-07-15,29,2020,,"","","","","","",,,,,,,,,
MQ201009-116,MQ201009,LIB-Viby-LT-257,,"",Summer,LT,"",Viby,2020-07-23,30,2020,,"","","","","","",,,,,,,,,
MQ201009-117,MQ201009,LIB-Viby-LT-258,,"",Summer,LT,"",Viby,2020-07-30,31,2020,,"","","","","","",,,,,,,,,
MQ201009-118,MQ201009,LIB-Viby-LT-260,,"",Summer,LT,"",Viby,2020-08-05,32,2020,,"","","","","","",,,,,,,,,
MQ201009-119,MQ201009,LIB-Viby-LT-262,,"",Summer,LT,"",Viby,2020-08-14,33,2020,,"","","","","","",,,,,,,,,
MQ201009-120,MQ201009,LIB-Viby-LT-264,,"",Summer,LT,"",Viby,2020-08-20,34,2020,,"","","","","","",,,,,,,,,
MQ201009-121,MQ201009,LIB-Viby-LT-266,,"",Summer,LT,"",Viby,2020-08-28,35,2020,,"","","","","","",,,,,,,,,
MQ201009-122,MQ201009,LIB-Viby-LT-268,,"",Summer,LT,"",Viby,2020-09-03,36,2020,,"","","","","","",,,,,,,,,
MQ201009-34,MQ201009,LIB-Viby-LT-37,,"",Summer,LT,"",Viby,2018-08-31,35,2018,,"","","","","","",,,,,,,,,
MQ201009-35,MQ201009,LIB-Viby-LT-40,,"",Summer,LT,"",Viby,2018-09-14,37,2018,,"","","","","","",,,,,,,,,
MQ201009-36,MQ201009,LIB-Viby-LT-43,,"",Fall,LT,"",Viby,2018-09-27,39,2018,,"","","","","","",,,,,,,,,
MQ201009-37,MQ201009,LIB-Viby-LT-46,,"",Fall,LT,"",Viby,2018-10-05,40,2018,,"","","","","","",,,,,,,,,
MQ201009-38,MQ201009,LIB-Viby-LT-49,,"",Fall,LT,"",Viby,2018-10-20,42,2018,,"","","","","","",,,,,,,,,
MQ201009-39,MQ201009,LIB-Viby-LT-52,,"",Fall,LT,"",Viby,2018-11-16,46,2018,,"","","","","","",,,,,,,,,
MQ201009-40,MQ201009,LIB-Viby-LT-55,,"",Fall,LT,"",Viby,2018-11-29,48,2018,,"","","","","","",,,,,,,,,
MQ201009-41,MQ201009,LIB-Viby-LT-82,,"",Winter,LT,"",Viby,2019-01-25,4,2019,,"","","","","","",,,,,,,,,
MQ201009-42,MQ201009,LIB-Viby-LT-85,,"",Winter,LT,"",Viby,2019-01-31,5,2019,,"","","","","","",,,,,,,,,
MQ201009-43,MQ201009,LIB-Viby-LT-88,,"",Winter,LT,"",Viby,2019-02-22,8,2019,,"","","","","","",,,,,,,,,
MQ201009-44,MQ201009,LIB-Viby-LT-91,,"",Winter,LT,"",Viby,2019-02-28,9,2019,,"","","","","","",,,,,,,,,
MQ201009-45,MQ201009,LIB-Viby-LT-94,,"",Winter,LT,"",Viby,2019-03-13,11,2019,,"","","","","","",,,,,,,,,
