Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
Ca_Amarolinea,"*Candidatus* Amarilinum,C10_SB1A",Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,Amarolineaceae,na,na,na,na,na,na,pos,pos,neg,na,na,na,na,neg,na,na,pos,pos,na,na,na,na,neg,na,pos,pos,neg,na,pos,na,neg,na
Ca_Microthrix,"",Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,neg,neg,na,neg,na,neg,pos,pos,neg,neg,na,neg,neg,var,neg,neg,neg,neg,na,na,na,neg,neg,pos,neg,pos,neg,var,pos,pos,pos,na
Trichococcus,"*Nostocoida limicola* , *Lactosphaera pasteurii* , *Ruminococcus palustris* and Carnococcus allantoicus",Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,pos,na,pos,na,na,na,pos,na,pos,na,var,var,var,na,na
Tetrasphaera,"",Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,na,neg,na,neg,na,neg,pos,pos,pos,pos,neg,na,neg,var,neg,na,var,var,na,na,na,na,var,pos,pos,pos,pos,var,var,var,na,na
Ferruginibacter,"",Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
Lentimicrobium,"",Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,pos,na,neg,na,na,na,na
Ca_Fermentibacter,B-1AC,Bacteria,Fermentibacterota,Fermentibacteria,Fermentibacterales,Fermentibacteraceae,na,neg,na,neg,na,neg,na,neg,na,neg,na,neg,na,neg,na,neg,na,pos,na,neg,na,neg,na,neg,na,pos,na,na,neg,na,na,na
CL500-29 marine group,HTG5,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Ca_Epiflobacter,"",Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,pos,na,neg,na,neg,na,neg,na,neg,na,neg,na,na,na,na,na,neg,na,neg,na,pos,na,neg,na,na,na
Rhodobacter,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,var,na,na,na,na,na,var,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,pos,na,neg,na,na
Thauera,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,pos,pos,neg,na,na,na,var,pos,var,neg,na,neg,na,na,na,na,pos,pos,pos,pos,pos,pos,neg,neg,na,var
BD1-7 clade,"",Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
