Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU
k__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Ca_Moranbacteria,f__midas_f_25589,g__midas_g_25589,s__midas_s_25589,denovo0
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__midas_s_20825,denovo1000
k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,,,denovo1010
k__Bacteria,p__Patescibacteria,,,,,,denovo1011
k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Prototheca_moriformis,g__midas_g_25511,s__midas_s_25511,denovo1008
k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__midas_g_20949,s__midas_s_42749,denovo1015
k__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Spirochaeta,s__midas_s_95437,denovo101
k__Bacteria,p__Patescibacteria,,,,,,denovo102
k__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Ca_Kaiserbacteria,f__midas_f_11971,,,denovo1017
k__Bacteria,p__Acidobacteriota,c__Holophagae,o__Acanthopleuribacterales,f__Acanthopleuribacteraceae,g__Acanthopleuribacter,s__midas_s_28016,denovo1012
k__Bacteria,p__Bacteroidota,c__Ignavibacteria,o__SJA-28,f__midas_f_31,g__midas_g_31,s__midas_s_4029,denovo10
k__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__midas_g_39476,s__midas_s_39476,denovo1013
k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pirellula,s__midas_s_18467,denovo1014
k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Romboutsia,,denovo1023
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,,denovo1002
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__midas_g_62055,s__midas_s_62055,denovo1020
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,,,denovo1018
k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__midas_g_52,,denovo1007
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sandaracinobacter,,denovo1
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,,,,denovo1022
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__midas_f_536,g__midas_g_18698,s__midas_s_18698,denovo1016
k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__midas_g_344,s__midas_s_29660,denovo100
k__Bacteria,p__Bacteroidota,,,,,,denovo1005
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,,denovo1019
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Tessaracoccus,,denovo1024
