"Date"	"Flow_influent_[m3/h]"	"Precipitation_[mm]"	"SS_influent_[mg/l]"	"pH_influent"	"BOD5_influent_[mg/l]"	"COD_influent_[mg/l]"	"N_tot_influent_[mg/l]"	"NH4_N_influent_[mg/l]"	"P_tot_influent_[mg/l]"	"Cl_influent_[mg/l]"	"Conductivity_influent_[mS/m]"	"Fat_and_oil_influent_[mg/l]"	"SV_[ml/l]"	"SS_LT_[mg/l]"	"SVI_[ml/g]"	"DSV_[ml/l]"	"DSVI_[ml/g]"	"SS_RAS [mg/l]"	"Temperature_[C]"	"Aerobic SRT_[d]"	"DO_LT1_setpoint_[mg/l]"	"DO_LT1_value_[mg/l]"	"DO_LT2_setpoint_[mg/l]"	"DO_LT2_value_[mg/l]"	"DO_LT3_setpoint_[mg/l]"	"DO_LT3_value_[mg/l]"	"DO_LT4_setpoint_[mg/l]"	"DO_LT4_value_[mg/l]"	"DO_LT5_setpoint_[mg/l]"	"DO_LT5_value_[mg/l]"	"DO_LT6_setpoint_[mg/l]"	"DO_LT6_value_[mg/l]"	"Molasses_setpoint_[mg/l]"	"PAX_[mg/l]"	"FeCl_Grunddosering_[mg/l]"	"FeCl_Topdosering_[mg/l]"	"Flow_out [m3/d]"	"COD_out_[mg/l]"	"BOD5_out [mg/l]"	"SS_out_[mg/l]"	"NH4_N_out_[mg/l]"	"NO3_N_out_[mg/l]"	"PO4_P_out_[mg/l]"	"N_tot_out_[mg/l]"	"P_tot_out_[mg/l]"
2015-01-01	2095.03472222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.59280575539568	1.50393700787402	2.03220973782772	0.799439775910364	2.33977272727273	1.18983957219251	2.61944444444444	1.46483516483516	1.95431654676259	1.15202156334232	1.96948529411765	0.948148148148148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-02	3921.99138888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.70247933884298	1.07828200972447	2.52473867595819	1.07980769230769	2.8043795620438	1.26866883116883	2.69829787234043	1.04250386398764	2.21973094170404	1.04226646248086	2.77205387205387	1.19415384615385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-03	2698.69208333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.47662835249042	1.71401869158879	2.46370656370656	1.35555555555556	2.27723577235772	1.58398791540785	2.54197530864198	1.62339832869081	2.07829457364341	1.55333333333333	2.12683982683983	1.14985507246377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-04	2229.21347222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.55529411764706	1.74725609756098	2.56457564575646	1.15260416666667	2.53432203389831	1.50595238095238	2.57632653061224	1.82284768211921	2.36081632653061	1.53333333333333	2.35629921259843	1.33138461538462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-05	3950.4352367688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.3	11.5	2.87220216606498	1.51746361746362	2.63345323741007	1.25282167042889	2.91291390728477	1.4996336996337	2.75617529880478	1.19712230215827	2.58028169014085	1.25901639344262	2.68196078431373	1.01294964028777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-06	2501.49930362117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	960	3.9	246.1538462	280	179.4871795	12.9	10.3	11.7	2.52921810699588	1.53839779005525	2.54199288256228	1.26028571428571	2.48473282442748	1.42705167173252	2.60191570881226	1.76636363636364	2.42895752895753	1.30680751173709	2.2106463878327	1.09763313609467	NA	NA	NA	NA	NA	NA	NA	NA	0.57	6.5	0.54	NA	NA
2015-01-07	2950.06479750779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.3	11.7	2.72727272727273	1.45269841269841	2.46244541484716	0.945762711864407	2.76619217081851	1.4598944591029	2.63207547169811	1.08062015503876	2.32767857142857	1.07272727272727	2.52574626865672	0.960427807486631	NA	NA	NA	NA	NA	NA	NA	NA	1.23	5.7	0.51	NA	NA
2015-01-08	2795.88326300985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.4	11.8	2.35	1.37965616045845	2.40546075085324	1.27867435158501	2.28875968992248	1.35960451977401	2.54147286821705	1.46684931506849	2.08191881918819	1.23925729442971	2.25461254612546	1.09123711340206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015-01-09	2938.8	2	200	7.7	150	340	32	20	4.7	200	130	73	NA	NA	NA	NA	NA	NA	10.5	11.3	1.88333333333333	1.12729591836735	1.90461538461538	0.833253012048193	2.14474708171206	1.1621867881549	1.98761061946903	0.942259414225941	1.65813008130081	1.06585365853659	1.8956204379562	0.940612244897959	NA	NA	NA	NA	63370	37	4.1	19	0.21	5.35	0.52	6.4	1.15
2015-01-10	2644.38902777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.5	10.7	1.45849056603774	0.961630695443645	1.37033898305085	0.821518987341772	1.80184331797235	0.927901785714286	1.81686746987952	0.983846153846154	1.45774058577406	1.01774193548387	1.89509433962264	0.999636363636364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
