Datetime,Temperature
11/26/2018 23:57,11.8
11/19/2018 23:57,13.4
11/13/2018 23:57,13.9
11/07/2018 23:57,
11/02/2018 23:57,13.4
10/25/2018 23:57,16.1
10/17/2018 23:57,17.5
10/11/2018 23:57,16.9
10/01/2018 23:57,15.5
09/24/2018 23:57,15.7
09/17/2018 23:57,17
09/10/2018 23:57,17
09/04/2018 23:57,18.9
08/28/2018 23:57,18
08/21/2018 23:57,18.5
08/15/2018 23:57,18.3
08/08/2018 23:57,20.4
08/02/2018 23:57,20.7
07/16/2018 23:57,20.4
07/11/2018 23:57,20.6
06/26/2018 23:57,18.7
06/18/2018 23:57,17.1
06/11/2018 23:57,16.7
06/04/2018 23:57,18.7
05/28/2018 23:57,
05/25/2018 23:57,16
05/22/2018 23:57,15.9
05/14/2018 23:57,14.7
05/09/2018 23:57,14.7
04/30/2018 23:57,12.7
04/24/2018 23:57,12.4
04/20/2018 23:57,12.6
04/10/2018 23:57,10
04/05/2018 23:57,9.4
03/27/2018 23:57,9.7
03/19/2018 23:57,7.8
03/12/2018 23:57,7.3
03/06/2018 23:57,8.3
03/01/2018 23:57,7.9
02/21/2018 23:57,8.7
02/12/2018 23:57,7.9
02/06/2018 23:57,8.3
01/30/2018 23:57,8.3
01/22/2018 23:57,9.2
01/15/2018 23:57,7.9
01/09/2018 23:57,9
01/05/2018 23:57,9.1
12/19/2017 23:57,10.2
12/12/2017 23:57,10.5
12/06/2017 23:57,11.7
11/29/2017 23:57,10.8
11/21/2017 23:57,12.1
11/17/2017 23:57,13
11/07/2017 23:57,13
11/03/2017 23:57,14
10/24/2017 23:57,13
10/16/2017 23:57,15.2
10/10/2017 23:57,15.2
10/03/2017 23:57,15.2
09/29/2017 23:57,17.2
09/19/2017 23:57,16.3
09/12/2017 23:57,16.1
09/05/2017 23:57,16.6
08/30/2017 23:57,17.7
08/23/2017 23:57,17.2
08/15/2017 23:57,17.1
08/10/2017 23:57,17.4
07/27/2017 23:57,18.2
07/12/2017 23:57,17
06/27/2017 23:57,16.8
06/22/2017 23:57,17.6
06/14/2017 23:57,16.4
06/07/2017 23:57,15.1
05/31/2017 23:57,16.1
05/23/2017 23:57,16.3
05/18/2017 23:57,12.5
05/03/2017 23:57,12.1
04/27/2017 23:57,11.5
04/20/2017 23:57,10.2
03/23/2017 23:57,9.5
03/14/2017 23:57,9.1
03/01/2017 23:57,9.1
02/15/2017 23:57,9.1
02/07/2017 23:57,8.6
01/31/2017 23:57,9.7
01/17/2017 23:57,9
01/10/2017 23:57,9.9
01/03/2017 23:57,10
12/20/2016 23:57,10.7
12/16/2016 23:57,10.8
12/06/2016 23:57,10.6
11/29/2016 23:57,10.8
11/24/2016 23:57,11.4
11/18/2016 23:57,
11/09/2016 23:57,12
11/01/2016 23:57,14.5
10/27/2016 23:57,15.5
10/18/2016 23:57,14.9
10/11/2016 23:57,14.5
10/06/2016 23:57,17
09/28/2016 23:57,18.2
09/20/2016 23:57,18.1
09/16/2016 23:57,20.3
09/06/2016 23:57,18.7
08/30/2016 23:57,17.2
08/23/2016 23:57,17.1
08/17/2016 23:57,17.6
08/03/2016 23:57,17.4
07/27/2016 23:57,18.1
07/13/2016 23:57,17
07/07/2016 23:57,17
06/29/2016 23:57,17.7
06/23/2016 23:57,17.7
06/14/2016 23:57,17.7
06/09/2016 23:57,18.2
05/26/2016 23:57,14
05/11/2016 23:57,13.4
05/03/2016 23:57,11.2
04/21/2016 23:57,
04/07/2016 23:57,
03/31/2016 23:57,11.1
03/22/2016 23:57,
03/03/2016 23:57,8.6
02/10/2016 23:57,9.9
02/03/2016 23:57,9
01/20/2016 23:57,10.9
01/06/2016 23:57,10.5
12/09/2015 23:57,11.6
12/02/2015 23:57,10.5
11/25/2015 23:57,12
11/18/2015 23:57,12.3
11/10/2015 23:57,13.6
11/02/2015 23:57,14.9
10/26/2015 23:57,13.9
10/19/2015 23:57,14.8
09/24/2015 23:57,16.1
09/16/2015 23:57,16.1
08/13/2015 23:57,18.3
07/27/2015 23:57,15
07/22/2015 23:57,16.7
07/14/2015 23:57,16.6
07/09/2015 23:57,16.6
07/09/2015 00:00,16.6
06/18/2015 00:00,14.9
06/17/2015 22:00,14.9
05/19/2015 00:00,11.9
05/13/2015 00:00,12
05/12/2015 22:00,12
05/05/2015 00:00,12
04/29/2015 00:00,11.8
04/23/2015 00:00,12.1
04/22/2015 22:00,12.1
04/07/2015 22:00,11
03/18/2015 23:00,10.5
02/25/2015 23:00,9.4
02/04/2015 23:00,8.9
