Datetime,Temperature
11/20/2018 23:57,13.3
11/14/2018 23:57,14
11/02/2018 23:57,13.9
10/25/2018 23:57,14.5
10/10/2018 23:57,16.2
10/05/2018 23:57,16.2
09/21/2018 23:57,17.4
09/12/2018 23:57,17.5
09/05/2018 23:57,19
08/29/2018 23:57,18.2
08/23/2018 23:57,17.8
07/17/2018 23:57,19.2
07/13/2018 23:57,19.3
06/27/2018 23:57,18.4
06/20/2018 23:57,155
06/08/2018 23:57,17.7
05/31/2018 23:57,17.4
05/24/2018 23:57,16.1
05/17/2018 23:57,15.5
05/09/2018 23:57,14.1
04/24/2018 23:57,12
04/17/2018 23:57,12.5
04/10/2018 23:57,11.1
04/05/2018 23:57,9.7
03/26/2018 23:57,10.2
03/20/2018 23:57,9.9
03/15/2018 23:57,9
02/27/2018 23:57,9.5
02/20/2018 23:57,9.7
02/15/2018 23:57,9.4
02/06/2018 23:57,9.9
01/31/2018 23:57,9.7
01/23/2018 23:57,10.6
01/17/2018 23:57,8.8
01/08/2018 23:57,10.2
01/04/2018 23:57,8.8
12/21/2017 23:57,11.4
12/14/2017 23:57,10.5
12/07/2017 23:57,12
11/28/2017 23:57,10
11/23/2017 23:57,10.8
11/15/2017 23:57,12
11/09/2017 23:57,13.6
10/30/2017 23:57,13.1
10/10/2017 23:57,15
09/25/2017 23:57,16.8
09/13/2017 23:57,16
09/05/2017 23:57,17.5
08/30/2017 23:57,17.8
08/23/2017 23:57,17.4
08/17/2017 23:57,17.4
08/10/2017 23:57,17.5
08/01/2017 23:57,17.8
07/26/2017 23:57,17.4
06/21/2017 23:57,17.1
06/15/2017 23:57,16.6
06/06/2017 23:57,16.8
05/31/2017 23:57,15.4
05/23/2017 23:57,15.5
05/11/2017 23:57,13.2
04/11/2017 23:57,11.3
04/05/2017 23:57,12.2
03/30/2017 23:57,11.5
03/23/2017 23:57,9.6
03/16/2017 23:57,10.8
03/08/2017 23:57,9
02/27/2017 23:57,10
02/16/2017 23:57,10.7
02/08/2017 23:57,9.4
02/02/2017 23:57,10.7
01/25/2017 23:57,10.8
01/16/2017 23:57,9.9
01/09/2017 23:57,10.8
01/04/2017 23:57,10.8
12/28/2016 23:57,9.6
12/22/2016 23:57,11.8
12/15/2016 23:57,11.8
12/05/2016 23:57,11.4
11/28/2016 23:57,11.5
11/22/2016 23:57,11.1
11/03/2016 23:57,
10/17/2016 23:57,14
10/06/2016 23:57,15.6
09/28/2016 23:57,17.7
09/14/2016 23:57,18.6
09/08/2016 23:57,18
09/01/2016 23:57,17.8
08/23/2016 23:57,17.8
08/18/2016 23:57,17.8
08/09/2016 23:57,17.2
08/01/2016 23:57,17.5
07/29/2016 23:57,18.3
07/15/2016 23:57,19.9
07/04/2016 23:57,16.6
06/27/2016 23:57,16.6
06/07/2016 23:57,16.8
05/17/2016 23:57,13.8
05/09/2016 23:57,13.9
05/02/2016 23:57,12.3
04/18/2016 23:57,
04/12/2016 23:57,
04/04/2016 23:57,11.2
03/30/2016 23:57,11.3
03/14/2016 23:57,10.4
02/29/2016 23:57,9.2
02/23/2016 23:57,9.8
02/16/2016 23:57,8.6
02/09/2016 23:57,9.5
02/01/2016 23:57,9.3
01/19/2016 23:57,9.5
01/12/2016 23:57,9.8
01/04/2016 23:57,10.1
12/18/2015 23:57,11
12/10/2015 23:57,11.9
12/09/2015 23:57,11.9
12/08/2015 23:57,11.3
12/07/2015 23:57,10.9
12/04/2015 23:57,11.5
12/03/2015 23:57,11.6
12/02/2015 23:57,10.4
11/30/2015 23:57,8.8
11/27/2015 23:57,12.4
11/26/2015 23:57,12.3
11/25/2015 23:57,12.2
11/24/2015 23:57,12
11/23/2015 23:57,11.7
11/20/2015 23:57,11.9
11/19/2015 23:57,11.6
11/18/2015 23:57,12
11/17/2015 23:57,11.9
11/12/2015 23:57,13.8
11/01/2015 23:57,15.2
10/27/2015 23:57,14.5
10/23/2015 23:57,14.6
10/13/2015 23:57,14.9
10/05/2015 23:57,15.7
09/28/2015 23:57,16.2
09/21/2015 23:57,16.2
09/08/2015 23:57,17.5
08/31/2015 23:57,18.2
08/26/2015 23:57,18
08/19/2015 23:57,18.1
08/17/2015 23:57,17.5
08/11/2015 23:57,17.9
08/03/2015 23:57,16.3
07/31/2015 23:57,16.1
07/27/2015 23:57,15.3
07/24/2015 23:57,16.8
07/23/2015 23:57,16.8
07/20/2015 23:57,16.3
07/16/2015 23:57,16.6
07/15/2015 23:57,16.6
07/13/2015 23:57,16.6
07/10/2015 23:57,15.5
07/08/2015 23:57,17.3
07/06/2015 23:57,17.4
07/03/2015 23:57,16
07/02/2015 23:57,
07/02/2015 23:00,
07/01/2015 23:00,
06/29/2015 23:00,
06/15/2015 23:00,
06/07/2015 23:00,
05/17/2015 23:00,
05/10/2015 23:00,
05/06/2015 23:00,
04/19/2015 23:00,
04/13/2015 23:00,
03/24/2015 00:00,
03/08/2015 00:00,
03/04/2015 00:00,
02/23/2015 00:00,
02/02/2015 00:00,
01/23/2015 00:00,
01/06/2015 00:00,
